Contig100199	24435	24435	Contig100199	maker	three_prime_UTR	24417	25520	.	+	.	ID=Olurida_00005839-RA:three_prime_utr;Parent=Olurida_00005839-RA;
Contig1258	14144	14144	Contig1258	maker	three_prime_UTR	13885	14171	.	-	.	ID=Olurida_00003348-RA:three_prime_utr;Parent=Olurida_00003348-RA;
Contig129	11531	11531	Contig129	maker	three_prime_UTR	11123	11792	.	-	.	ID=Olurida_00001279-RA:three_prime_utr;Parent=Olurida_00001279-RA;
Contig129	11566	11566	Contig129	maker	three_prime_UTR	11123	11792	.	-	.	ID=Olurida_00001279-RA:three_prime_utr;Parent=Olurida_00001279-RA;
Contig1301	7633	7633	Contig1301	maker	three_prime_UTR	7604	7680	.	-	.	ID=Olurida_00012694-RA:three_prime_utr;Parent=Olurida_00012694-RA;
Contig1301	7643	7643	Contig1301	maker	three_prime_UTR	7604	7680	.	-	.	ID=Olurida_00012694-RA:three_prime_utr;Parent=Olurida_00012694-RA;
Contig1301	7648	7648	Contig1301	maker	three_prime_UTR	7604	7680	.	-	.	ID=Olurida_00012694-RA:three_prime_utr;Parent=Olurida_00012694-RA;
Contig1301	7675	7675	Contig1301	maker	three_prime_UTR	7604	7680	.	-	.	ID=Olurida_00012694-RA:three_prime_utr;Parent=Olurida_00012694-RA;
Contig130103	918	918	Contig130103	maker	three_prime_UTR	689	932	.	-	.	ID=Olurida_00024077-RA:three_prime_utr;Parent=Olurida_00024077-RA;
Contig138016	3396	3396	Contig138016	maker	three_prime_UTR	3381	4116	.	+	.	ID=Olurida_00014356-RA:three_prime_utr;Parent=Olurida_00014356-RA;
Contig138707	6230	6230	Contig138707	maker	three_prime_UTR	5192	6380	.	+	.	ID=Olurida_00019111-RA:three_prime_utr;Parent=Olurida_00019111-RA;
Contig138707	6234	6234	Contig138707	maker	three_prime_UTR	5192	6380	.	+	.	ID=Olurida_00019111-RA:three_prime_utr;Parent=Olurida_00019111-RA;
Contig138707	6587	6587	Contig138707	maker	three_prime_UTR	6404	6762	.	+	.	ID=Olurida_00019111-RA:three_prime_utr;Parent=Olurida_00019111-RA;
Contig138707	6590	6590	Contig138707	maker	three_prime_UTR	6404	6762	.	+	.	ID=Olurida_00019111-RA:three_prime_utr;Parent=Olurida_00019111-RA;
Contig138707	6593	6593	Contig138707	maker	three_prime_UTR	6404	6762	.	+	.	ID=Olurida_00019111-RA:three_prime_utr;Parent=Olurida_00019111-RA;
Contig144059	11175	11175	Contig144059	maker	three_prime_UTR	11137	12288	.	+	.	ID=Olurida_00013042-RA:three_prime_utr;Parent=Olurida_00013042-RA;
Contig144059	11218	11218	Contig144059	maker	three_prime_UTR	11137	12288	.	+	.	ID=Olurida_00013042-RA:three_prime_utr;Parent=Olurida_00013042-RA;
Contig15	26544	26544	Contig15	maker	three_prime_UTR	26531	26771	.	+	.	ID=Olurida_00000537-RA:three_prime_utr;Parent=Olurida_00000537-RA;
Contig1526	7301	7301	Contig1526	maker	three_prime_UTR	7282	7787	.	+	.	ID=Olurida_00015459-RA:three_prime_utr;Parent=Olurida_00015459-RA;
Contig15287	21672	21672	Contig15287	maker	three_prime_UTR	21614	21943	.	-	.	ID=Olurida_00001929-RA:three_prime_utr;Parent=Olurida_00001929-RA;
Contig15287	21687	21687	Contig15287	maker	three_prime_UTR	21614	21943	.	-	.	ID=Olurida_00001929-RA:three_prime_utr;Parent=Olurida_00001929-RA;
Contig15287	21694	21694	Contig15287	maker	three_prime_UTR	21614	21943	.	-	.	ID=Olurida_00001929-RA:three_prime_utr;Parent=Olurida_00001929-RA;
Contig15287	21710	21710	Contig15287	maker	three_prime_UTR	21614	21943	.	-	.	ID=Olurida_00001929-RA:three_prime_utr;Parent=Olurida_00001929-RA;
Contig15287	21743	21743	Contig15287	maker	three_prime_UTR	21614	21943	.	-	.	ID=Olurida_00001929-RA:three_prime_utr;Parent=Olurida_00001929-RA;
Contig15287	21775	21775	Contig15287	maker	three_prime_UTR	21614	21943	.	-	.	ID=Olurida_00001929-RA:three_prime_utr;Parent=Olurida_00001929-RA;
Contig15287	21790	21790	Contig15287	maker	three_prime_UTR	21614	21943	.	-	.	ID=Olurida_00001929-RA:three_prime_utr;Parent=Olurida_00001929-RA;
Contig15287	21799	21799	Contig15287	maker	three_prime_UTR	21614	21943	.	-	.	ID=Olurida_00001929-RA:three_prime_utr;Parent=Olurida_00001929-RA;
Contig15287	21831	21831	Contig15287	maker	three_prime_UTR	21614	21943	.	-	.	ID=Olurida_00001929-RA:three_prime_utr;Parent=Olurida_00001929-RA;
Contig15287	22588	22588	Contig15287	maker	three_prime_UTR	22540	22662	.	-	.	ID=Olurida_00001929-RA:three_prime_utr;Parent=Olurida_00001929-RA;
Contig15287	22621	22621	Contig15287	maker	three_prime_UTR	22540	22662	.	-	.	ID=Olurida_00001929-RA:three_prime_utr;Parent=Olurida_00001929-RA;
Contig15287	22625	22625	Contig15287	maker	three_prime_UTR	22540	22662	.	-	.	ID=Olurida_00001929-RA:three_prime_utr;Parent=Olurida_00001929-RA;
Contig15378	5463	5463	Contig15378	maker	three_prime_UTR	4666	5560	.	-	.	ID=Olurida_00008016-RA:three_prime_utr;Parent=Olurida_00008016-RA;
Contig15701	11707	11707	Contig15701	maker	three_prime_UTR	10964	11713	.	-	.	ID=Olurida_00007743-RA:three_prime_utr;Parent=Olurida_00007743-RA;
Contig1583	36927	36927	Contig1583	maker	three_prime_UTR	36882	37677	.	+	.	ID=Olurida_00002542-RA:three_prime_utr;Parent=Olurida_00002542-RA;
Contig15979	2762	2762	Contig15979	maker	three_prime_UTR	1714	2789	.	-	.	ID=Olurida_00009548-RA:three_prime_utr;Parent=Olurida_00009548-RA;
Contig16025	9492	9492	Contig16025	maker	three_prime_UTR	9472	10508	.	+	.	ID=Olurida_00014978-RA:three_prime_utr;Parent=Olurida_00014978-RA;
Contig16025	9504	9504	Contig16025	maker	three_prime_UTR	9472	10508	.	+	.	ID=Olurida_00014978-RA:three_prime_utr;Parent=Olurida_00014978-RA;
Contig16025	9579	9579	Contig16025	maker	three_prime_UTR	9472	10508	.	+	.	ID=Olurida_00014978-RA:three_prime_utr;Parent=Olurida_00014978-RA;
Contig16025	9582	9582	Contig16025	maker	three_prime_UTR	9472	10508	.	+	.	ID=Olurida_00014978-RA:three_prime_utr;Parent=Olurida_00014978-RA;
Contig16025	9615	9615	Contig16025	maker	three_prime_UTR	9472	10508	.	+	.	ID=Olurida_00014978-RA:three_prime_utr;Parent=Olurida_00014978-RA;
Contig16025	9653	9653	Contig16025	maker	three_prime_UTR	9472	10508	.	+	.	ID=Olurida_00014978-RA:three_prime_utr;Parent=Olurida_00014978-RA;
Contig16025	9669	9669	Contig16025	maker	three_prime_UTR	9472	10508	.	+	.	ID=Olurida_00014978-RA:three_prime_utr;Parent=Olurida_00014978-RA;
Contig16111	2603	2603	Contig16111	maker	three_prime_UTR	1083	2631	.	-	.	ID=Olurida_00009042-RA:three_prime_utr;Parent=Olurida_00009042-RA;
Contig16264	10433	10433	Contig16264	maker	three_prime_UTR	10426	10688	.	+	.	ID=Olurida_00011453-RA:three_prime_utr;Parent=Olurida_00011453-RA;
Contig16264	10450	10450	Contig16264	maker	three_prime_UTR	10426	10688	.	+	.	ID=Olurida_00011453-RA:three_prime_utr;Parent=Olurida_00011453-RA;
Contig1629	9397	9397	Contig1629	maker	three_prime_UTR	9386	9477	.	-	.	ID=Olurida_00008153-RA:three_prime_utr;Parent=Olurida_00008153-RA;
Contig1629	9404	9404	Contig1629	maker	three_prime_UTR	9386	9477	.	-	.	ID=Olurida_00008153-RA:three_prime_utr;Parent=Olurida_00008153-RA;
Contig1629	9425	9425	Contig1629	maker	three_prime_UTR	9386	9477	.	-	.	ID=Olurida_00008153-RA:three_prime_utr;Parent=Olurida_00008153-RA;
Contig1629	9468	9468	Contig1629	maker	three_prime_UTR	9386	9477	.	-	.	ID=Olurida_00008153-RA:three_prime_utr;Parent=Olurida_00008153-RA;
Contig1652	37633	37633	Contig1652	maker	three_prime_UTR	37611	37656	.	+	.	ID=Olurida_00002694-RA:three_prime_utr;Parent=Olurida_00002694-RA;
Contig1652	37987	37987	Contig1652	maker	three_prime_UTR	37981	38012	.	+	.	ID=Olurida_00002694-RA:three_prime_utr;Parent=Olurida_00002694-RA;
Contig17280	32747	32747	Contig17280	maker	three_prime_UTR	32738	32811	.	+	.	ID=Olurida_00000503-RA:three_prime_utr;Parent=Olurida_00000503-RA;
Contig17280	32764	32764	Contig17280	maker	three_prime_UTR	32738	32811	.	+	.	ID=Olurida_00000503-RA:three_prime_utr;Parent=Olurida_00000503-RA;
Contig17280	32768	32768	Contig17280	maker	three_prime_UTR	32738	32811	.	+	.	ID=Olurida_00000503-RA:three_prime_utr;Parent=Olurida_00000503-RA;
Contig17280	32774	32774	Contig17280	maker	three_prime_UTR	32738	32811	.	+	.	ID=Olurida_00000503-RA:three_prime_utr;Parent=Olurida_00000503-RA;
Contig17280	32789	32789	Contig17280	maker	three_prime_UTR	32738	32811	.	+	.	ID=Olurida_00000503-RA:three_prime_utr;Parent=Olurida_00000503-RA;
Contig17280	32799	32799	Contig17280	maker	three_prime_UTR	32738	32811	.	+	.	ID=Olurida_00000503-RA:three_prime_utr;Parent=Olurida_00000503-RA;
Contig17280	32804	32804	Contig17280	maker	three_prime_UTR	32738	32811	.	+	.	ID=Olurida_00000503-RA:three_prime_utr;Parent=Olurida_00000503-RA;
Contig17378	12568	12568	Contig17378	maker	three_prime_UTR	12452	13726	.	+	.	ID=Olurida_00005851-RA:three_prime_utr;Parent=Olurida_00005851-RA;
Contig17698	2365	2365	Contig17698	maker	three_prime_UTR	2223	2373	.	-	.	ID=Olurida_00003268-RA:three_prime_utr;Parent=Olurida_00003268-RA;
Contig17791	35063	35063	Contig17791	maker	three_prime_UTR	35036	35242	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	35067	35067	Contig17791	maker	three_prime_UTR	35036	35242	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	35084	35084	Contig17791	maker	three_prime_UTR	35036	35242	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	35118	35118	Contig17791	maker	three_prime_UTR	35036	35242	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	35124	35124	Contig17791	maker	three_prime_UTR	35036	35242	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	35202	35202	Contig17791	maker	three_prime_UTR	35036	35242	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	35226	35226	Contig17791	maker	three_prime_UTR	35036	35242	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	36022	36022	Contig17791	maker	three_prime_UTR	36021	36319	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	45417	45417	Contig17791	maker	three_prime_UTR	45413	45568	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	45460	45460	Contig17791	maker	three_prime_UTR	45413	45568	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	45474	45474	Contig17791	maker	three_prime_UTR	45413	45568	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	45486	45486	Contig17791	maker	three_prime_UTR	45413	45568	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	45489	45489	Contig17791	maker	three_prime_UTR	45413	45568	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	45492	45492	Contig17791	maker	three_prime_UTR	45413	45568	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	45501	45501	Contig17791	maker	three_prime_UTR	45413	45568	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	45513	45513	Contig17791	maker	three_prime_UTR	45413	45568	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	45516	45516	Contig17791	maker	three_prime_UTR	45413	45568	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	45531	45531	Contig17791	maker	three_prime_UTR	45413	45568	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	45537	45537	Contig17791	maker	three_prime_UTR	45413	45568	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	45544	45544	Contig17791	maker	three_prime_UTR	45413	45568	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	45555	45555	Contig17791	maker	three_prime_UTR	45413	45568	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	50400	50400	Contig17791	maker	three_prime_UTR	50390	50598	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	50402	50402	Contig17791	maker	three_prime_UTR	50390	50598	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	50408	50408	Contig17791	maker	three_prime_UTR	50390	50598	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	50430	50430	Contig17791	maker	three_prime_UTR	50390	50598	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	50436	50436	Contig17791	maker	three_prime_UTR	50390	50598	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	50444	50444	Contig17791	maker	three_prime_UTR	50390	50598	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	50449	50449	Contig17791	maker	three_prime_UTR	50390	50598	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	50457	50457	Contig17791	maker	three_prime_UTR	50390	50598	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	50465	50465	Contig17791	maker	three_prime_UTR	50390	50598	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	50468	50468	Contig17791	maker	three_prime_UTR	50390	50598	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	50486	50486	Contig17791	maker	three_prime_UTR	50390	50598	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	50489	50489	Contig17791	maker	three_prime_UTR	50390	50598	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	50492	50492	Contig17791	maker	three_prime_UTR	50390	50598	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	50498	50498	Contig17791	maker	three_prime_UTR	50390	50598	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	50537	50537	Contig17791	maker	three_prime_UTR	50390	50598	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	50573	50573	Contig17791	maker	three_prime_UTR	50390	50598	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig17791	50576	50576	Contig17791	maker	three_prime_UTR	50390	50598	.	+	.	ID=Olurida_00000832-RA:three_prime_utr;Parent=Olurida_00000832-RA;
Contig180	46266	46266	Contig180	maker	three_prime_UTR	46260	46944	.	+	.	ID=Olurida_00000821-RA:three_prime_utr;Parent=Olurida_00000821-RA;
Contig180	46279	46279	Contig180	maker	three_prime_UTR	46260	46944	.	+	.	ID=Olurida_00000821-RA:three_prime_utr;Parent=Olurida_00000821-RA;
Contig180	46286	46286	Contig180	maker	three_prime_UTR	46260	46944	.	+	.	ID=Olurida_00000821-RA:three_prime_utr;Parent=Olurida_00000821-RA;
Contig18086	8811	8811	Contig18086	maker	three_prime_UTR	8778	9921	.	+	.	ID=Olurida_00015925-RA:three_prime_utr;Parent=Olurida_00015925-RA;
Contig18086	8827	8827	Contig18086	maker	three_prime_UTR	8778	9921	.	+	.	ID=Olurida_00015925-RA:three_prime_utr;Parent=Olurida_00015925-RA;
Contig18214	10209	10209	Contig18214	maker	three_prime_UTR	10194	10221	.	+	.	ID=Olurida_00001649-RA:three_prime_utr;Parent=Olurida_00001649-RA;
Contig1847	26341	26341	Contig1847	maker	three_prime_UTR	25046	26358	.	-	.	ID=Olurida_00004918-RA:three_prime_utr;Parent=Olurida_00004918-RA;
Contig1847	26351	26351	Contig1847	maker	three_prime_UTR	25046	26358	.	-	.	ID=Olurida_00004918-RA:three_prime_utr;Parent=Olurida_00004918-RA;
Contig1851	18076	18076	Contig1851	maker	three_prime_UTR	18070	19431	.	+	.	ID=Olurida_00003948-RA:three_prime_utr;Parent=Olurida_00003948-RA;
Contig1851	18103	18103	Contig1851	maker	three_prime_UTR	18070	19431	.	+	.	ID=Olurida_00003948-RA:three_prime_utr;Parent=Olurida_00003948-RA;
Contig1851	18153	18153	Contig1851	maker	three_prime_UTR	18070	19431	.	+	.	ID=Olurida_00003948-RA:three_prime_utr;Parent=Olurida_00003948-RA;
Contig1851	18244	18244	Contig1851	maker	three_prime_UTR	18070	19431	.	+	.	ID=Olurida_00003948-RA:three_prime_utr;Parent=Olurida_00003948-RA;
Contig18534	15780	15780	Contig18534	maker	three_prime_UTR	15771	16415	.	+	.	ID=Olurida_00007080-RA:three_prime_utr;Parent=Olurida_00007080-RA;
Contig18534	15826	15826	Contig18534	maker	three_prime_UTR	15771	16415	.	+	.	ID=Olurida_00007080-RA:three_prime_utr;Parent=Olurida_00007080-RA;
Contig18534	15896	15896	Contig18534	maker	three_prime_UTR	15771	16415	.	+	.	ID=Olurida_00007080-RA:three_prime_utr;Parent=Olurida_00007080-RA;
Contig19003	17770	17770	Contig19003	maker	three_prime_UTR	17620	17793	.	-	.	ID=Olurida_00005229-RA:three_prime_utr;Parent=Olurida_00005229-RA;
Contig19003	17779	17779	Contig19003	maker	three_prime_UTR	17620	17793	.	-	.	ID=Olurida_00005229-RA:three_prime_utr;Parent=Olurida_00005229-RA;
Contig19248	37175	37175	Contig19248	maker	three_prime_UTR	35418	37192	.	+	.	ID=Olurida_00001538-RA:three_prime_utr;Parent=Olurida_00001538-RA;
Contig193765	5912	5912	Contig193765	maker	three_prime_UTR	3646	5940	.	-	.	ID=Olurida_00019076-RA:three_prime_utr;Parent=Olurida_00019076-RA;
Contig193765	5925	5925	Contig193765	maker	three_prime_UTR	3646	5940	.	-	.	ID=Olurida_00019076-RA:three_prime_utr;Parent=Olurida_00019076-RA;
Contig19956	30794	30794	Contig19956	maker	three_prime_UTR	30792	30905	.	+	.	ID=Olurida_00002676-RA:three_prime_utr;Parent=Olurida_00002676-RA;
Contig19956	30803	30803	Contig19956	maker	three_prime_UTR	30792	30905	.	+	.	ID=Olurida_00002676-RA:three_prime_utr;Parent=Olurida_00002676-RA;
Contig2013	9329	9329	Contig2013	maker	three_prime_UTR	9264	9401	.	+	.	ID=Olurida_00016286-RA:three_prime_utr;Parent=Olurida_00016286-RA;
Contig2013	9346	9346	Contig2013	maker	three_prime_UTR	9264	9401	.	+	.	ID=Olurida_00016286-RA:three_prime_utr;Parent=Olurida_00016286-RA;
Contig2013	9372	9372	Contig2013	maker	three_prime_UTR	9264	9401	.	+	.	ID=Olurida_00016286-RA:three_prime_utr;Parent=Olurida_00016286-RA;
Contig20453	41306	41306	Contig20453	maker	three_prime_UTR	41290	41324	.	+	.	ID=Olurida_00002282-RA:three_prime_utr;Parent=Olurida_00002282-RA;
Contig20453	41315	41315	Contig20453	maker	three_prime_UTR	41290	41324	.	+	.	ID=Olurida_00002282-RA:three_prime_utr;Parent=Olurida_00002282-RA;
Contig20472	46069	46069	Contig20472	maker	three_prime_UTR	45997	47137	.	+	.	ID=Olurida_00001362-RA:three_prime_utr;Parent=Olurida_00001362-RA;
Contig20472	46097	46097	Contig20472	maker	three_prime_UTR	45997	47137	.	+	.	ID=Olurida_00001362-RA:three_prime_utr;Parent=Olurida_00001362-RA;
Contig20472	46128	46128	Contig20472	maker	three_prime_UTR	45997	47137	.	+	.	ID=Olurida_00001362-RA:three_prime_utr;Parent=Olurida_00001362-RA;
