siteID	coverage1	coverage2	coverage3	coverage4	coverage5	coverage6	coverage7	coverage8	coverage9	coverage10	coverage11	coverage12	coverage13	coverage14	coverage15	coverage16	coverage17	coverage18
Contig100117_1018	22	18	12	18	18	9	17	18	17	16	19	21	27	28	28	19	27	21
Contig100137_22	16	10	18	20	11	10	22	13	23	14	24	18	25	21	22	26	17	17
Contig100137_27	16	10	20	22	11	13	24	15	28	18	27	20	28	25	22	24	18	15
Contig100137_97	25	25	25	25	15	12	30	21	30	19	29	29	38	47	33	31	25	30
Contig100137_122	35	36	43	45	33	26	49	30	49	34	43	40	46	69	53	48	40	47
Contig100137_144	27	22	36	32	27	15	33	22	32	28	31	30	36	49	36	30	35	29
Contig100137_157	26	25	41	32	21	18	41	26	31	33	39	37	33	53	47	34	37	29
Contig100137_183	19	18	32	21	11	7	27	17	29	17	30	26	33	36	31	31	17	17
Contig100137_193	20	22	35	34	13	11	36	24	42	24	37	27	39	46	33	37	26	28
Contig100137_197	20	22	33	31	16	11	33	19	39	24	38	25	36	45	30	34	26	28
Contig100139_582	15	12	23	18	12	12	23	17	28	37	33	26	34	29	37	32	30	23
Contig100139_807	25	30	28	28	28	21	35	26	31	50	37	36	43	42	47	34	49	42
Contig100139_835	42	46	40	43	37	26	51	40	49	60	55	30	66	53	54	59	59	53
Contig100139_896	39	35	47	43	34	42	51	44	52	59	49	49	56	56	58	51	53	53
Contig100164_505	12	10	22	15	18	10	26	17	30	36	17	18	23	21	27	21	28	18
Contig100164_509	13	10	23	16	19	11	27	17	31	40	17	18	22	19	27	20	26	18
Contig100164_995	14	10	15	16	11	8	17	11	18	18	5	11	16	23	19	16	13	15
Contig100164_1018	23	19	25	31	20	19	28	23	33	29	13	23	32	42	34	26	31	34
Contig100164_1026	25	21	25	34	21	25	33	29	37	41	20	30	41	39	42	30	35	39
Contig100164_1037	30	24	30	41	20	25	41	32	39	45	17	35	42	48	44	34	39	44
Contig100188_548	16	15	15	20	19	9	17	21	18	9	9	19	27	28	27	24	19	22
Contig100188_555	14	13	10	18	17	11	16	16	15	7	8	21	24	28	23	22	20	17
Contig100188_606	18	18	13	26	15	12	16	22	22	10	13	17	33	26	34	24	24	18
Contig100188_613	21	19	13	25	20	14	20	19	22	13	15	14	36	31	32	21	25	21
Contig100188_616	18	16	14	23	19	11	20	17	20	9	14	15	35	24	34	21	20	15
Contig100188_628	13	15	10	21	15	5	17	12	14	10	14	13	26	19	23	19	17	14
Contig100188_692	20	17	13	20	9	7	15	14	15	7	10	13	26	27	28	20	16	20
Contig100188_2357	19	15	10	16	7	10	22	12	22	6	3	14	21	25	26	19	23	18
Contig100188_2371	27	25	19	23	14	14	32	17	23	10	4	14	29	31	34	24	14	15
Contig100199_24194	14	13	20	24	16	12	22	20	20	32	33	13	33	25	27	35	28	28
Contig100199_24245	19	22	25	23	13	11	26	21	24	26	23	15	25	31	32	37	24	28
Contig100231_3835	19	18	18	22	20	18	24	23	25	30	36	21	41	42	42	44	27	23
Contig100231_3858	21	21	20	22	19	15	36	32	28	39	39	15	43	47	48	53	38	23
Contig100231_3862	23	21	20	20	19	14	37	30	19	36	38	14	45	49	46	50	30	23
Contig100231_3866	22	23	23	19	16	14	37	28	21	34	36	14	43	46	44	51	33	21
Contig100231_3874	30	28	24	24	16	18	33	26	24	31	39	20	39	47	50	53	34	24
Contig100231_3886	26	26	28	22	20	16	34	22	22	40	39	22	45	51	52	45	37	24
Contig100231_3896	27	25	29	26	22	9	35	21	29	51	45	23	50	55	58	39	50	27
Contig100231_3912	22	17	20	15	18	4	29	20	27	49	44	19	49	43	54	41	37	23
Contig100231_3924	20	19	14	17	17	9	28	16	23	41	36	22	48	41	50	46	24	21
Contig100231_3982	13	18	14	19	14	11	20	6	15	30	18	10	21	31	25	24	20	15
Contig100231_4016	11	12	19	13	11	8	17	10	25	29	23	17	22	24	23	27	19	12
Contig100231_4048	10	7	16	14	5	10	11	12	12	25	13	8	14	12	14	14	11	11
Contig100242_4069	12	16	16	11	12	13	17	18	23	17	20	15	22	22	21	21	15	9
Contig100242_4082	33	29	28	28	19	26	31	27	33	36	43	20	45	49	42	37	30	23
Contig100242_4084	39	31	31	32	20	28	33	31	35	37	47	24	45	49	45	47	33	26
Contig100242_4094	37	26	25	33	14	26	32	27	31	38	43	22	42	49	43	50	32	25
Contig100242_4100	26	16	17	24	14	19	20	15	17	28	34	14	28	37	27	36	24	16
Contig100247_5811	36	35	19	39	17	32	24	40	41	36	26	32	36	41	28	43	22	39
Contig100247_5815	42	42	20	46	19	39	27	46	48	44	34	38	43	47	37	48	27	51
Contig100247_6214	73	81	8	83	15	72	15	67	86	75	72	81	93	91	76	94	74	85
Contig100267_6648	20	15	24	16	18	14	21	19	16	24	28	15	22	24	19	21	23	15
Contig100267_6663	41	23	35	31	26	23	37	33	23	36	52	24	34	36	22	40	32	28
Contig10027_209	11	24	29	21	18	13	26	23	30	28	43	19	27	37	37	36	33	15
Contig100274_294	14	8	11	15	16	6	17	13	13	14	17	10	16	17	11	16	13	10
Contig100353_1879	19	9	19	13	10	10	16	18	26	14	4	13	15	30	27	23	19	16
Contig100353_1883	18	13	19	14	10	10	11	19	23	14	2	11	14	27	25	16	16	14
Contig100353_1901	24	15	18	19	9	12	13	22	28	12	5	19	18	34	32	24	20	20
Contig100396_1493	22	11	16	21	15	16	22	16	21	32	21	20	33	31	35	30	29	27
Contig100396_1509	12	10	15	14	14	17	17	18	14	22	17	16	20	21	25	26	19	18
Contig100396_2842	21	18	23	20	11	11	20	17	17	27	27	12	38	38	31	43	29	25
Contig100396_2845	20	19	22	19	9	13	20	17	19	23	24	12	38	40	30	43	30	21
Contig100396_2852	13	13	19	18	8	10	13	13	17	25	19	12	34	38	25	36	24	17
Contig100396_2867	15	16	19	20	11	11	14	20	19	24	23	13	29	41	29	36	21	17
Contig100499_2590	23	19	19	8	16	19	25	21	24	23	39	13	32	42	57	41	11	15
Contig100522_5271	40	28	48	46	15	30	41	40	45	50	57	27	43	48	62	57	55	24
Contig100522_5285	40	33	53	44	17	32	40	38	42	55	62	21	50	54	67	65	55	27
Contig100522_5295	29	25	33	30	15	23	29	25	24	35	44	17	38	42	41	45	38	16
Contig100556_1702	39	27	39	34	29	34	37	28	38	38	27	37	47	53	45	33	21	34
Contig100556_1729	20	20	28	20	17	16	19	18	17	18	13	26	20	27	28	25	17	20
Contig100556_1864	10	10	14	10	13	11	13	13	14	10	13	13	12	14	15	13	12	13
Contig100556_1869	14	14	14	13	16	14	15	16	16	14	15	14	14	16	16	15	14	15
Contig100578_1219	30	20	27	23	16	16	24	22	25	23	20	21	36	41	44	36	31	26
Contig100578_1226	32	25	30	25	19	18	28	26	31	25	28	30	40	44	47	34	38	31
Contig100578_1240	31	19	24	20	9	10	23	27	29	31	28	24	44	42	47	44	34	29
Contig100578_1264	30	27	26	24	15	18	24	30	29	29	25	28	36	32	35	33	24	25
Contig100586_12277	12	7	13	18	10	3	13	12	12	9	5	12	17	24	14	13	15	16
Contig100586_12579	10	11	11	27	16	10	19	12	18	13	4	20	13	16	10	6	15	15
Contig1006_12773	14	8	15	12	14	11	14	21	22	28	23	21	28	37	29	31	17	20
Contig100691_8019	19	19	14	22	15	8	26	20	15	25	11	17	31	31	31	24	23	19
Contig100706_937	20	21	22	20	20	21	27	19	26	18	11	17	14	16	12	15	19	22
Contig100706_944	18	24	21	24	19	17	27	20	23	17	12	15	21	23	14	18	22	21
Contig10074_5759	20	14	12	17	13	15	18	18	20	23	17	13	31	33	23	29	16	30
Contig10074_5773	21	23	17	17	17	19	27	23	27	35	25	22	39	41	37	42	26	42
Contig100743_10172	19	15	17	20	16	10	16	17	13	33	28	8	18	31	28	26	17	9
Contig100743_10234	5	10	14	15	10	12	15	12	14	26	27	10	19	16	18	21	14	13
Contig100743_10246	9	8	16	20	10	12	15	14	16	31	31	11	20	16	18	28	14	16
Contig100745_189	12	17	23	17	9	13	16	14	10	20	6	14	18	16	12	16	14	13
Contig100764_569	11	20	23	21	14	15	21	17	24	28	39	9	36	39	37	43	29	12
Contig10077_76	38	32	19	25	22	18	30	24	25	8	3	20	19	35	33	29	31	25
Contig10077_89	37	32	21	30	23	19	31	30	26	4	3	20	20	32	34	32	30	24
Contig100771_1673	20	16	17	20	12	11	17	20	24	17	31	6	35	32	41	45	25	20
Contig100776_1656	23	14	17	19	15	19	11	21	22	37	32	19	32	32	41	42	31	22
Contig100776_1700	21	14	15	25	11	15	16	16	21	34	31	28	39	27	40	32	33	22
Contig100776_1764	15	13	21	17	12	20	21	19	23	29	51	13	45	28	39	45	38	27
Contig100776_1801	40	22	29	38	21	19	41	31	22	55	63	26	45	52	58	54	48	31
Contig100776_1805	36	21	26	32	17	15	36	27	25	52	59	24	39	46	51	47	44	29
Contig100776_1814	27	14	22	20	13	13	25	24	19	35	46	14	30	40	39	36	37	21
Contig100776_1837	22	10	23	21	10	9	26	21	20	41	48	12	32	36	34	44	30	13
Contig100776_1862	20	22	26	29	18	10	23	18	21	38	53	17	44	50	52	52	37	23
Contig100776_1873	31	22	32	39	29	15	35	28	29	45	66	26	52	57	63	62	46	26
Contig100776_1884	24	15	24	31	21	17	31	22	21	40	53	26	48	45	56	54	39	25
Contig100776_1893	29	23	27	28	15	18	30	21	25	46	53	26	45	40	53	55	43	25
Contig100776_1897	26	21	23	26	13	16	27	21	25	43	52	27	37	34	48	55	38	26
Contig100776_1899	22	23	23	25	14	15	27	18	25	45	51	24	39	35	48	51	34	28
Contig100776_1915	26	23	19	26	13	18	29	17	20	44	60	13	41	35	38	43	26	23
Contig100776_1973	16	10	28	20	9	10	20	22	21	32	54	14	34	35	42	49	30	16
Contig100776_1988	15	15	29	21	10	18	25	17	21	36	55	15	37	36	39	46	33	22
Contig100807_3533	25	30	35	26	22	21	28	31	32	63	61	27	66	46	54	52	32	29
Contig100807_3551	14	17	18	18	14	12	13	21	22	38	36	16	38	27	30	25	21	15
Contig100831_4297	23	21	31	25	18	18	29	23	26	22	24	19	26	27	25	38	24	25
Contig100831_4306	32	26	33	31	25	24	34	29	29	32	30	21	31	38	34	42	26	29
Contig100843_8720	11	14	14	18	17	9	15	19	15	23	5	17	9	24	21	18	12	27
Contig100844_2782	13	10	12	9	11	10	14	16	12	9	18	14	19	17	14	18	14	10
Contig100964_9123	20	18	26	19	17	12	24	27	20	29	31	17	34	41	37	44	24	22
Contig100964_9127	24	19	29	21	18	11	28	27	23	27	32	18	37	43	38	44	25	25
Contig100964_9135	20	18	27	16	15	11	27	26	21	27	32	18	35	41	39	39	21	25
Contig100964_9249	18	20	15	21	14	11	19	20	17	29	31	17	34	32	28	25	21	18
Contig100988_3321	26	23	28	28	19	17	28	26	30	38	35	22	43	47	38	48	33	35
Contig100988_3333	30	31	31	28	23	19	27	27	36	39	37	28	42	50	42	50	31	36
Contig100994_3428	14	7	16	16	14	16	13	16	27	32	15	16	19	22	17	20	20	26
Contig100994_4206	24	16	26	22	14	12	22	20	25	25	47	14	31	32	37	43	33	24
Contig100994_4237	24	20	22	29	16	18	25	26	23	42	44	18	43	35	41	38	28	22
Contig100994_4252	24	20	21	24	12	12	17	21	21	38	52	15	41	41	46	40	27	26
Contig100994_4287	20	19	22	24	11	15	20	16	21	41	44	12	32	38	45	45	30	22
Contig101063_219	15	12	18	15	16	8	16	20	18	40	41	15	33	39	33	34	23	17
Contig101063_223	18	16	22	18	19	10	18	23	21	44	42	18	34	43	39	39	28	21
Contig101063_229	24	17	23	17	20	9	26	32	22	46	45	18	37	49	44	47	31	22
Contig101063_333	24	16	24	24	13	14	22	26	28	54	56	20	38	48	51	62	35	20
Contig101118_868	10	15	24	17	6	7	16	12	21	26	26	15	25	30	27	40	26	18
Contig101118_899	13	11	14	16	14	14	23	14	20	35	25	8	29	32	36	30	30	16
Contig101118_908	14	9	19	16	17	13	24	14	19	32	27	15	30	27	31	31	33	19
Contig101130_953	11	16	13	15	10	8	14	14	14	12	14	14	21	21	15	14	12	14
Contig101138_14681	11	14	18	21	7	10	18	14	18	28	7	10	31	19	30	29	29	24
Contig101153_3210	21	19	18	15	25	14	20	23	17	21	26	17	21	30	27	27	24	21
Contig101153_3212	20	20	15	12	19	15	22	23	16	20	26	16	22	28	27	26	25	19
Contig101153_3220	15	19	15	12	16	12	18	19	11	17	20	14	19	29	28	27	20	18
Contig101153_3227	13	14	15	14	17	14	20	17	10	14	19	14	20	28	24	26	20	16
Contig10117_4187	16	16	18	16	8	17	15	17	17	28	26	13	24	31	34	32	24	18
Contig10117_4221	15	12	9	20	12	11	22	12	19	31	22	21	29	15	31	33	17	19
Contig10117_4231	18	13	4	23	11	12	19	18	21	34	21	18	30	18	36	27	18	19
Contig10117_4282	12	12	6	14	13	10	13	15	14	30	18	9	22	21	20	19	20	14
Contig101233_1885	19	21	14	16	13	17	29	21	22	13	15	26	24	18	14	23	19	22
Contig101233_1890	20	18	17	20	15	19	31	22	26	16	19	30	26	22	20	26	19	29
Contig10126_488	20	19	20	15	7	10	21	18	30	27	25	15	24	36	33	33	35	27
Contig10126_657	22	22	18	19	16	10	17	20	27	32	12	15	19	20	22	20	22	23
Contig10126_680	22	20	17	17	14	10	19	21	21	32	14	25	22	15	25	22	31	22
Contig1013_13082	17	13	11	14	14	13	18	17	17	13	7	16	22	32	17	24	13	17
Contig1013_18228	22	24	19	15	12	18	19	18	28	24	6	23	20	14	22	23	17	27
Contig1013_18261	19	16	20	20	11	10	17	16	25	19	9	21	26	14	22	14	15	19
Contig1013_18326	16	18	19	20	17	17	18	15	21	25	11	16	19	18	19	21	19	21
Contig1013_18364	13	12	10	15	15	13	16	17	21	16	8	17	12	13	15	15	14	25
Contig1013_18434	20	16	25	12	17	16	21	13	18	16	9	13	16	14	11	17	19	21
Contig1013_18662	18	22	23	24	17	13	30	21	24	28	11	18	27	33	19	33	26	23
Contig1013_18683	13	17	24	15	18	10	21	21	22	23	14	16	21	29	23	22	17	22
Contig1013_18694	21	16	25	20	16	16	22	23	20	25	16	15	23	32	21	23	21	20
Contig1013_18778	23	19	21	27	24	17	25	26	33	29	19	21	28	26	24	32	27	28
Contig1013_18799	24	16	22	20	20	13	19	18	26	23	12	21	30	31	18	27	31	22
Contig1013_18850	16	9	16	15	16	14	16	20	22	27	14	17	20	25	20	20	20	22
Contig1013_21011	10	12	13	8	6	11	13	14	10	16	18	8	13	19	21	17	17	12
Contig1013_21395	26	24	24	28	16	13	22	23	19	26	25	23	39	31	43	37	32	22
Contig101300_15017	11	10	13	19	9	3	13	16	15	16	9	10	12	14	23	19	11	13
Contig101333_4347	23	20	30	18	18	14	19	19	20	24	39	15	40	35	36	37	34	12
Contig101333_4360	24	21	29	18	14	13	21	18	19	23	32	15	37	28	33	34	28	12
Contig101333_4473	18	12	15	16	8	14	16	14	18	20	22	13	19	20	21	23	21	13
Contig101333_4477	21	19	20	22	13	20	24	20	24	25	31	18	27	27	30	31	30	17
Contig101333_4493	18	14	15	21	11	17	19	17	19	25	28	21	23	30	27	30	24	14
Contig101346_3151	34	27	26	32	14	21	27	14	30	40	25	13	33	35	33	29	30	21
Contig101346_3160	33	36	45	48	13	26	37	11	35	57	44	19	47	51	47	50	41	25
Contig101346_3164	35	43	47	58	12	32	42	11	40	69	54	19	57	58	64	61	44	28
Contig101346_3184	49	62	74	84	11	45	70	9	65	86	79	28	79	80	85	80	60	30
Contig101375_2964	19	12	15	15	12	12	22	16	24	21	38	13	33	39	47	48	25	21
Contig101375_2970	21	16	21	17	15	12	24	19	24	23	39	16	39	43	46	49	25	20
Contig101375_3072	21	20	17	19	12	11	22	17	31	31	31	16	30	35	37	30	25	20
Contig101375_3079	18	22	16	21	12	13	19	18	30	26	31	12	29	30	28	29	21	17
Contig101377_3231	19	20	17	18	16	10	15	19	25	17	17	18	20	19	7	14	19	22
Contig10144_724	12	14	11	14	10	9	16	11	18	8	15	11	22	23	19	24	13	12
Contig10144_730	13	15	10	17	11	10	18	9	17	10	13	11	25	23	20	24	16	11
Contig10144_5449	14	13	13	16	10	10	17	17	23	26	25	17	30	26	41	34	20	17
Contig10144_6229	17	7	24	22	8	15	19	17	23	43	52	14	33	29	40	42	23	25
Contig10144_6300	21	12	21	19	21	18	21	20	25	36	50	11	41	24	42	48	21	22
Contig10144_6346	16	19	30	24	14	18	19	23	28	61	22	20	15	33	39	34	48	19
Contig10144_6387	19	16	20	22	20	11	18	22	19	46	52	17	39	32	43	40	38	28
Contig101488_64	14	8	13	20	10	12	21	17	15	22	29	3	26	11	28	15	13	12
Contig101497_681	19	10	16	17	13	5	21	24	17	30	38	16	19	27	37	32	24	17
Contig101497_683	19	10	18	18	15	8	21	22	18	29	40	15	20	26	37	30	25	17
Contig101518_1409	12	10	16	15	7	4	14	16	10	22	26	11	26	31	26	25	16	10
Contig101541_7178	34	27	29	28	27	23	33	21	29	22	25	26	41	35	22	28	29	33
Contig101546_167	10	13	8	8	11	13	11	13	13	13	4	19	15	17	11	18	3	11
Contig10157_954	16	14	15	18	9	7	16	15	18	19	12	15	22	24	22	15	13	15
Contig10157_956	17	14	15	18	10	6	15	15	18	18	15	14	21	24	24	15	14	17
Contig101603_2650	22	17	11	18	14	8	22	17	17	21	11	17	21	32	23	23	23	20
Contig101603_2653	21	17	11	15	12	9	18	17	16	17	12	15	23	27	20	17	20	20
Contig101620_2541	11	11	14	16	11	10	17	5	13	12	13	10	16	20	23	18	13	14
Contig101620_2584	18	17	16	19	10	9	25	5	12	10	6	11	20	33	30	34	24	22
Contig101620_2598	16	29	29	24	12	12	36	3	16	13	11	16	30	43	35	37	31	30
Contig101620_2633	13	14	27	23	10	14	18	14	19	8	27	16	22	33	24	24	16	14
Contig101620_2641	18	16	33	25	12	17	23	19	21	12	36	18	21	45	29	21	19	20
Contig101620_2676	21	16	24	16	14	10	22	14	21	13	20	10	17	33	30	32	14	20
Contig101620_2684	18	11	19	15	12	10	21	13	18	12	18	7	16	23	24	26	14	15
Contig101656_1466	16	13	16	18	8	10	25	18	16	22	22	13	27	31	23	35	12	21
Contig101656_1474	18	13	19	18	11	9	19	15	23	23	21	17	30	30	36	39	15	22
Contig101656_1498	18	15	14	12	15	14	16	15	19	14	19	16	31	26	29	30	18	18
Contig101656_1506	21	17	16	15	11	14	17	13	16	13	27	13	33	26	24	25	23	21
Contig101656_1511	24	16	11	15	12	14	14	12	18	16	27	10	29	25	27	30	24	23
Contig101656_3856	18	18	19	19	16	9	19	22	23	37	28	18	36	31	40	34	37	24
Contig101656_3942	5	24	25	27	18	8	26	30	25	35	23	12	27	48	24	47	33	9
Contig101656_3958	12	27	39	40	25	5	39	39	40	35	22	15	22	66	24	55	41	15
Contig101661_863	12	11	14	11	13	9	12	14	17	35	34	15	28	46	32	26	32	17
Contig101661_866	12	12	12	11	12	11	13	13	17	33	33	15	28	41	30	25	29	16
Contig101661_1219	21	16	30	32	15	17	28	21	26	42	42	18	44	47	51	47	37	38
Contig101661_1223	21	13	30	33	19	14	28	17	28	42	46	19	40	45	53	46	39	41
Contig101661_1289	18	21	22	28	20	18	28	25	28	54	49	25	53	44	37	46	31	36
Contig101661_1298	11	17	13	21	13	8	26	26	25	46	46	25	44	36	22	55	21	28
Contig101661_1348	25	15	21	27	14	14	25	22	22	40	45	16	33	40	38	47	35	26
Contig101661_1352	27	19	24	30	14	18	28	25	25	48	49	18	38	43	41	52	41	28
Contig101661_1355	29	22	26	33	16	19	30	29	23	55	55	21	42	46	45	55	40	32
Contig101661_2958	23	20	29	25	11	15	18	23	23	32	50	20	32	25	45	42	31	23
Contig101661_2968	22	15	25	25	12	12	17	21	20	37	58	16	33	31	53	44	33	23
Contig101661_2974	18	16	23	21	9	10	16	18	17	28	61	14	34	24	52	45	32	20
Contig101661_2978	11	14	16	24	5	9	15	14	14	26	52	10	30	25	45	39	28	16
Contig101661_3012	18	13	21	20	19	12	28	18	13	35	60	15	32	37	50	49	36	16
Contig101661_3016	16	12	21	20	23	12	21	19	16	36	61	15	37	40	50	50	36	18
Contig101661_3021	15	12	20	20	21	14	21	18	13	32	60	20	36	37	48	46	39	17
Contig101661_3025	15	11	20	21	20	14	22	18	14	35	58	21	37	39	49	46	37	21
Contig101661_3046	24	15	25	26	20	14	26	22	18	47	63	19	45	46	66	50	48	27
Contig101661_3076	24	20	28	32	17	18	27	30	25	52	65	18	46	47	50	49	48	26
Contig101661_3079	27	21	32	33	18	22	29	32	27	57	72	20	47	45	55	48	49	30
Contig101661_3081	30	21	32	33	19	21	30	30	30	55	67	20	46	49	54	55	54	32
Contig101661_3091	26	22	36	33	19	25	28	35	37	55	69	21	50	52	59	62	55	30
Contig101661_3096	28	25	36	38	18	22	30	33	37	58	68	21	56	55	62	57	59	34
Contig101661_3111	29	23	27	37	17	16	23	25	27	52	55	19	48	50	53	52	50	29
Contig101661_3121	21	22	23	38	17	12	25	24	30	54	52	24	43	45	53	51	46	29
Contig101661_3148	40	26	27	41	30	12	36	43	42	61	69	28	58	69	68	74	64	40
Contig101661_3158	36	23	28	37	29	16	35	33	39	62	68	27	55	70	69	74	63	32
Contig101661_3169	24	17	20	29	20	12	29	24	28	54	66	24	46	52	53	53	54	25
Contig101661_3179	30	22	25	34	25	14	29	30	25	61	67	30	47	48	60	54	61	29
Contig101661_3219	25	16	24	31	15	17	28	23	19	39	57	19	38	45	45	45	46	32
Contig101661_3225	28	20	25	31	23	17	30	27	21	43	61	20	39	43	51	42	47	32
Contig101661_3258	17	13	20	25	18	12	22	26	18	36	46	18	38	34	49	35	38	29
Contig101661_3264	15	22	22	29	18	17	32	31	23	36	50	18	38	37	47	44	49	32
Contig101661_3275	11	21	19	25	19	14	31	29	19	35	46	16	35	23	43	38	46	34
Contig101661_3284	14	20	20	25	17	15	27	33	15	31	48	15	32	26	40	36	38	27
Contig101661_3307	20	11	18	23	11	15	16	22	19	33	43	14	28	27	38	32	26	19
Contig101695_1010	28	17	15	21	19	15	23	28	23	27	25	17	31	36	34	39	28	23
Contig101695_1047	18	23	24	25	16	14	28	24	26	32	34	24	30	33	46	38	32	15
Contig101695_1060	11	20	20	22	17	13	21	27	24	34	35	19	30	27	43	33	34	23
Contig101695_1085	18	12	20	20	16	13	22	19	25	38	34	15	30	27	39	34	26	20
Contig101695_1093	20	12	24	26	20	10	24	23	25	34	36	20	36	32	46	37	28	22
Contig101695_1111	19	10	17	12	12	10	15	15	20	24	23	23	29	29	39	27	18	17
Contig101724_3438	28	16	21	17	16	14	22	20	19	35	47	22	36	37	35	39	29	23
Contig101724_3441	32	20	28	21	16	17	19	22	25	36	51	20	35	36	37	40	30	21
Contig101724_3507	19	13	27	20	14	8	22	22	17	36	50	18	38	53	49	49	26	27
Contig101724_3702	22	13	19	16	15	11	18	17	22	25	32	12	34	34	30	26	26	18
Contig101733_1578	24	14	18	20	14	13	26	18	22	30	26	17	29	33	31	32	31	17
Contig101733_1586	19	12	14	20	14	15	20	17	17	29	26	13	28	27	29	30	29	17
Contig101733_1590	15	17	11	18	15	15	19	15	15	30	23	12	29	28	29	25	27	17
Contig101733_1596	15	25	13	17	15	16	16	16	20	37	24	14	32	33	30	26	28	21
Contig101734_2605	17	15	13	19	15	10	9	18	25	34	34	16	38	30	27	31	26	14
Contig101734_2608	16	17	18	19	13	11	13	22	26	32	38	17	37	31	27	36	30	15
Contig101734_2620	18	20	11	21	13	8	10	12	18	31	28	17	25	26	21	33	28	15
Contig101756_6914	25	14	27	24	15	9	26	18	20	36	34	21	33	40	27	42	25	25
Contig101756_6926	29	18	27	26	16	15	28	17	20	38	35	20	30	46	30	48	31	26
Contig101756_7016	21	13	12	24	14	11	21	21	24	26	30	14	27	36	36	44	25	29
Contig101756_7029	22	24	21	30	17	11	27	25	29	36	40	26	41	41	46	50	37	27
Contig101756_7043	20	27	20	30	14	10	19	20	25	41	35	27	48	41	43	42	31	25
Contig101756_7055	25	23	20	37	18	14	28	23	27	38	39	26	48	47	43	43	34	33
Contig101756_7072	17	13	20	27	16	13	24	13	16	28	33	19	31	30	35	26	22	21
Contig101771_457	26	15	25	23	18	11	24	16	29	24	17	16	25	34	30	14	30	28
Contig101771_462	26	17	20	26	17	11	26	19	31	21	17	16	23	35	26	15	33	25
Contig101771_507	17	17	34	28	15	15	28	21	34	31	22	24	13	32	40	8	32	28
Contig101771_1780	17	17	7	18	13	9	15	14	20	13	8	14	30	32	13	25	20	22
Contig101771_1807	18	18	11	17	16	17	14	15	13	25	19	20	33	32	16	31	25	29
Contig101771_1815	18	15	12	13	13	15	10	17	16	26	17	20	33	35	15	31	24	30
Contig101794_3137	15	5	15	16	12	13	19	20	18	27	25	14	20	26	28	24	21	17
Contig101798_3456	20	20	17	14	16	13	17	12	17	17	7	15	12	12	10	12	14	18
Contig101809_3218	23	17	18	21	13	14	17	20	14	37	36	17	30	23	34	37	30	23
Contig101809_3230	23	19	20	19	14	15	13	18	16	36	46	15	31	29	48	43	27	23
Contig101809_3240	30	28	23	23	22	19	15	23	24	41	62	23	41	38	57	55	36	36
Contig101809_3257	30	26	27	33	20	19	22	29	26	30	61	23	38	45	53	49	37	34
Contig101809_3263	27	21	25	34	21	17	23	25	28	24	59	18	39	41	54	49	41	28
Contig101809_3272	21	20	24	33	17	15	25	23	29	27	56	13	30	34	44	39	38	26
Contig101809_3287	18	15	22	18	16	8	26	16	21	32	56	14	29	32	34	35	30	17
Contig101809_3368	20	17	22	22	14	15	16	16	16	38	39	19	34	26	43	33	25	17
Contig101853_9480	14	19	15	22	14	7	20	23	23	25	21	17	24	31	27	25	18	21
