methQTL,Category,Function,Number of Genes,%,EASE Score,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
Local SNPs,UP_KEYWORDS,Transcription regulation,10,14.49275362,0.07529517352,"Q9C005, Q9DE13, Q05192, Q9Y6Q3, Q14686, Q6GQR8, Q5ZK40, Q5U379, F1QZ88, Q6P1E8",69,34,423,1.803069054,0.9999973423,1,1
Local SNPs,UP_KEYWORDS,Transcription,10,14.49275362,0.0883635099,"Q9C005, Q9DE13, Q05192, Q9Y6Q3, Q14686, Q6GQR8, Q5ZK40, Q5U379, F1QZ88, Q6P1E8",69,35,423,1.751552795,0.9999997425,1,1
Local SNPs,UP_SEQ_FEATURE,compositionally biased region:Poly-Lys,4,5.797101449,0.02594999228,"Q63425, Q9DE13, Q14686, Q56P03",57,5,372,5.221052632,0.999962887,1,1
Local CpGs,GOTERM_BP_DIRECT,GO:0006337~nucleosome disassembly,3,3.614457831,0.007541169323,"Q6DFM1, Q5ZK40, Q5U379",77,8,4450,21.67207792,0.9599306179,1,1
Local CpGs,GOTERM_BP_DIRECT,GO:0043044~ATP-dependent chromatin remodeling,3,3.614457831,0.01987925131,"Q6DFM1, Q5ZK40, Q5U379",77,13,4450,13.33666334,0.9998032916,1,1
Local CpGs,GOTERM_BP_DIRECT,GO:0006281~DNA repair,7,8.43373494,0.03234562274,"P27089, Q14686, Q6DFM1, Q9NSU2, P56282, Q5ZK40, Q5U379",77,141,4450,2.869116699,0.9999991467,1,1
Local CpGs,GOTERM_BP_DIRECT,GO:0030154~cell differentiation,7,8.43373494,0.03638595704,"Q58EK5, O75369, Q8N2R0, Q6GND3, Q6DFM1, Q5ZK40, Q5U379",77,145,4450,2.789968652,0.9999998558,1,1
Local CpGs,GOTERM_BP_DIRECT,GO:0042384~cilium assembly,5,6.024096386,0.03837059297,"Q8TE73, A6N6J5, Q9DE33, Q9R0M0, Q5HYA8",77,75,4450,3.852813853,0.99999994,1,1
Local CpGs,GOTERM_BP_DIRECT,GO:0008285~negative regulation of cell proliferation,5,6.024096386,0.03999373271,"F1PBJ0, Q6DFM1, Q5ZK40, Q8IVL5, Q5U379",77,76,4450,3.802118934,0.9999999707,1,1
Local CpGs,GOTERM_BP_DIRECT,GO:0007409~axonogenesis,3,3.614457831,0.09744305282,"Q920R0, A0N0X6, B7ZC77",77,31,4450,5.592794302,1,1,1
Local CpGs,GOTERM_CC_DIRECT,GO:0090544~BAF-type complex,3,3.614457831,0.006738577009,"Q6DFM1, Q5ZK40, Q5U379",76,8,4654,22.96381579,0.6587227266,1,1
Local CpGs,GOTERM_CC_DIRECT,GO:0005794~Golgi apparatus,11,13.25301205,0.01517195598,"Q9C005, Q9R0M8, P27089, P13395, Q9Y2B1, Q2KIU0, Q95M30, Q9GZX3, Q56P03, P53603, Q8IVL5",76,285,4654,2.363527239,0.912036049,1,1
Local CpGs,GOTERM_CC_DIRECT,GO:0000228~nuclear chromosome,3,3.614457831,0.02057420861,"Q8K2Z4, Q6DFM1, Q5U379",76,14,4654,13.12218045,0.9633162054,1,1
Local CpGs,INTERPRO,"IPR017393:SWI/SNF chromatin-remodeling complex, component hSNF5/Ini1",3,3.614457831,0.0007969085987,"Q6DFM1, Q5ZK40, Q5U379",82,3,4913,59.91463415,0.1923743628,0.1067857522,0.1067857522
Local CpGs,INTERPRO,IPR006939:SNF5/SMARCB1/INI1,3,3.614457831,0.0007969085987,"Q6DFM1, Q5ZK40, Q5U379",82,3,4913,59.91463415,0.1923743628,0.1067857522,0.1067857522
Local CpGs,INTERPRO,IPR020894:Cadherin conserved site,3,3.614457831,0.07701946404,"Q6V0I7, Q9R0M0, Q9HC56",82,28,4913,6.419425087,0.9999999995,1,1
Local CpGs,INTERPRO,IPR002126:Cadherin,3,3.614457831,0.08680501662,"Q6V0I7, Q9R0M0, Q9HC56",82,30,4913,5.991463415,1,1,1
Local CpGs,INTERPRO,"IPR015880:Zinc finger, C2H2-like",5,6.024096386,0.08920427324,"Q9N003, O57415, Q6GQR8, Q8N2R0, Q4R4A2",82,103,4913,2.908477386,1,1,1
Local CpGs,INTERPRO,IPR015919:Cadherin-like,3,3.614457831,0.09183138816,"Q6V0I7, Q9R0M0, Q9HC56",82,31,4913,5.798190401,1,1,1
Local CpGs,PIR_SUPERFAMILY,"PIRSF038126:SWI/SNF chromatin-remodeling complex, component hSNF5/Ini1",3,3.614457831,0.003022528681,"Q6DFM1, Q5ZK40, Q5U379",18,3,515,28.61111111,0.04727948974,0.0483604589,0.0483604589
Local CpGs,UP_KEYWORDS,Disease mutation,15,18.07228916,3.54E-05,"Q8TE73, Q7Z3G6, O75369, Q5HYA8, Q9NSU2, Q9UHC1, Q9GZX3, Q8IVL5, P16157, O76094, Q6V0I7, Q9Y2B1, Q99575, P55809, Q9NQC7",83,250,5100,3.686746988,0.006733679911,0.006756333924,0.006756333924
Local CpGs,UP_KEYWORDS,Cytoskeleton,14,16.86746988,0.03112111051,"Q8TE73, A6N6J5, O75369, Q95M30, P11533, Q5HYA8, P53603, B7ZC77, F1MBP6, P16157, Q9DE33, Q99KL7, P13395, Q9NQC7",83,461,5100,1.86603246,0.9976150832,1,1
Local CpGs,UP_KEYWORDS,Nucleus,33,39.75903614,0.0345132985,"Q61532, Q05192, Q14686, Q6GQR8, Q7Z3G6, Q52I78, Q6GND3, Q9NSU2, Q9DE13, Q96GM8, Q9N003, O57415, Q8K2Z4, Q28E41, Q6DFM1, Q56P03, P56282, F1QZ88, Q63425, Q9C005, Q9BY84, P27089, A5PJA1, Q95M30, Q9UHC1, Q4KMD3, B7ZC77, Q5U379, Q6P1E8, Q99575, Q29RP8, Q8N2R0, Q5ZK40",83,1489,5100,1.361793716,0.9987794865,1,1
Local CpGs,UP_KEYWORDS,Cell junction,7,8.43373494,0.06703112568,"Q63425, Q0P5A0, Q9Z214, F1PBJ0, Q95M30, P11533, B7ZC77",83,179,5100,2.40290772,0.9999982436,1,1
Local CpGs,UP_KEYWORDS,Transcription regulation,14,16.86746988,0.0826967654,"Q9C005, Q05192, Q14686, Q6GQR8, Q6GND3, Q5U379, Q6P1E8, Q9DE13, Q9N003, O57415, Q29RP8, Q6DFM1, Q5ZK40, F1QZ88",83,534,5100,1.610938135,0.9999999308,1,1
Local CpGs,UP_SEQ_FEATURE,sequence variant,26,31.3253012,0.01206048798,"Q9ULT8, Q14686, O75369, Q9NSU2, Q96L50, Q96GM8, O57415, P55809, Q9NUQ9, Q56P03, P56282, Q9NQC7, Q8TE73, Q9BY84, O15254, Q14318, P11533, Q5HYA8, Q9UHC1, Q9GZX3, Q8IVL5, Q6P3S1, P16157, Q6V0I7, Q99575, O14513",70,1078,4562,1.571852637,0.995948823,1,1
Local CpGs,UP_SEQ_FEATURE,compositionally biased region:Poly-Lys,5,6.024096386,0.01888828012,"Q63425, Q9DE13, O76094, Q14686, Q56P03",70,68,4562,4.792016807,0.9998261469,1,1
Local CpGs,UP_SEQ_FEATURE,compositionally biased region:Ser-rich,7,8.43373494,0.03121299932,"Q9ULT8, Q9DE13, Q05192, Q28E41, Q6GND3, O14513, Q6REY9",70,158,4562,2.887341772,0.9999994407,1,1
Local CpGs,UP_SEQ_FEATURE,domain:Cadherin 7,3,3.614457831,0.03266628849,"Q6V0I7, Q9R0M0, Q9HC56",70,19,4562,10.29022556,0.9999997171,1,1
Local CpGs,UP_SEQ_FEATURE,domain:Cadherin 5,3,3.614457831,0.05024439669,"Q6V0I7, Q9R0M0, Q9HC56",70,24,4562,8.146428571,0.9999999999,1,1
Local CpGs,UP_SEQ_FEATURE,domain:Cadherin 6,3,3.614457831,0.05024439669,"Q6V0I7, Q9R0M0, Q9HC56",70,24,4562,8.146428571,0.9999999999,1,1
Local CpGs,UP_SEQ_FEATURE,domain:Cadherin 4,3,3.614457831,0.05409155117,"Q6V0I7, Q9R0M0, Q9HC56",70,25,4562,7.820571429,1,1,1
Local CpGs,UP_SEQ_FEATURE,domain:Cadherin 3,3,3.614457831,0.05409155117,"Q6V0I7, Q9R0M0, Q9HC56",70,25,4562,7.820571429,1,1,1
Local CpGs,UP_SEQ_FEATURE,domain:Cadherin 1,3,3.614457831,0.05803982383,"Q6V0I7, Q9R0M0, Q9HC56",70,26,4562,7.51978022,1,1,1
Local CpGs,UP_SEQ_FEATURE,domain:Cadherin 2,3,3.614457831,0.05803982383,"Q6V0I7, Q9R0M0, Q9HC56",70,26,4562,7.51978022,1,1,1
Local CpGs,UP_SEQ_FEATURE,compositionally biased region:Arg-rich,3,3.614457831,0.08364416624,"Q7Z3G6, Q28E41, Q4KMD3",70,32,4562,6.109821429,1,1,1
Local CpGs,UP_SEQ_FEATURE,repeat:Spectrin 22,2,2.409638554,0.08743275091,"P13395, P11533",70,6,4562,21.72380952,1,1,1
Local CpGs,UP_SEQ_FEATURE,repeat:Spectrin 21,2,2.409638554,0.08743275091,"P13395, P11533",70,6,4562,21.72380952,1,1,1
Distant CpGs,BIOCARTA,m_mitochondriaPathway:Role of Mitochondria in Apoptotic Signaling,6,0.3316749585,0.04990061428,"O08863, Q60989, P97864, O08734, Q62210, O89110",91,6,213,2.340659341,0.9991446829,1,1
Distant CpGs,COG_ONTOLOGY,RNA processing and modification,13,0.7186290768,0.007824473239,"Q3KNM2, Q62203, Q15637, Q5U4Q0, Q5REG1, Q10569, O75400, Q2TAS2, Q99PV0, P17886, O60337, Q8BZZ3, Q9C0H5",270,18,742,1.984773663,0.2403774219,0.2738565634,0.2738565634
Distant CpGs,GOTERM_BP_DIRECT,"GO:0006351~transcription, DNA-templated",218,12.05085683,7.17E-05,"Q07230, P36508, Q5U208, O42101, Q9BQ70, Q63850, Q9Y2G1, Q8TDD1, P18756, P08043, Q6DGQ0, Q9Z2D6, Q06A37, Q8CFK2, Q08AN1, O88573, O88453, Q62655, Q61687, Q12830, P28698, Q04073, Q76KX8, O73630, Q1W1Y5, O46036, P59759, Q96ES7, Q8WY36, Q5ZL67, Q5ZK40, Q96JL9, P45447, P56931, Q9JKB5, Q684M4, Q6GND3, O75123, A2BHJ4, Q99MY8, Q8BY02, Q9DCD2, Q91XE9, Q5XXA9, Q6XP49, Q6DFM1, Q96RK0, Q6ZQ08, Q5R605, Q9DBA9, Q4R381, Q8K4M5, Q80YV3, Q08DA3, Q8WYB5, Q9D1P2, Q3SXZ3, E9QAG8, Q99J08, Q32S26, Q498L2, Q9NPF5, Q7ZWA3, Q9QXE7, Q3ZBM4, Q9R152, Q33BP8, Q7T0M6, Q9D0U6, Q6GL52, Q8CJG1, Q6PDK2, Q8IZD2, Q5RBN9, Q9VI93, Q08999, Q5RBN8, Q8BGS3, E9PZM4, Q03060, Q05481, Q9C0G0, Q5EA28, P46100, Q6ZQ88, Q62210, Q6DRL5, Q5U379, Q8BRH4, A0JNB1, Q5ZKY9, P04052, Q3T8J9, Q8CH18, Q3L8U1, Q9UL36, Q8TAQ2, B7ZS37, Q9C0F0, Q9WVR8, Q8NA19, Q7KZ85, Q9ULD5, Q8VIJ6, P59055, Q96PK6, O70437, Q5T0B9, A0JP85, Q62315, Q5ZKF4, Q6P1E7, Q6P1E8, Q68CP9, Q9NYT6, P57682, Q8IN94, Q8NI08, Q01538, Q15937, Q922B6, Q9DE13, A2VD01, Q96T88, Q5DU02, B4JSC2, Q5RF92, O95718, Q6DC04, Q2VPU4, Q6PGE4, Q6IV72, Q8VC34, Q60636, Q96I24, E9QAM5, Q9P2K5, Q8I8U7, A4IIZ9, Q2QCI8, O60290, Q96EZ8, Q91ZR3, P07207, Q460N5, Q7KU24, Q96LW9, A7SBN6, Q6P9G9, Q9W0T1, Q8BXX2, Q9BTC0, Q15047, Q8BYH8, Q157S1, Q2KI95, Q8IX12, Q0VA03, Q5SWW4, O08856, O08740, G5EDE9, Q29RP8, A6NGD5, Q8WND5, Q32NQ8, O15945, Q5TKA1, Q9D0M2, Q9Z277, Q9CSU0, Q5U4Q0, Q767K9, A1Z7T0, Q9V6L0, Q80XS6, O89106, G5EBU4, O42392, Q5RC80, Q13569, Q9NQZ8, Q62296, Q9VC61, Q8NFU7, Q9BUJ2, Q9Y5B6, Q13330, Q60520, Q15637, Q9HCD5, F1QLY4, E1C3U7, Q9BQA5, Q9Y4A5, P42003, Q8SX83, Q2EMV9, Q5ZKN1, P21783, Q08D57, Q5RDX4, P55094, Q2LE08, Q14678, Q5R1S9, Q17Q39, Q90WR8, Q5SXM1, Q59E55, Q8R3B7, Q96QT6, Q497V6, Q8CGF7, Q9DE26, P41824, B4F6U4, Q7ZYA2",1603,494,4450,1.225056258,0.260177614,0.3013343328,0.3013343328
Distant CpGs,GOTERM_BP_DIRECT,"GO:0006355~regulation of transcription, DNA-templated",178,9.839690437,0.0007535433108,"Q07230, Q5U208, D3ZGB1, Q15937, Q9P215, Q922B6, Q9DE13, Q8TDD1, Q5DU02, P08043, B4JSC2, Q6DGQ0, Q9Z2D6, Q5RF92, Q06A37, O95718, Q6DC04, P08045, Q2VPU4, Q8CFK2, Q08AN1, P21127, Q6PGE4, Q6IV72, Q8VC34, Q62655, Q61687, Q12830, P28698, Q04073, Q76KX8, Q60636, O46036, Q689Z5, E9QAM5, P59759, Q96ES7, P24928, Q8I8U7, A4IIZ9, Q8WY36, Q2QCI8, Q96JL9, O60290, Q96EZ8, Q91ZR3, P56931, Q9JKB5, P51123, Q6IV57, Q6GND3, Q460N5, O75123, A2BHJ4, Q02040, Q6ZQ93, Q99MY8, Q8BY02, Q91XE9, Q7KU24, O57415, Q96LW9, A7SBN6, Q6P9G9, Q6XP49, Q8BXX2, Q6ZQ08, Q13148, Q8BYH8, Q9DBA9, Q8IX12, Q8K4M5, Q0VA03, Q80YV3, Q8WYB5, Q9D1P2, Q08CG8, Q3SXZ3, Q5SWW4, O08856, E9QAG8, Q29RP8, Q99J08, Q498L2, P40417, O15945, Q0IIX9, Q9QXE7, Q9D0M2, Q9R152, Q9Z277, Q9CSU0, Q03111, Q7T0M6, Q9D0U6, A1Z7T0, Q6DJB9, P15330, Q6GL52, Q8CJG1, Q80XS6, Q6PDK2, Q5RBN9, Q5RBN8, O89106, G5EBU4, Q9W6Z2, O42392, A7MB11, Q8BGS3, E9PZM4, Q03060, Q05481, Q5RC80, Q9C0G0, P46100, Q6ZQ88, Q9NQZ8, Q62296, Q62210, Q6DRL5, Q5U379, P11530, Q8BRH4, A0JNB1, P58197, Q9BUJ2, Q8CH18, Q13330, Q3L8U1, Q60520, Q9UL36, Q9C0F0, Q15637, Q9HCD5, F1QLY4, Q8NA19, Q9BQA5, Q7KZ85, Q96T23, Q9Y4A5, Q9ULD5, Q8VIJ6, Q8SX83, Q2EMV9, P59055, Q5ZKN1, Q08D57, Q5RDX4, O70437, P55094, Q9ULU4, Q5T0B9, Q2LE08, Q14678, Q5R1S9, Q62315, Q9H0F5, Q17Q39, Q5SXM1, Q59E55, Q8R3B7, Q5ZKF4, Q6P1E8, Q8CGF7, Q497V6, Q68CP9, Q61191, Q9NYT6, Q9DE26, P57682, Q8IN94, D3ZD32, P41824, Q01538, B4F6U4, Q9Y3Y2, Q7ZYA2",1603,408,4450,1.211117635,0.9578629876,1,1
Distant CpGs,GOTERM_BP_DIRECT,GO:0006397~mRNA processing,47,2.598120509,0.001179623582,"Q8K4P0, Q13435, Q62203, Q6GMH0, Q6IRN2, Q6GND3, Q5F450, P57784, A2BHJ4, Q8C2A2, Q3T106, Q640Q5, P51005, Q02040, Q9DCD2, O01159, Q5RCP3, Q7KZ85, Q8C3P7, Q8VIJ6, Q5ZML3, Q5BJQ6, Q5R580, Q52KI8, P49756, Q8K194, Q9JIX8, P28659, Q8N302, A2AIV2, Q13148, Q8VE97, Q9BQ04, Q3T0D0, Q5RC80, O35286, Q6AXY7, P30352, A6H619, Q24562, Q99PV0, Q5XI29, Q5ZIG2, Q6GPB5, Q8BWQ4, Q5ZJK1, Q7ZWA3",1603,88,4450,1.482660353,0.9929767123,1,1
Distant CpGs,GOTERM_BP_DIRECT,"GO:0048025~negative regulation of mRNA splicing, via spliceosome",8,0.4422332781,0.004263898359,"Q8VE97, Q3T0D0, Q63470, Q9JIX8, Q3T106, Q7ZWA3, Q5RBU8, P62997",1603,8,4450,2.776044916,0.999999984,1,1
Distant CpGs,GOTERM_BP_DIRECT,GO:0042787~protein ubiquitination involved in ubiquitin-dependent protein catabolic process,39,2.155887231,0.004585114759,"Q9ULT8, F8W2M1, Q684M4, Q96KE9, O95714, Q7KRW1, Q62925, Q8K4P8, P50876, Q9ES00, Q8K2J9, A0AVT1, Q8C7R4, Q96T88, E7F6F9, Q80YQ8, Q8BZZ3, Q7Z6Z7, Q7TMY8, Q9VFP2, Q8CFI0, Q5T4S7, Q9D5V5, Q4U2R1, Q12834, Q0V9W6, P51592, Q5NVC7, Q3T139, P58545, Q3U487, F1MBP6, Q9Y4D8, Q8C726, O95071, Q9UK96, Q9P2G9, Q96NJ5, P59280",1603,74,4450,1.463050699,0.9999999959,1,1
Distant CpGs,GOTERM_BP_DIRECT,GO:0016569~covalent chromatin modification,43,2.37700387,0.0055162382,"Q3L8U1, Q8TAQ2, Q8CGY8, Q99MY8, Q7T0M6, E1C3U7, Q7KU24, Q8NA19, Q96T23, Q5DU02, Q02874, Q6PDK2, Q08999, Q5RF92, Q06A37, Q6DC04, Q3UIR3, Q9W0T1, O54941, Q86YI8, Q12830, Q61687, Q62315, E9PZM4, O70546, Q8BYH8, Q13569, P46100, Q6ZQ88, Q0VA03, E7F1C4, Q80YV3, Q5XUN4, Q9D1P2, Q8R3B7, Q8BRH4, Q497V6, A4IH17, Q68CP9, Q8NFU7, Q61191, Q8IN94, Q32S26",1603,84,4450,1.421070612,0.9999999999,1,1
Distant CpGs,GOTERM_BP_DIRECT,GO:0007507~heart development,37,2.045328911,0.009800015577,"Q61037, Q62448, Q14686, P98158, Q8CEQ0, Q6IVV8, P97864, Q9BQ70, Q12802, P0C0T2, A2ASS6, Q90ZK6, P42003, O08852, P15330, E9PY46, Q96MC2, P49815, O70546, P55210, Q5BK30, Q9DBG3, Q8CE72, Q8K2G4, Q9Y6N7, Q00174, P59759, P16554, Q8BKG3, O08586, Q5VJS5, P10070, P40417, Q2QCI8, O89110, Q8VHE6, F1QBY1",1603,72,4450,1.426578637,1,1,1
Distant CpGs,GOTERM_BP_DIRECT,GO:0006338~chromatin remodeling,19,1.050304035,0.009842189098,"Q8TAQ2, Q12830, Q61687, Q9GZN1, Q9Z277, P46100, Q86WJ1, Q9WVR8, Q5U379, Q7ZU90, Q9Y6J9, Q7KZ85, Q96T23, Q8IN94, Q06A37, Q9NPF5, O54941, Q9W0T1, Q6DFM1",1603,31,4450,1.701446884,1,1,1
Distant CpGs,GOTERM_BP_DIRECT,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,91,5.030403538,0.01029399907,"Q61037, Q9QXE7, Q3ZBM4, Q14686, Q62925, O42101, Q52KV5, Q8CGY8, Q9CSU0, D3ZGB1, O75581, Q90ZK6, Q5F3L1, A2VD01, Q96T88, P15330, Q8CJG1, Q6PDK2, Q06A37, O95718, O42392, O88453, Q62655, P28698, Q61687, Q03060, Q8R418, Q1W1Y5, P46100, Q6ZQ88, Q96I24, Q62296, E9QAM5, P59759, Q5ZIM6, Q8NFU7, P58197, Q8N2R0, Q9Y6Y1, Q5ZL67, P07686, Q5ZK40, Q9Y5B6, Q60520, Q9JKB5, P07207, P51123, A5D7H2, Q9QXX0, Q9WVR8, Q99MY8, Q9QXX8, Q08024, Q91XE9, Q5XXA9, P42003, O08852, P59055, Q5ZKN1, Q6XP49, Q96PK6, Q8BXX2, P55094, O70437, Q27HV0, Q7Z5J4, Q157S1, Q63406, Q9DBA9, Q90WR8, Q9WVS8, Q3SWX9, Q08DA3, Q8WYB5, P70553, Q8R3B7, Q60452, Q5SWW4, Q03164, P16056, Q8TEK3, P10070, Q9DBI0, Q06546, P57760, Q8NI08, Q6P5M2, Q32NQ8, Q99PI4, Q7ZWA3, O15945",1603,205,4450,1.232293109,1,1,1
Distant CpGs,GOTERM_BP_DIRECT,GO:0006446~regulation of translational initiation,12,0.6633499171,0.01498347951,"Q04637, Q62448, P55884, B5FZ19, A4II09, Q9DCH4, P23588, Q6PFQ2, Q5RKI1, B2GUV7, Q7T2A5, Q3T102",1603,17,4450,1.959561117,1,1,1
Distant CpGs,GOTERM_BP_DIRECT,GO:0043044~ATP-dependent chromatin remodeling,10,0.5527915976,0.01525981646,"Q7KU24, Q8TAQ2, O46036, Q5RF92, E7F1C4, O54941, Q6DFM1, E9Q2Z1, Q5ZK40, Q5U379",1603,13,4450,2.135419166,1,1,1
Distant CpGs,GOTERM_BP_DIRECT,GO:0035264~multicellular organism growth,18,0.9950248756,0.01639705666,"Q80ZA5, Q61687, P27089, Q1LZ75, Q0KK59, O70546, Q8R418, Q8N328, P46100, O15550, P35689, Q5RJI4, Q8BRH4, P42345, Q03468, Q7T0B1, Q80ZK9, Q9P2D8, Q90687",1603,30,4450,1.665626949,1,1,1
Distant CpGs,GOTERM_BP_DIRECT,GO:0008380~RNA splicing,35,1.934770591,0.01994954765,"Q13435, Q6GMH0, Q6IRN2, Q6GND3, P57784, Q3T106, Q02040, Q9DCD2, O01159, Q5RCP3, Q7KZ85, Q8VIJ6, Q5ZML3, Q5R580, Q52KI8, P49756, Q8K194, Q9JIX8, P28659, A2AIV2, Q5R8W6, Q13148, Q8VE97, Q9BQ04, Q3T0D0, Q5RC80, O35286, Q6AXY7, P30352, Q24562, Q99PV0, Q02427, Q8NI27, Q5ZJK1, Q7ZWA3",1603,70,4450,1.388022458,1,1,1
Distant CpGs,GOTERM_BP_DIRECT,GO:0060021~palate development,13,0.7186290768,0.02443306874,"Q86XX4, Q9WVR8, Q8CE72, Q9H799, Q8K2G4, Q5RJI4, O75581, P58197, Q8N2R0, Q9UG01, Q06A37, Q8CHN6, O70437",1603,20,4450,1.804429195,1,1,1
Distant CpGs,GOTERM_BP_DIRECT,GO:0060216~definitive hemopoiesis,6,0.3316749585,0.02531608929,"Q90WR8, Q6PAJ1, Q28CQ4, Q08024, Q5RJV1, Q03164",1603,6,4450,2.776044916,1,1,1
Distant CpGs,GOTERM_BP_DIRECT,GO:0050767~regulation of neurogenesis,7,0.3869541183,0.02914350747,"P16554, Q8R418, P07207, Q96N67, Q63648, Q6ZQ88, Q06A37",1603,8,4450,2.429039301,1,1,1
Distant CpGs,GOTERM_BP_DIRECT,GO:0030833~regulation of actin filament polymerization,8,0.4422332781,0.03038902142,"Q03427, Q54AX5, O95835, Q6NN85, P50904, P09851, O94868, Q9ULJ8",1603,10,4450,2.220835933,1,1,1
Distant CpGs,GOTERM_BP_DIRECT,GO:0006936~muscle contraction,8,0.4422332781,0.03038902142,"Q24498, P28289, Q99323, Q15746, Q24270, A2ASS6, Q8WZ42, Q9Y490",1603,10,4450,2.220835933,1,1,1
Distant CpGs,GOTERM_BP_DIRECT,GO:0007076~mitotic chromosome condensation,8,0.4422332781,0.03038902142,"Q5R605, Q8K2Z4, Q9I7U4, Q6ZQK0, Q9ERH4, Q8WZ42, Q86YI8, P50533",1603,10,4450,2.220835933,1,1,1
Distant CpGs,GOTERM_BP_DIRECT,GO:0098779~mitophagy in response to mitochondrial depolarization,14,0.7739082366,0.03531918424,"Q5R1S9, A7M7B9, P47860, P29294, Q6PDN3, Q8K2H3, P10587, B1AYB6, A0A0G2K344, Q6ZNE5, Q05A36, Q9JIX8, P55094, Q6AZB0",1603,23,4450,1.68976647,1,1,1
Distant CpGs,GOTERM_BP_DIRECT,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,30,1.658374793,0.04118659082,"Q9QXE7, Q684M4, Q96KE9, Q7KRW1, Q9ES00, Q8K2J9, Q80YQ8, Q8BZZ3, P25789, Q9Z2U1, P48601, Q9VFP2, Q8CFI0, P56701, O43242, Q9H0F5, P52486, Q12834, Q0V9W6, P46462, Q5NVC7, P58545, Q08CG8, Q62210, Q3U487, Q80Z37, P40112, Q8C726, Q13330, F1LRS8",1603,61,4450,1.365267991,1,1,1
