"","contig","start","end","HC.1x.count","SS.1x.count","HC.meanmeth","SS.meanmeth","HC.5x.count","SS.5x.count","start.gene","end.gene","attribute","ID","Note","Ontology_term","SPID"
"11","Contig40227",3317,3317,8,0,94.2582417582418,NA,7,0,1,6296,"ID=OLUR_00026048;Name=OLUR_00026048;Alias=snap_masked-Contig40227-processed-gene-0.0;Note=Similar to pkd2: Polycystin-2 (Danio rerio OX%3D7955);Dbxref=Coils:Coil,InterPro:IPR003915,InterPro:IPR013122,PRINTS:PR01433,Pfam:PF08016;Ontology_term=GO:0005509,GO:0016020;SPID=Q6IVV8;","ID=OLUR_00026048;","Note=Similar to pkd2: Polycystin-2 (Danio rerio OX%3D7955);","Ontology_term=GO:0005509,GO:0016020;","Q6IVV8"
"12","Contig40227",3995,3995,7,1,86.7857142857143,NA,7,0,1,6296,"ID=OLUR_00026048;Name=OLUR_00026048;Alias=snap_masked-Contig40227-processed-gene-0.0;Note=Similar to pkd2: Polycystin-2 (Danio rerio OX%3D7955);Dbxref=Coils:Coil,InterPro:IPR003915,InterPro:IPR013122,PRINTS:PR01433,Pfam:PF08016;Ontology_term=GO:0005509,GO:0016020;SPID=Q6IVV8;","ID=OLUR_00026048;","Note=Similar to pkd2: Polycystin-2 (Danio rerio OX%3D7955);","Ontology_term=GO:0005509,GO:0016020;","Q6IVV8"
"13","Contig40227",4004,4004,8,1,88.9795918367347,NA,7,0,1,6296,"ID=OLUR_00026048;Name=OLUR_00026048;Alias=snap_masked-Contig40227-processed-gene-0.0;Note=Similar to pkd2: Polycystin-2 (Danio rerio OX%3D7955);Dbxref=Coils:Coil,InterPro:IPR003915,InterPro:IPR013122,PRINTS:PR01433,Pfam:PF08016;Ontology_term=GO:0005509,GO:0016020;SPID=Q6IVV8;","ID=OLUR_00026048;","Note=Similar to pkd2: Polycystin-2 (Danio rerio OX%3D7955);","Ontology_term=GO:0005509,GO:0016020;","Q6IVV8"
"14","Contig40227",4091,4091,7,0,93.968253968254,NA,7,0,1,6296,"ID=OLUR_00026048;Name=OLUR_00026048;Alias=snap_masked-Contig40227-processed-gene-0.0;Note=Similar to pkd2: Polycystin-2 (Danio rerio OX%3D7955);Dbxref=Coils:Coil,InterPro:IPR003915,InterPro:IPR013122,PRINTS:PR01433,Pfam:PF08016;Ontology_term=GO:0005509,GO:0016020;SPID=Q6IVV8;","ID=OLUR_00026048;","Note=Similar to pkd2: Polycystin-2 (Danio rerio OX%3D7955);","Ontology_term=GO:0005509,GO:0016020;","Q6IVV8"
"15","Contig40227",4100,4100,7,0,97.1139971139971,NA,7,0,1,6296,"ID=OLUR_00026048;Name=OLUR_00026048;Alias=snap_masked-Contig40227-processed-gene-0.0;Note=Similar to pkd2: Polycystin-2 (Danio rerio OX%3D7955);Dbxref=Coils:Coil,InterPro:IPR003915,InterPro:IPR013122,PRINTS:PR01433,Pfam:PF08016;Ontology_term=GO:0005509,GO:0016020;SPID=Q6IVV8;","ID=OLUR_00026048;","Note=Similar to pkd2: Polycystin-2 (Danio rerio OX%3D7955);","Ontology_term=GO:0005509,GO:0016020;","Q6IVV8"
"16","Contig47001",24418,24418,7,2,78.1377551020408,88.2352941176471,7,1,16893,24534,"ID=OLUR_00008008;Name=OLUR_00008008;Alias=snap_masked-Contig47001-processed-gene-0.4;Note=Similar to ZNF227: Zinc finger protein 227 (Bos taurus OX%3D9913);Dbxref=Coils:Coil,Gene3D:G3DSA:3.30.160.60,InterPro:IPR013087,InterPro:IPR036236,MobiDBLite:mobidb-lite,Pfam:PF00096,Pfam:PF12874,Pfam:PF13912,ProSitePatterns:PS00028,ProSiteProfiles:PS50157,SMART:SM00355,SUPERFAMILY:SSF57667;Ontology_term=GO:0003676;SPID=A0JNB1;","ID=OLUR_00008008;","Note=Similar to ZNF227: Zinc finger protein 227 (Bos taurus OX%3D9913);","Ontology_term=GO:0003676;","A0JNB1"
"17","Contig47001",24429,24429,7,2,78.9035614245698,100,7,1,16893,24534,"ID=OLUR_00008008;Name=OLUR_00008008;Alias=snap_masked-Contig47001-processed-gene-0.4;Note=Similar to ZNF227: Zinc finger protein 227 (Bos taurus OX%3D9913);Dbxref=Coils:Coil,Gene3D:G3DSA:3.30.160.60,InterPro:IPR013087,InterPro:IPR036236,MobiDBLite:mobidb-lite,Pfam:PF00096,Pfam:PF12874,Pfam:PF13912,ProSitePatterns:PS00028,ProSiteProfiles:PS50157,SMART:SM00355,SUPERFAMILY:SSF57667;Ontology_term=GO:0003676;SPID=A0JNB1;","ID=OLUR_00008008;","Note=Similar to ZNF227: Zinc finger protein 227 (Bos taurus OX%3D9913);","Ontology_term=GO:0003676;","A0JNB1"
"18","Contig48393",3600,3600,8,2,86.2925170068027,100,7,1,1,5403,"ID=OLUR_00027306;Name=OLUR_00027306;Alias=snap_masked-Contig48393-processed-gene-0.2;Note=Similar to sma-10: Leucine-rich repeats and immunoglobulin-like domains protein sma-10 (Caenorhabditis elegans OX%3D6239);Dbxref=Gene3D:G3DSA:3.80.10.10,InterPro:IPR000483,InterPro:IPR001611,InterPro:IPR003591,InterPro:IPR025875,InterPro:IPR032675,MobiDBLite:mobidb-lite,Pfam:PF12799,Pfam:PF13855,ProSiteProfiles:PS51450,SMART:SM00082,SMART:SM00369,SUPERFAMILY:SSF52058;Ontology_term=GO:0005515;SPID=Q965M2;","ID=OLUR_00027306;","Note=Similar to sma-10: Leucine-rich repeats and immunoglobulin-like domains protein sma-10 (Caenorhabditis elegans OX%3D6239);","Ontology_term=GO:0005515;","Q965M2"
"19","Contig50716",1948,1948,7,2,94.0630797773655,89.9509803921569,7,2,1,11070,"ID=OLUR_00017123;Name=OLUR_00017123;Alias=maker-Contig50716-snap-gene-0.2;Note=Similar to KAT5: Histone acetyltransferase KAT5 (Pongo abelii OX%3D9601);Dbxref=Gene3D:G3DSA:2.30.30.140,InterPro:IPR016197,InterPro:IPR025995,MobiDBLite:mobidb-lite,Pfam:PF11717,SUPERFAMILY:SSF54160;SPID=Q5RBG4;","ID=OLUR_00017123;","Note=Similar to KAT5: Histone acetyltransferase KAT5 (Pongo abelii OX%3D9601);",NA,"Q5RBG4"
"20","Contig50716",1958,1958,7,2,100,100,7,2,1,11070,"ID=OLUR_00017123;Name=OLUR_00017123;Alias=maker-Contig50716-snap-gene-0.2;Note=Similar to KAT5: Histone acetyltransferase KAT5 (Pongo abelii OX%3D9601);Dbxref=Gene3D:G3DSA:2.30.30.140,InterPro:IPR016197,InterPro:IPR025995,MobiDBLite:mobidb-lite,Pfam:PF11717,SUPERFAMILY:SSF54160;SPID=Q5RBG4;","ID=OLUR_00017123;","Note=Similar to KAT5: Histone acetyltransferase KAT5 (Pongo abelii OX%3D9601);",NA,"Q5RBG4"
"21","Contig50716",1961,1961,7,2,96.031746031746,93.4782608695652,7,2,1,11070,"ID=OLUR_00017123;Name=OLUR_00017123;Alias=maker-Contig50716-snap-gene-0.2;Note=Similar to KAT5: Histone acetyltransferase KAT5 (Pongo abelii OX%3D9601);Dbxref=Gene3D:G3DSA:2.30.30.140,InterPro:IPR016197,InterPro:IPR025995,MobiDBLite:mobidb-lite,Pfam:PF11717,SUPERFAMILY:SSF54160;SPID=Q5RBG4;","ID=OLUR_00017123;","Note=Similar to KAT5: Histone acetyltransferase KAT5 (Pongo abelii OX%3D9601);",NA,"Q5RBG4"
"22","Contig50716",2213,2213,7,2,95.3514739229025,96.6666666666667,7,2,1,11070,"ID=OLUR_00017123;Name=OLUR_00017123;Alias=maker-Contig50716-snap-gene-0.2;Note=Similar to KAT5: Histone acetyltransferase KAT5 (Pongo abelii OX%3D9601);Dbxref=Gene3D:G3DSA:2.30.30.140,InterPro:IPR016197,InterPro:IPR025995,MobiDBLite:mobidb-lite,Pfam:PF11717,SUPERFAMILY:SSF54160;SPID=Q5RBG4;","ID=OLUR_00017123;","Note=Similar to KAT5: Histone acetyltransferase KAT5 (Pongo abelii OX%3D9601);",NA,"Q5RBG4"
"23","Contig54899",345,345,8,2,79.7330447330447,100,7,1,1,16485,"ID=OLUR_00008773;Name=OLUR_00008773;Alias=snap_masked-Contig54899-processed-gene-0.2;Note=Similar to hil-2: Histone H1.2 (Caenorhabditis elegans OX%3D6239);Dbxref=CDD:cd00073,Gene3D:G3DSA:1.10.10.10,InterPro:IPR005818,InterPro:IPR005819,InterPro:IPR036388,InterPro:IPR036390,MobiDBLite:mobidb-lite,PRINTS:PR00624,Pfam:PF00538,ProSiteProfiles:PS51504,SMART:SM00526,SUPERFAMILY:SSF46785;Ontology_term=GO:0000786,GO:0003677,GO:0005634,GO:0006334;SPID=P15796;","ID=OLUR_00008773;","Note=Similar to hil-2: Histone H1.2 (Caenorhabditis elegans OX%3D6239);","Ontology_term=GO:0000786,GO:0003677,GO:0005634,GO:0006334;","P15796"
"24","Contig5712",2954,2954,8,2,95.2522675736961,94.0476190476191,7,2,1,4785,"ID=OLUR_00028073;Name=OLUR_00028073;Alias=maker-Contig5712-snap-gene-0.1;Note=Similar to SUMF2: Inactive C-alpha-formylglycine-generating enzyme 2 (Bos taurus OX%3D9913);Dbxref=Gene3D:G3DSA:3.90.1580.10,InterPro:IPR005532,InterPro:IPR016187,Pfam:PF03781,SUPERFAMILY:SSF56436;SPID=Q58CP2;","ID=OLUR_00028073;","Note=Similar to SUMF2: Inactive C-alpha-formylglycine-generating enzyme 2 (Bos taurus OX%3D9913);",NA,"Q58CP2"
"25","Contig5712",2970,2970,8,2,89.7152194211018,87.5,7,2,1,4785,"ID=OLUR_00028073;Name=OLUR_00028073;Alias=maker-Contig5712-snap-gene-0.1;Note=Similar to SUMF2: Inactive C-alpha-formylglycine-generating enzyme 2 (Bos taurus OX%3D9913);Dbxref=Gene3D:G3DSA:3.90.1580.10,InterPro:IPR005532,InterPro:IPR016187,Pfam:PF03781,SUPERFAMILY:SSF56436;SPID=Q58CP2;","ID=OLUR_00028073;","Note=Similar to SUMF2: Inactive C-alpha-formylglycine-generating enzyme 2 (Bos taurus OX%3D9913);",NA,"Q58CP2"
"26","Contig6242",10114,10114,9,2,97.1428571428571,100,7,2,1,10260,"ID=OLUR_00020763;Name=OLUR_00020763;Alias=maker-Contig6242-snap-gene-0.2;Note=Similar to EIF2AK1: Eukaryotic translation initiation factor 2-alpha kinase 1 (Homo sapiens OX%3D9606);Dbxref=Coils:Coil,Gene3D:G3DSA:1.10.510.10,Gene3D:G3DSA:3.30.200.20,InterPro:IPR000719,InterPro:IPR011009,InterPro:IPR017441,Pfam:PF00069,ProSitePatterns:PS00107,ProSiteProfiles:PS50011,SUPERFAMILY:SSF56112;Ontology_term=GO:0004672,GO:0005524,GO:0006468;SPID=Q9BQI3;","ID=OLUR_00020763;","Note=Similar to EIF2AK1: Eukaryotic translation initiation factor 2-alpha kinase 1 (Homo sapiens OX%3D9606);","Ontology_term=GO:0004672,GO:0005524,GO:0006468;","Q9BQI3"
"27","Contig6242",10173,10173,9,2,91.3365346138455,100,7,2,1,10260,"ID=OLUR_00020763;Name=OLUR_00020763;Alias=maker-Contig6242-snap-gene-0.2;Note=Similar to EIF2AK1: Eukaryotic translation initiation factor 2-alpha kinase 1 (Homo sapiens OX%3D9606);Dbxref=Coils:Coil,Gene3D:G3DSA:1.10.510.10,Gene3D:G3DSA:3.30.200.20,InterPro:IPR000719,InterPro:IPR011009,InterPro:IPR017441,Pfam:PF00069,ProSitePatterns:PS00107,ProSiteProfiles:PS50011,SUPERFAMILY:SSF56112;Ontology_term=GO:0004672,GO:0005524,GO:0006468;SPID=Q9BQI3;","ID=OLUR_00020763;","Note=Similar to EIF2AK1: Eukaryotic translation initiation factor 2-alpha kinase 1 (Homo sapiens OX%3D9606);","Ontology_term=GO:0004672,GO:0005524,GO:0006468;","Q9BQI3"
"28","Contig69",53993,53993,9,1,94.2857142857143,NA,7,0,37098,64562,"ID=OLUR_00000586;Name=OLUR_00000586;Alias=maker-Contig69-snap-gene-0.9;Note=Similar to VWDE: von Willebrand factor D and EGF domain-containing protein (Homo sapiens OX%3D9606);Dbxref=Gene3D:G3DSA:2.60.120.260,InterPro:IPR008979;SPID=Q8N2E2;","ID=OLUR_00000586;","Note=Similar to VWDE: von Willebrand factor D and EGF domain-containing protein (Homo sapiens OX%3D9606);",NA,"Q8N2E2"
"29","Contig69",54402,54402,8,2,91.1111111111111,NA,7,0,37098,64562,"ID=OLUR_00000586;Name=OLUR_00000586;Alias=maker-Contig69-snap-gene-0.9;Note=Similar to VWDE: von Willebrand factor D and EGF domain-containing protein (Homo sapiens OX%3D9606);Dbxref=Gene3D:G3DSA:2.60.120.260,InterPro:IPR008979;SPID=Q8N2E2;","ID=OLUR_00000586;","Note=Similar to VWDE: von Willebrand factor D and EGF domain-containing protein (Homo sapiens OX%3D9606);",NA,"Q8N2E2"
"30","Contig69",54418,54418,9,2,86.1328955531854,85.7142857142857,9,1,37098,64562,"ID=OLUR_00000586;Name=OLUR_00000586;Alias=maker-Contig69-snap-gene-0.9;Note=Similar to VWDE: von Willebrand factor D and EGF domain-containing protein (Homo sapiens OX%3D9606);Dbxref=Gene3D:G3DSA:2.60.120.260,InterPro:IPR008979;SPID=Q8N2E2;","ID=OLUR_00000586;","Note=Similar to VWDE: von Willebrand factor D and EGF domain-containing protein (Homo sapiens OX%3D9606);",NA,"Q8N2E2"
"31","Contig69",54425,54425,9,1,91.1867664499243,100,9,1,37098,64562,"ID=OLUR_00000586;Name=OLUR_00000586;Alias=maker-Contig69-snap-gene-0.9;Note=Similar to VWDE: von Willebrand factor D and EGF domain-containing protein (Homo sapiens OX%3D9606);Dbxref=Gene3D:G3DSA:2.60.120.260,InterPro:IPR008979;SPID=Q8N2E2;","ID=OLUR_00000586;","Note=Similar to VWDE: von Willebrand factor D and EGF domain-containing protein (Homo sapiens OX%3D9606);",NA,"Q8N2E2"
"32","Contig69",54441,54441,9,1,97.9591836734694,100,7,1,37098,64562,"ID=OLUR_00000586;Name=OLUR_00000586;Alias=maker-Contig69-snap-gene-0.9;Note=Similar to VWDE: von Willebrand factor D and EGF domain-containing protein (Homo sapiens OX%3D9606);Dbxref=Gene3D:G3DSA:2.60.120.260,InterPro:IPR008979;SPID=Q8N2E2;","ID=OLUR_00000586;","Note=Similar to VWDE: von Willebrand factor D and EGF domain-containing protein (Homo sapiens OX%3D9606);",NA,"Q8N2E2"
"33","Contig69",55695,55695,9,1,92.8174603174603,57.1428571428571,7,1,37098,64562,"ID=OLUR_00000586;Name=OLUR_00000586;Alias=maker-Contig69-snap-gene-0.9;Note=Similar to VWDE: von Willebrand factor D and EGF domain-containing protein (Homo sapiens OX%3D9606);Dbxref=Gene3D:G3DSA:2.60.120.260,InterPro:IPR008979;SPID=Q8N2E2;","ID=OLUR_00000586;","Note=Similar to VWDE: von Willebrand factor D and EGF domain-containing protein (Homo sapiens OX%3D9606);",NA,"Q8N2E2"
"34","Contig69",55708,55708,9,1,90.8782883782884,100,8,1,37098,64562,"ID=OLUR_00000586;Name=OLUR_00000586;Alias=maker-Contig69-snap-gene-0.9;Note=Similar to VWDE: von Willebrand factor D and EGF domain-containing protein (Homo sapiens OX%3D9606);Dbxref=Gene3D:G3DSA:2.60.120.260,InterPro:IPR008979;SPID=Q8N2E2;","ID=OLUR_00000586;","Note=Similar to VWDE: von Willebrand factor D and EGF domain-containing protein (Homo sapiens OX%3D9606);",NA,"Q8N2E2"
"35","Contig69",55716,55716,9,1,82.1924603174603,70,8,1,37098,64562,"ID=OLUR_00000586;Name=OLUR_00000586;Alias=maker-Contig69-snap-gene-0.9;Note=Similar to VWDE: von Willebrand factor D and EGF domain-containing protein (Homo sapiens OX%3D9606);Dbxref=Gene3D:G3DSA:2.60.120.260,InterPro:IPR008979;SPID=Q8N2E2;","ID=OLUR_00000586;","Note=Similar to VWDE: von Willebrand factor D and EGF domain-containing protein (Homo sapiens OX%3D9606);",NA,"Q8N2E2"
"36","Contig69",57086,57086,9,1,88.7301587301587,100,7,1,37098,64562,"ID=OLUR_00000586;Name=OLUR_00000586;Alias=maker-Contig69-snap-gene-0.9;Note=Similar to VWDE: von Willebrand factor D and EGF domain-containing protein (Homo sapiens OX%3D9606);Dbxref=Gene3D:G3DSA:2.60.120.260,InterPro:IPR008979;SPID=Q8N2E2;","ID=OLUR_00000586;","Note=Similar to VWDE: von Willebrand factor D and EGF domain-containing protein (Homo sapiens OX%3D9606);",NA,"Q8N2E2"
"37","Contig69",57794,57794,9,2,92.4725274725275,100,8,1,37098,64562,"ID=OLUR_00000586;Name=OLUR_00000586;Alias=maker-Contig69-snap-gene-0.9;Note=Similar to VWDE: von Willebrand factor D and EGF domain-containing protein (Homo sapiens OX%3D9606);Dbxref=Gene3D:G3DSA:2.60.120.260,InterPro:IPR008979;SPID=Q8N2E2;","ID=OLUR_00000586;","Note=Similar to VWDE: von Willebrand factor D and EGF domain-containing protein (Homo sapiens OX%3D9606);",NA,"Q8N2E2"
"38","Contig69",58677,58677,9,1,85.0235478806907,91.6666666666667,7,1,37098,64562,"ID=OLUR_00000586;Name=OLUR_00000586;Alias=maker-Contig69-snap-gene-0.9;Note=Similar to VWDE: von Willebrand factor D and EGF domain-containing protein (Homo sapiens OX%3D9606);Dbxref=Gene3D:G3DSA:2.60.120.260,InterPro:IPR008979;SPID=Q8N2E2;","ID=OLUR_00000586;","Note=Similar to VWDE: von Willebrand factor D and EGF domain-containing protein (Homo sapiens OX%3D9606);",NA,"Q8N2E2"
"39","Contig69",58725,58725,9,1,86.1111111111111,NA,7,0,37098,64562,"ID=OLUR_00000586;Name=OLUR_00000586;Alias=maker-Contig69-snap-gene-0.9;Note=Similar to VWDE: von Willebrand factor D and EGF domain-containing protein (Homo sapiens OX%3D9606);Dbxref=Gene3D:G3DSA:2.60.120.260,InterPro:IPR008979;SPID=Q8N2E2;","ID=OLUR_00000586;","Note=Similar to VWDE: von Willebrand factor D and EGF domain-containing protein (Homo sapiens OX%3D9606);",NA,"Q8N2E2"
"40","Contig69",58734,58734,9,2,89.280303030303,NA,8,0,37098,64562,"ID=OLUR_00000586;Name=OLUR_00000586;Alias=maker-Contig69-snap-gene-0.9;Note=Similar to VWDE: von Willebrand factor D and EGF domain-containing protein (Homo sapiens OX%3D9606);Dbxref=Gene3D:G3DSA:2.60.120.260,InterPro:IPR008979;SPID=Q8N2E2;","ID=OLUR_00000586;","Note=Similar to VWDE: von Willebrand factor D and EGF domain-containing protein (Homo sapiens OX%3D9606);",NA,"Q8N2E2"
"41","Contig77855",2633,2633,8,2,88.474025974026,90.9090909090909,8,1,134,5929,"ID=OLUR_00023956;Name=OLUR_00023956;Alias=maker-Contig77855-snap-gene-0.1;Note=Similar to Gch1: GTP cyclohydrolase 1 (Mus musculus OX%3D10090);Dbxref=Gene3D:G3DSA:3.30.1130.10,InterPro:IPR020602,Pfam:PF01227,SUPERFAMILY:SSF55620;SPID=Q05915;","ID=OLUR_00023956;","Note=Similar to Gch1: GTP cyclohydrolase 1 (Mus musculus OX%3D10090);",NA,"Q05915"
"42","Contig78236",33,33,9,2,93.5802469135802,100,9,2,1,4588,"ID=OLUR_00028304;Name=OLUR_00028304;Alias=maker-Contig78236-snap-gene-0.1;Note=Similar to Manf: Mesencephalic astrocyte-derived neurotrophic factor homolog (Drosophila grimshawi OX%3D7222);Dbxref=Gene3D:G3DSA:1.10.225.10,InterPro:IPR019345,Pfam:PF10208;SPID=B4JT39;","ID=OLUR_00028304;","Note=Similar to Manf: Mesencephalic astrocyte-derived neurotrophic factor homolog (Drosophila grimshawi OX%3D7222);",NA,"B4JT39"
"43","Contig802",20434,20434,9,2,92.4829931972789,NA,7,0,13205,31324,"ID=OLUR_00005265;Name=OLUR_00005265;Alias=maker-Contig802-snap-gene-0.1;Note=Similar to UNC79: Protein unc-79 homolog (Homo sapiens OX%3D9606);SPID=Q9P2D8;","ID=OLUR_00005265;","Note=Similar to UNC79: Protein unc-79 homolog (Homo sapiens OX%3D9606);",NA,"Q9P2D8"
"44","Contig97177",2959,2959,8,1,98.5714285714286,NA,7,0,1,13467,"ID=OLUR_00017096;Name=OLUR_00017096;Alias=maker-Contig97177-snap-gene-0.2;Note=Similar to IGF2R: Cation-independent mannose-6-phosphate receptor (Bos taurus OX%3D9913);Dbxref=Gene3D:G3DSA:2.70.130.10,InterPro:IPR000479,InterPro:IPR009011,Pfam:PF00878,SMART:SM01404,SUPERFAMILY:SSF50911;Ontology_term=GO:0007041,GO:0038023,GO:0051219;SPID=P08169;","ID=OLUR_00017096;","Note=Similar to IGF2R: Cation-independent mannose-6-phosphate receptor (Bos taurus OX%3D9913);","Ontology_term=GO:0007041,GO:0038023,GO:0051219;","P08169"
