siteID	chr	start	end	strand	coverage1	numCs1	numTs1	coverage2	numCs2	numTs2	coverage3	numCs3	numTs3	coverage4	numCs4	numTs4	coverage5	numCs5	numTs5	coverage6	numCs6	numTs6	coverage7	numCs7	numTs7	coverage8	numCs8	numTs8	coverage9	numCs9	numTs9	coverage10	numCs10	numTs10	coverage11	numCs11	numTs11	coverage12	numCs12	numTs12	coverage13	numCs13	numTs13	coverage14	numCs14	numTs14	coverage15	numCs15	numTs15	coverage16	numCs16	numTs16	coverage17	numCs17	numTs17	coverage18	numCs18	numTs18
Contig100164_1037	Contig100164	1037	1037	+	30	23	7	24	22	2	30	26	4	41	39	2	20	16	4	25	23	2	41	36	5	32	30	2	39	39	0	45	42	3	17	17	0	35	29	6	42	41	1	48	44	4	44	42	2	34	33	1	39	38	1	44	42	2
Contig100188_606	Contig100188	606	606	+	18	17	1	18	18	0	13	13	0	26	25	1	15	15	0	12	12	0	16	16	0	22	21	1	22	21	1	10	10	0	13	12	1	17	17	0	33	31	2	26	25	1	34	33	1	24	22	2	24	23	1	18	18	0
Contig100188_613	Contig100188	613	613	+	21	19	2	19	18	1	13	13	0	25	25	0	20	19	1	14	14	0	20	20	0	19	17	2	22	21	1	13	13	0	15	15	0	14	13	1	36	36	0	31	30	1	32	31	1	21	21	0	25	18	7	21	21	0
Contig100188_616	Contig100188	616	616	+	18	18	0	16	16	0	14	14	0	23	23	0	19	18	1	11	9	2	20	20	0	17	16	1	20	20	0	9	9	0	14	13	1	15	15	0	35	35	0	24	23	1	34	33	1	21	20	1	20	20	0	15	15	0
Contig100199_24194	Contig100199	24194	24194	+	14	14	0	13	12	1	20	20	0	24	23	1	16	15	1	12	10	2	22	21	1	20	19	1	20	18	2	32	28	4	33	30	3	13	13	0	33	31	2	25	24	1	27	27	0	35	34	1	28	26	2	28	27	1
Contig100231_3835	Contig100231	3835	3835	+	19	19	0	18	0	18	18	18	0	22	22	0	20	13	7	18	18	0	24	21	3	23	22	1	25	24	1	30	29	1	36	35	1	21	20	1	41	39	2	42	40	2	42	42	0	44	44	0	27	27	0	23	23	0
Contig100231_3858	Contig100231	3858	3858	+	21	18	3	21	21	0	20	20	0	22	22	0	19	17	2	15	15	0	36	36	0	32	32	0	28	27	1	39	38	1	39	39	0	15	15	0	43	41	2	47	46	1	48	47	1	53	52	1	38	38	0	23	22	1
Contig100231_3862	Contig100231	3862	3862	+	23	21	2	21	21	0	20	20	0	20	20	0	19	18	1	14	14	0	37	33	4	30	29	1	19	16	3	36	36	0	38	38	0	14	12	2	45	40	5	49	47	2	46	44	2	50	48	2	30	30	0	23	23	0
Contig100231_3874	Contig100231	3874	3874	+	30	27	3	28	26	2	24	0	24	24	12	12	16	5	11	18	14	4	33	0	33	26	18	8	24	11	13	31	20	11	39	0	39	20	19	1	39	1	38	47	21	26	50	27	23	53	0	53	34	0	34	24	13	11
Contig100231_3886	Contig100231	3886	3886	+	26	24	2	26	24	2	28	28	0	22	21	1	20	19	1	16	15	1	34	32	2	22	19	3	22	21	1	40	37	3	39	39	0	22	20	2	45	45	0	51	46	5	52	47	5	45	40	5	37	36	1	24	22	2
Contig100231_3896	Contig100231	3896	3896	+	27	26	1	25	24	1	29	28	1	26	26	0	22	21	1	9	9	0	35	33	2	21	21	0	29	26	3	51	50	1	45	45	0	23	22	1	50	49	1	55	50	5	58	56	2	39	39	0	50	48	2	27	26	1
Contig100231_3912	Contig100231	3912	3912	+	22	21	1	17	17	0	20	19	1	15	15	0	18	18	0	4	4	0	29	29	0	20	18	2	27	27	0	49	49	0	44	43	1	19	18	1	49	48	1	43	41	2	54	53	1	41	38	3	37	35	2	23	23	0
Contig100242_4082	Contig100242	4082	4082	+	33	32	1	29	29	0	28	26	2	28	25	3	19	18	1	26	24	2	31	27	4	27	27	0	33	28	5	36	32	4	43	42	1	20	19	1	45	43	2	49	48	1	42	42	0	37	37	0	30	30	0	23	23	0
Contig100242_4084	Contig100242	4084	4084	+	39	37	2	31	29	2	31	29	2	32	28	4	20	17	3	28	26	2	33	27	6	31	28	3	35	31	4	37	34	3	47	41	6	24	20	4	45	41	4	49	43	6	45	38	7	47	41	6	33	31	2	26	23	3
Contig100242_4094	Contig100242	4094	4094	+	37	36	1	26	24	2	25	22	3	33	31	2	14	12	2	26	24	2	32	31	1	27	27	0	31	29	2	38	38	0	43	40	3	22	20	2	42	40	2	49	46	3	43	42	1	50	48	2	32	31	1	25	24	1
Contig100242_4100	Contig100242	4100	4100	+	26	21	5	16	14	2	17	15	2	24	21	3	14	14	0	19	16	3	20	17	3	15	14	1	17	16	1	28	24	4	34	30	4	14	13	1	28	26	2	37	30	7	27	26	1	36	32	4	24	22	2	16	15	1
Contig100247_5811	Contig100247	5811	5811	+	36	20	16	35	24	11	19	12	7	39	22	17	17	11	6	32	18	14	24	14	10	40	17	23	41	17	24	36	18	18	26	13	13	32	18	14	36	17	19	41	29	12	28	18	10	43	29	14	22	5	17	39	23	16
Contig100247_5815	Contig100247	5815	5815	+	42	32	10	42	29	13	20	14	6	46	37	9	19	11	8	39	28	11	27	21	6	46	40	6	48	45	3	44	38	6	34	30	4	38	25	13	43	36	7	47	38	9	37	35	2	48	38	10	27	21	6	51	39	12
Contig100267_6648	Contig100267	6648	6648	+	20	17	3	15	14	1	24	21	3	16	16	0	18	17	1	14	13	1	21	19	2	19	19	0	16	16	0	24	22	2	28	26	2	15	14	1	22	22	0	24	19	5	19	16	3	21	19	2	23	20	3	15	11	4
Contig100267_6663	Contig100267	6663	6663	+	41	40	1	23	23	0	35	24	11	31	31	0	26	20	6	23	23	0	37	36	1	33	31	2	23	21	2	36	31	5	52	45	7	24	21	3	34	26	8	36	31	5	22	20	2	40	39	1	32	29	3	28	27	1
Contig100353_1879	Contig100353	1879	1879	+	19	18	1	9	9	0	19	19	0	13	13	0	10	9	1	10	10	0	16	16	0	18	17	1	26	24	2	14	14	0	4	3	1	13	13	0	15	13	2	30	30	0	27	25	2	23	23	0	19	18	1	16	16	0
Contig100353_1901	Contig100353	1901	1901	+	24	22	2	15	14	1	18	18	0	19	19	0	9	9	0	12	11	1	13	12	1	22	19	3	28	27	1	12	12	0	5	5	0	19	16	3	18	16	2	34	34	0	32	32	0	24	23	1	20	19	1	20	20	0
Contig100396_1493	Contig100396	1493	1493	+	22	22	0	11	11	0	16	14	2	21	20	1	15	13	2	16	16	0	22	22	0	16	16	0	21	20	1	32	30	2	21	20	1	20	20	0	33	33	0	31	30	1	35	34	1	30	26	4	29	29	0	27	26	1
Contig100499_2590	Contig100499	2590	2590	+	23	21	2	19	13	6	19	15	4	8	8	0	16	14	2	19	18	1	25	24	1	21	21	0	24	23	1	23	22	1	39	38	1	13	10	3	32	28	4	42	38	4	57	56	1	41	38	3	11	10	1	15	13	2
Contig100522_5271	Contig100522	5271	5271	+	40	38	2	28	26	2	48	44	4	46	40	6	15	15	0	30	28	2	41	30	11	40	38	2	45	44	1	50	46	4	57	55	2	27	26	1	43	42	1	48	43	5	62	61	1	57	54	3	55	54	1	24	23	1
Contig100522_5285	Contig100522	5285	5285	+	40	37	3	33	32	1	53	50	3	44	43	1	17	17	0	32	31	1	40	38	2	38	37	1	42	40	2	55	50	5	62	56	6	21	20	1	50	49	1	54	51	3	67	64	3	65	64	1	55	54	1	27	24	3
Contig100522_5295	Contig100522	5295	5295	+	29	28	1	25	23	2	33	28	5	30	29	1	15	13	2	23	23	0	29	24	5	25	20	5	24	24	0	35	30	5	44	32	12	17	15	2	38	33	5	42	36	6	41	38	3	45	43	2	38	35	3	16	16	0
Contig100556_1702	Contig100556	1702	1702	+	39	32	7	27	25	2	39	36	3	34	28	6	29	26	3	34	29	5	37	32	5	28	25	3	38	30	8	38	32	6	27	24	3	37	35	2	47	43	4	53	48	5	45	40	5	33	30	3	21	17	4	34	30	4
Contig100556_1864	Contig100556	1864	1864	+	10	9	1	10	8	2	14	13	1	10	9	1	13	12	1	11	8	3	13	9	4	13	13	0	14	11	3	10	5	5	13	13	0	13	9	4	12	10	2	14	9	5	15	11	4	13	9	4	12	11	1	13	11	2
Contig100556_1869	Contig100556	1869	1869	+	14	10	4	14	13	1	14	12	2	13	10	3	16	16	0	14	12	2	15	14	1	16	15	1	16	16	0	14	14	0	15	13	2	14	13	1	14	13	1	16	15	1	16	14	2	15	15	0	14	14	0	15	12	3
Contig100578_1226	Contig100578	1226	1226	+	32	31	1	25	23	2	30	30	0	25	21	4	19	14	5	18	18	0	28	24	4	26	26	0	31	31	0	25	25	0	28	27	1	30	28	2	40	36	4	44	40	4	47	47	0	34	33	1	38	37	1	31	29	2
Contig100578_1264	Contig100578	1264	1264	+	30	28	2	27	24	3	26	26	0	24	24	0	15	13	2	18	17	1	24	23	1	30	24	6	29	27	2	29	26	3	25	23	2	28	24	4	36	36	0	32	32	0	35	33	2	33	30	3	24	23	1	25	23	2
Contig100706_944	Contig100706	944	944	+	18	15	3	24	17	7	21	19	2	24	16	8	19	17	2	17	11	6	27	25	2	20	12	8	23	21	2	17	13	4	12	9	3	15	12	3	21	12	9	23	14	9	14	14	0	18	13	5	22	18	4	21	17	4
Contig100745_189	Contig100745	189	189	+	12	11	1	17	10	7	23	23	0	17	17	0	9	8	1	13	13	0	16	15	1	14	13	1	10	10	0	20	13	7	6	6	0	14	13	1	18	16	2	16	16	0	12	11	1	16	15	1	14	13	1	13	11	2
Contig100764_569	Contig100764	569	569	+	11	9	2	20	19	1	23	21	2	21	19	2	14	14	0	15	14	1	21	19	2	17	17	0	24	21	3	28	24	4	39	17	22	9	8	1	36	12	24	39	13	26	37	36	1	43	42	1	29	28	1	12	12	0
Contig100771_1673	Contig100771	1673	1673	+	20	19	1	16	15	1	17	15	2	20	17	3	12	12	0	11	10	1	17	17	0	20	20	0	24	23	1	17	15	2	31	23	8	6	5	1	35	32	3	32	32	0	41	41	0	45	41	4	25	24	1	20	17	3
Contig100776_1656	Contig100776	1656	1656	+	23	19	4	14	13	1	17	14	3	19	18	1	15	10	5	19	14	5	11	10	1	21	19	2	22	17	5	37	26	11	32	25	7	19	7	12	32	25	7	32	24	8	41	36	5	42	35	7	31	27	4	22	18	4
Contig100776_1700	Contig100776	1700	1700	+	21	21	0	14	13	1	15	15	0	25	23	2	11	11	0	15	13	2	16	16	0	16	16	0	21	17	4	34	31	3	31	20	11	28	28	0	39	36	3	27	25	2	40	38	2	32	30	2	33	31	2	22	19	3
Contig100776_1764	Contig100776	1764	1764	+	15	15	0	13	0	13	21	18	3	17	8	9	12	5	7	20	17	3	21	7	14	19	8	11	23	19	4	29	21	8	51	34	17	13	9	4	45	35	10	28	13	15	39	34	5	45	34	11	38	22	16	27	19	8
Contig100776_1801	Contig100776	1801	1801	+	40	31	9	22	13	9	29	24	5	38	31	7	21	18	3	19	16	3	41	33	8	31	22	9	22	12	10	55	39	16	63	53	10	26	14	12	45	37	8	52	44	8	58	46	12	54	43	11	48	40	8	31	25	6
Contig100776_1805	Contig100776	1805	1805	+	36	35	1	21	21	0	26	25	1	32	29	3	17	16	1	15	15	0	36	33	3	27	27	0	25	24	1	52	51	1	59	57	2	24	21	3	39	39	0	46	43	3	51	46	5	47	42	5	44	43	1	29	28	1
Contig100776_1862	Contig100776	1862	1862	+	20	19	1	22	18	4	26	23	3	29	28	1	18	13	5	10	6	4	23	16	7	18	17	1	21	15	6	38	30	8	53	49	4	17	15	2	44	35	9	50	47	3	52	44	8	52	44	8	37	27	10	23	20	3
Contig100776_1873	Contig100776	1873	1873	+	31	29	2	22	18	4	32	28	4	39	36	3	29	19	10	15	15	0	35	26	9	28	27	1	29	24	5	45	38	7	66	59	7	26	19	7	52	49	3	57	53	4	63	57	6	62	53	9	46	40	6	26	23	3
Contig100776_1884	Contig100776	1884	1884	+	24	23	1	15	0	15	24	24	0	31	14	17	21	12	9	17	16	1	31	11	20	22	14	8	21	18	3	40	36	4	53	48	5	26	16	10	48	45	3	45	23	22	56	50	6	54	47	7	39	26	13	25	24	1
Contig100776_1915	Contig100776	1915	1915	+	26	25	1	23	22	1	19	19	0	26	25	1	13	13	0	18	17	1	29	28	1	17	15	2	20	19	1	44	43	1	60	57	3	13	13	0	41	36	5	35	30	5	38	37	1	43	38	5	26	24	2	23	20	3
Contig100807_3533	Contig100807	3533	3533	+	25	21	4	30	28	2	35	31	4	26	24	2	22	22	0	21	21	0	28	26	2	31	27	4	32	29	3	63	58	5	61	55	6	27	27	0	66	62	4	46	45	1	54	49	5	52	49	3	32	29	3	29	25	4
Contig100807_3551	Contig100807	3551	3551	+	14	1	13	17	4	13	18	6	12	18	5	13	14	6	8	12	4	8	13	2	11	21	6	15	22	8	14	38	18	20	36	13	23	16	7	9	38	20	18	27	9	18	30	13	17	25	11	14	21	1	20	15	5	10
Contig100831_4297	Contig100831	4297	4297	+	23	22	1	21	16	5	31	23	8	25	14	11	18	16	2	18	17	1	29	25	4	23	21	2	26	19	7	22	13	9	24	18	6	19	11	8	26	14	12	27	22	5	25	23	2	38	31	7	24	17	7	25	17	8
Contig100831_4306	Contig100831	4306	4306	+	32	27	5	26	20	6	33	25	8	31	22	9	25	25	0	24	21	3	34	27	7	29	19	10	29	25	4	32	24	8	30	28	2	21	18	3	31	24	7	38	31	7	34	26	8	42	30	12	26	18	8	29	21	8
Contig100964_9123	Contig100964	9123	9123	+	20	17	3	18	16	2	26	24	2	19	18	1	17	15	2	12	12	0	24	22	2	27	27	0	20	19	1	29	27	2	31	28	3	17	16	1	34	33	1	41	40	1	37	35	2	44	40	4	24	22	2	22	20	2
Contig100964_9127	Contig100964	9127	9127	+	24	22	2	19	16	3	29	28	1	21	20	1	18	14	4	11	8	3	28	26	2	27	27	0	23	20	3	27	27	0	32	31	1	18	17	1	37	36	1	43	42	1	38	35	3	44	40	4	25	25	0	25	21	4
Contig100964_9135	Contig100964	9135	9135	+	20	20	0	18	15	3	27	27	0	16	14	2	15	12	3	11	8	3	27	24	3	26	26	0	21	20	1	27	27	0	32	30	2	18	16	2	35	32	3	41	37	4	39	35	4	39	35	4	21	20	1	25	23	2
Contig100988_3321	Contig100988	3321	3321	+	26	25	1	23	22	1	28	26	2	28	27	1	19	17	2	17	16	1	28	28	0	26	25	1	30	29	1	38	36	2	35	33	2	22	21	1	43	42	1	47	41	6	38	37	1	48	44	4	33	32	1	35	31	4
Contig100988_3333	Contig100988	3333	3333	+	30	27	3	31	27	4	31	30	1	28	28	0	23	18	5	19	18	1	27	25	2	27	24	3	36	34	2	39	35	4	37	37	0	28	22	6	42	38	4	50	49	1	42	36	6	50	47	3	31	28	3	36	33	3
Contig100994_3428	Contig100994	3428	3428	+	14	12	2	7	6	1	16	13	3	16	15	1	14	11	3	16	15	1	13	11	2	16	15	1	27	15	12	32	18	14	15	0	15	16	16	0	19	7	12	22	9	13	17	11	6	20	0	20	20	18	2	26	9	17
Contig100994_4237	Contig100994	4237	4237	+	24	23	1	20	19	1	22	22	0	29	27	2	16	16	0	18	18	0	25	24	1	26	25	1	23	22	1	42	42	0	44	44	0	18	18	0	43	42	1	35	32	3	41	40	1	38	37	1	28	27	1	22	22	0
Contig101063_223	Contig101063	223	223	+	18	18	0	16	15	1	22	22	0	18	18	0	19	18	1	10	10	0	18	18	0	23	22	1	21	20	1	44	41	3	42	40	2	18	17	1	34	34	0	43	42	1	39	36	3	39	38	1	28	26	2	21	20	1
Contig101063_229	Contig101063	229	229	+	24	24	0	17	17	0	23	23	0	17	17	0	20	18	2	9	9	0	26	24	2	32	30	2	22	22	0	46	45	1	45	45	0	18	18	0	37	36	1	49	47	2	44	43	1	47	43	4	31	30	1	22	22	0
Contig101063_333	Contig101063	333	333	+	24	24	0	16	16	0	24	23	1	24	23	1	13	12	1	14	13	1	22	22	0	26	26	0	28	28	0	54	51	3	56	56	0	20	19	1	38	38	0	48	48	0	51	51	0	62	60	2	35	35	0	20	19	1
Contig101118_899	Contig101118	899	899	+	13	13	0	11	10	1	14	12	2	16	15	1	14	9	5	14	13	1	23	22	1	14	13	1	20	20	0	35	33	2	25	16	9	8	7	1	29	25	4	32	32	0	36	35	1	30	28	2	30	27	3	16	14	2
Contig101118_908	Contig101118	908	908	+	14	7	7	9	9	0	19	19	0	16	16	0	17	8	9	13	3	10	24	24	0	14	8	6	19	19	0	32	32	0	27	19	8	15	14	1	30	29	1	27	25	2	31	30	1	31	29	2	33	33	0	19	18	1
Contig101130_953	Contig101130	953	953	+	11	10	1	16	15	1	13	11	2	15	15	0	10	10	0	8	8	0	14	13	1	14	14	0	14	13	1	12	12	0	14	13	1	14	13	1	21	19	2	21	20	1	15	14	1	14	12	2	12	11	1	14	12	2
Contig101153_3210	Contig101153	3210	3210	+	21	19	2	19	19	0	18	17	1	15	13	2	25	25	0	14	14	0	20	19	1	23	21	2	17	16	1	21	20	1	26	26	0	17	17	0	21	19	2	30	29	1	27	25	2	27	24	3	24	23	1	21	17	4
Contig101153_3212	Contig101153	3212	3212	+	20	18	2	20	19	1	15	15	0	12	12	0	19	18	1	15	14	1	22	21	1	23	23	0	16	10	6	20	18	2	26	24	2	16	16	0	22	21	1	28	27	1	27	27	0	26	26	0	25	24	1	19	15	4
Contig101153_3220	Contig101153	3220	3220	+	15	15	0	19	19	0	15	14	1	12	12	0	16	16	0	12	11	1	18	18	0	19	19	0	11	11	0	17	16	1	20	20	0	14	14	0	19	19	0	29	27	2	28	28	0	27	26	1	20	18	2	18	18	0
Contig101153_3227	Contig101153	3227	3227	+	13	13	0	14	9	5	15	14	1	14	14	0	17	16	1	14	14	0	20	15	5	17	16	1	10	8	2	14	13	1	19	19	0	14	12	2	20	20	0	28	26	2	24	24	0	26	25	1	20	20	0	16	13	3
Contig10117_4187	Contig10117	4187	4187	+	16	16	0	16	16	0	18	17	1	16	14	2	8	8	0	17	17	0	15	15	0	17	17	0	17	14	3	28	27	1	26	25	1	13	13	0	24	22	2	31	28	3	34	32	2	32	31	1	24	24	0	18	17	1
Contig10117_4221	Contig10117	4221	4221	+	15	15	0	12	12	0	9	9	0	20	19	1	12	12	0	11	10	1	22	22	0	12	12	0	19	17	2	31	31	0	22	22	0	21	20	1	29	28	1	15	13	2	31	29	2	33	29	4	17	15	2	19	16	3
Contig10117_4231	Contig10117	4231	4231	+	18	18	0	13	13	0	4	4	0	23	23	0	11	11	0	12	12	0	19	18	1	18	18	0	21	21	0	34	33	1	21	21	0	18	17	1	30	28	2	18	17	1	36	35	1	27	27	0	18	17	1	19	18	1
Contig10117_4282	Contig10117	4282	4282	+	12	11	1	12	11	1	6	6	0	14	14	0	13	10	3	10	10	0	13	11	2	15	15	0	14	13	1	30	30	0	18	18	0	9	8	1	22	18	4	21	20	1	20	19	1	19	19	0	20	18	2	14	13	1
Contig101233_1885	Contig101233	1885	1885	+	19	13	6	21	11	10	14	10	4	16	14	2	13	9	4	17	15	2	29	26	3	21	17	4	22	19	3	13	10	3	15	15	0	26	16	10	24	18	6	18	15	3	14	11	3	23	21	2	19	19	0	22	16	6
Contig101233_1890	Contig101233	1890	1890	+	20	13	7	18	14	4	17	17	0	20	19	1	15	13	2	19	11	8	31	28	3	22	22	0	26	26	0	16	14	2	19	19	0	30	26	4	26	24	2	22	21	1	20	15	5	26	24	2	19	18	1	29	28	1
Contig10126_657	Contig10126	657	657	+	22	21	1	22	22	0	18	17	1	19	19	0	16	16	0	10	9	1	17	16	1	20	20	0	27	27	0	32	30	2	12	12	0	15	14	1	19	19	0	20	19	1	22	21	1	20	19	1	22	22	0	23	22	1
Contig1013_18364	Contig1013	18364	18364	+	13	12	1	12	9	3	10	9	1	15	13	2	15	12	3	13	12	1	16	15	1	17	16	1	21	8	13	16	12	4	8	7	1	17	4	13	12	10	2	13	13	0	15	13	2	15	14	1	14	13	1	25	24	1
