id	contig	locus	n	acpt_rate	beta	se_beta	pvalue	h	se_h	sigma2	se_sigma2	alpha0	se_alpha0	alpha1	se_alpha1	qvalues	pvalues	significant	numCs1	numCs2	numCs3	numCs4	numCs5	numCs6	numCs7	numCs8	numCs9	numCs10	numCs11	numCs12	numCs13	numCs14	numCs15	numCs16	numCs17	numCs18
Contig17393_21091	Contig17393	21091	18	1.948e-01	-4.543e-01	1.060e-01	1.826e-05	9.189e-01	8.560e-02	3.655e+01	3.196e+01	6.673e+00	2.469e+00	3.496e+00	5.448e-01	0.0532764518723927	1.826e-05	TRUE	12	13	12	15	10	10	13	16	14	14	17	8	13	20	18	15	14	13
Contig17598_79516	Contig17598	79516	18	2.199e-01	7.319e-01	1.693e-01	1.542e-05	8.465e-01	1.789e-01	1.892e+01	2.219e+01	-5.639e+00	3.264e+00	-2.125e+00	5.804e-01	0.0504436703031547	1.542e-05	TRUE	18	15	11	12	13	7	12	14	17	10	4	11	25	20	6	15	10	11
Contig17651_1121	Contig17651	1121	18	1.983e-01	-6.740e-01	1.286e-01	1.596e-07	8.530e-01	5.626e-02	4.564e+01	2.839e+01	9.039e+00	2.801e+00	1.163e+00	6.381e-01	0.00166248205240358	1.596e-07	TRUE	11	9	0	7	0	0	10	9	0	0	0	1	0	0	0	0	0	0
Contig18103_25767	Contig18103	25767	18	3.319e-01	4.504e-01	9.956e-02	6.081e-06	6.703e-01	2.628e-01	6.153e+00	1.210e+01	-2.904e+00	2.166e+00	-7.596e-01	5.844e-01	0.0273526876641401	6.081e-06	TRUE	13	14	9	14	11	6	19	9	16	18	16	8	24	24	22	24	16	14
Contig18383_4606	Contig18383	4606	18	1.977e-01	-4.326e-01	1.035e-01	2.927e-05	9.043e-01	1.427e-01	4.006e+01	3.440e+01	8.731e+00	1.866e+00	3.104e+00	6.956e-01	0.0650364036402779	2.927e-05	TRUE	16	14	2	5	3	6	11	12	15	20	12	9	19	26	29	30	21	16
Contig18625_12258	Contig18625	12258	18	2.470e-01	2.325e-01	5.810e-02	6.29e-05	7.020e-01	2.063e-01	5.545e+00	1.134e+01	-1.687e+00	1.096e+00	-1.045e+00	2.356e-01	0.0980726470488079	6.29e-05	TRUE	11	7	22	19	12	8	26	14	10	9	25	6	30	37	31	42	15	8
Contig1877_5033	Contig1877	5033	18	2.445e-01	4.175e-01	8.607e-02	1.228e-06	7.625e-01	2.385e-01	1.295e+01	1.959e+01	-3.691e+00	1.882e+00	-6.340e-01	3.338e-01	0.00883778337814544	1.228e-06	TRUE	18	18	15	16	11	7	26	21	23	23	42	7	31	46	41	45	16	23
Contig19349_14009	Contig19349	14009	18	3.162e-01	4.613e-01	1.075e-01	1.776e-05	6.493e-01	2.754e-01	9.310e+00	1.710e+01	-2.776e+00	1.942e+00	-1.313e+00	3.928e-01	0.0532570008129286	1.776e-05	TRUE	17	12	14	11	9	8	17	8	19	18	24	14	21	21	32	24	9	10
Contig19512_11587	Contig19512	11587	18	1.966e-01	-3.714e-01	9.146e-02	4.896e-05	8.696e-01	7.057e-02	5.416e+01	3.052e+01	1.119e+01	2.219e+00	7.985e-01	2.641e-01	0.0866458604275913	4.896e-05	TRUE	18	15	13	22	7	11	18	14	20	36	17	14	9	11	34	23	19	9
Contig2013_4861	Contig2013	4861	18	3.797e-01	-3.327e-01	7.525e-02	9.779e-06	6.705e-01	2.611e-01	2.210e+00	3.982e+00	7.946e+00	1.258e+00	1.293e+00	4.808e-01	0.0390991149361583	9.779e-06	TRUE	14	13	12	8	11	7	19	14	25	5	6	9	22	20	7	15	13	25
Contig205023_4959	Contig205023	4959	18	2.665e-01	-4.034e-01	9.879e-02	4.433e-05	6.844e-01	2.591e-01	7.698e+00	1.458e+01	6.984e+00	1.533e+00	2.761e+00	7.444e-01	0.0857843823422534	4.433e-05	TRUE	17	15	24	24	10	13	21	22	22	35	62	12	31	48	46	48	28	20
Contig20569_15826	Contig20569	15826	18	1.844e-01	-3.897e-01	8.273e-02	2.464e-06	9.317e-01	6.782e-02	4.915e+01	3.564e+01	5.830e+00	1.671e+00	2.895e+00	6.297e-01	0.0156468899049749	2.464e-06	TRUE	11	6	12	4	5	10	16	11	17	21	8	17	16	22	16	15	25	10
Contig21104_8080	Contig21104	8080	18	3.265e-01	-3.400e-01	8.443e-02	5.647e-05	6.701e-01	2.577e-01	7.036e+00	1.434e+01	5.589e+00	1.789e+00	2.515e+00	6.433e-01	0.0938363995612411	5.647e-05	TRUE	10	7	11	9	2	3	19	12	14	23	32	7	18	27	38	26	17	12
Contig23157_3859	Contig23157	3859	18	2.542e-01	5.890e-01	1.285e-01	4.548e-06	7.033e-01	2.478e-01	1.513e+01	1.916e+01	-1.123e+01	2.261e+00	-2.773e+00	6.638e-01	0.0233796177313899	4.548e-06	TRUE	0	0	0	0	0	0	1	0	2	0	0	0	0	0	13	6	0	0
Contig26007_49163	Contig26007	49163	18	2.569e-01	7.251e-01	1.809e-01	6.119e-05	5.802e-01	2.719e-01	1.538e+01	1.828e+01	-7.047e+00	3.096e+00	-1.757e+00	6.846e-01	0.0980726470488079	6.119e-05	TRUE	10	11	7	13	15	10	15	11	15	4	4	9	17	14	12	18	11	21
Contig26760_6774	Contig26760	6774	18	1.811e-01	8.631e-01	2.119e-01	4.62e-05	8.830e-01	9.915e-02	3.878e+01	3.126e+01	-9.542e+00	3.362e+00	-1.495e+00	6.438e-01	0.0858320857123618	4.62e-05	TRUE	12	12	11	11	10	6	13	13	17	16	13	7	21	16	18	17	13	17
Contig27494_1313	Contig27494	1313	18	3.110e-01	-3.785e-01	8.104e-02	3.008e-06	8.169e-01	1.959e-01	7.215e+00	1.336e+01	6.171e+00	1.406e+00	2.758e+00	4.957e-01	0.0180402092843794	3.008e-06	TRUE	15	18	16	13	10	15	17	8	14	15	20	7	16	20	24	18	11	10
Contig27494_1437	Contig27494	1437	18	3.135e-01	-8.531e-01	1.590e-01	8.103e-08	6.374e-01	2.882e-01	7.360e+00	1.057e+01	1.211e+01	2.577e+00	5.493e+00	8.733e-01	0.00145791039725392	8.103e-08	TRUE	4	17	10	8	6	8	15	8	12	11	12	14	17	12	13	16	10	15
Contig27796_8755	Contig27796	8755	18	2.507e-01	5.019e-01	9.354e-02	8.074e-08	8.076e-01	1.944e-01	1.505e+01	2.083e+01	-3.116e+00	1.865e+00	-1.829e+00	5.815e-01	0.00145791039725392	8.074e-08	TRUE	12	6	11	18	17	9	13	18	16	23	11	16	31	27	20	38	19	13
Contig30968_29459	Contig30968	29459	18	2.960e-01	-3.800e-01	8.307e-02	4.775e-06	8.103e-01	2.084e-01	8.895e+00	1.522e+01	6.977e+00	1.316e+00	2.053e+00	5.551e-01	0.0234307904375062	4.775e-06	TRUE	5	8	11	11	8	6	13	13	14	17	13	14	14	20	17	12	17	14
Contig33119_17449	Contig33119	17449	18	1.723e-01	-3.351e-01	7.063e-02	2.092e-06	8.806e-01	1.484e-01	3.296e+01	3.134e+01	6.877e+00	1.654e+00	8.280e-01	2.628e-01	0.0141149044384265	2.092e-06	TRUE	14	18	0	14	5	8	11	10	27	32	25	6	13	19	0	21	19	11
Contig33119_18454	Contig33119	18454	18	2.030e-01	-5.037e-01	9.599e-02	1.541e-07	8.758e-01	5.712e-02	4.016e+01	3.012e+01	8.000e+00	1.975e+00	1.492e+00	2.663e-01	0.00166248205240358	1.541e-07	TRUE	12	7	0	5	2	5	8	6	10	16	14	3	13	0	0	11	12	9
Contig38327_4924	Contig38327	4924	18	2.458e-01	-6.886e-01	1.223e-01	1.813e-08	7.703e-01	2.298e-01	1.729e+01	2.234e+01	1.164e+01	2.353e+00	4.273e+00	8.537e-01	0.000652398259958375	1.813e-08	TRUE	11	11	12	12	13	12	16	9	16	9	3	19	11	15	8	8	10	14
Contig41302_10189	Contig41302	10189	18	2.919e-01	2.291e-01	5.137e-02	8.219e-06	8.476e-01	1.979e-01	4.387e+00	6.536e+00	-2.145e+00	9.349e-01	-6.190e-01	2.073e-01	0.0341257242475151	8.219e-06	TRUE	10	15	15	19	13	7	17	18	10	26	35	6	24	29	33	25	24	8
Contig41651_14293	Contig41651	14293	18	2.865e-01	3.752e-01	7.093e-02	1.225e-07	7.483e-01	2.100e-01	6.379e+00	1.317e+01	-2.583e+00	1.553e+00	-1.098e+00	3.977e-01	0.00165303613165129	1.225e-07	TRUE	10	13	13	22	14	10	21	20	20	19	14	19	26	31	20	36	12	18
Contig41963_14267	Contig41963	14267	18	3.072e-01	3.247e-01	8.133e-02	6.541e-05	6.290e-01	2.483e-01	4.921e+00	8.733e+00	-2.338e+00	1.538e+00	-9.310e-01	2.913e-01	0.0980726470488079	6.541e-05	TRUE	15	24	21	15	17	9	18	16	20	11	6	18	34	27	28	24	20	23
Contig4202_1640	Contig4202	1640	18	1.845e-01	3.586e-01	7.886e-02	5.434e-06	8.673e-01	6.975e-02	6.404e+01	3.410e+01	-2.974e+00	2.059e+00	-8.697e-01	3.552e-01	0.0255051594374959	5.434e-06	TRUE	12	5	6	4	5	10	0	8	17	20	42	4	26	27	30	33	23	14
Contig42194_7999	Contig42194	7999	18	2.336e-01	-7.148e-01	1.440e-01	6.864e-07	8.384e-01	2.048e-01	2.906e+01	3.072e+01	1.429e+01	3.068e+00	3.972e+00	9.959e-01	0.00529280000357058	6.864e-07	TRUE	18	18	11	15	20	11	19	12	16	7	5	20	20	8	13	13	11	19
Contig424031_2225	Contig424031	2225	18	2.235e-01	4.769e-01	1.168e-01	4.45e-05	8.167e-01	2.305e-01	3.812e+01	3.726e+01	-4.092e+00	2.033e+00	-8.153e-01	4.799e-01	0.0857843823422534	4.45e-05	TRUE	11	15	12	10	11	4	17	19	15	2	6	19	14	14	12	7	16	15
Contig42553_5222	Contig42553	5222	18	2.104e-01	-5.056e-01	1.204e-01	2.694e-05	6.172e-01	2.018e-01	1.464e+01	1.652e+01	8.490e+00	2.173e+00	2.349e+00	5.742e-01	0.0650364036402779	2.694e-05	TRUE	22	12	15	16	8	9	15	15	21	16	23	20	25	35	0	36	13	19
Contig44654_2684	Contig44654	2684	18	1.934e-01	3.487e-01	8.199e-02	2.108e-05	6.924e-01	1.489e-01	2.227e+01	2.187e+01	-4.800e+00	1.915e+00	-1.162e+00	2.925e-01	0.0583501859218573	2.108e-05	TRUE	9	8	17	22	10	9	11	3	0	33	37	7	29	31	32	18	20	5
Contig45318_7217	Contig45318	7217	18	2.604e-01	6.804e-01	1.700e-01	6.256e-05	7.049e-01	2.643e-01	1.564e+01	2.182e+01	-6.408e+00	3.039e+00	-1.764e+00	5.977e-01	0.0980726470488079	6.256e-05	TRUE	11	17	11	14	11	7	9	13	9	8	6	10	12	10	19	13	12	12
Contig46173_538	Contig46173	538	18	2.384e-01	7.320e-01	1.802e-01	4.87e-05	7.280e-01	2.405e-01	2.220e+01	2.424e+01	-1.268e+01	3.350e+00	-4.075e+00	9.956e-01	0.0866458604275913	4.87e-05	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0
Contig46409_3503	Contig46409	3503	18	1.726e-01	-6.172e-01	1.529e-01	5.393e-05	8.420e-01	1.059e-01	8.258e+01	3.544e+01	9.900e+00	4.111e+00	1.691e-02	1.013e+00	0.0929769904797138	5.393e-05	TRUE	0	0	0	0	0	0	0	12	12	6	0	1	0	0	0	0	0	0
Contig47895_7219	Contig47895	7219	18	2.123e-01	2.351e-01	5.436e-02	1.524e-05	8.843e-01	1.488e-01	1.512e+01	1.989e+01	-2.005e+00	1.008e+00	-4.201e-01	2.430e-01	0.0504436703031547	1.524e-05	TRUE	19	10	16	21	13	8	20	12	20	22	35	11	28	34	45	37	31	11
Contig48577_1052	Contig48577	1052	18	2.092e-01	3.984e-01	8.670e-02	4.322e-06	9.005e-01	1.061e-01	2.144e+01	2.288e+01	-4.893e+00	1.682e+00	-1.347e-01	4.451e-01	0.0233287254236632	4.322e-06	TRUE	13	11	10	11	3	6	14	14	15	11	16	3	18	24	18	26	6	14
Contig4933_9296	Contig4933	9296	18	2.612e-01	4.646e-01	1.129e-01	3.855e-05	7.273e-01	2.541e-01	6.422e+00	1.101e+01	-3.549e+00	1.951e+00	-1.291e+00	3.256e-01	0.0801969052002377	3.855e-05	TRUE	26	22	29	36	19	13	28	26	25	40	32	26	45	42	45	40	39	31
Contig5_16931	Contig5	16931	18	1.727e-01	-3.636e-01	8.333e-02	1.281e-05	9.141e-01	1.109e-01	5.287e+01	3.621e+01	7.512e+00	1.909e+00	1.334e+00	3.158e-01	0.0476856137288174	1.281e-05	TRUE	26	15	20	12	3	12	13	14	24	33	27	15	15	15	11	25	15	22
Contig51254_829	Contig51254	829	18	2.642e-01	6.252e-01	1.145e-01	4.697e-08	7.422e-01	2.396e-01	1.174e+01	2.085e+01	-6.205e+00	2.169e+00	-1.247e+00	4.336e-01	0.00126764256495773	4.697e-08	TRUE	5	10	11	10	15	13	15	9	14	13	10	13	18	27	19	21	18	14
Contig51353_3045	Contig51353	3045	18	2.927e-01	4.017e-01	1.005e-01	6.428e-05	6.805e-01	2.431e-01	8.183e+00	1.383e+01	-4.758e+00	1.464e+00	-1.170e-01	5.909e-01	0.0980726470488079	6.428e-05	TRUE	12	11	10	10	11	8	13	14	13	26	18	8	22	16	22	23	20	9
Contig52878_2737	Contig52878	2737	18	3.010e-01	-5.689e-01	1.398e-01	4.691e-05	6.831e-01	2.550e-01	7.441e+00	1.132e+01	9.833e+00	2.538e+00	3.560e+00	8.163e-01	0.0858320857123618	4.691e-05	TRUE	10	7	11	12	8	7	12	14	15	15	8	8	16	19	18	15	17	11
Contig53_40788	Contig53	40788	18	1.939e-01	4.935e-01	1.173e-01	2.584e-05	8.997e-01	8.975e-02	4.685e+01	3.578e+01	-3.651e+00	2.626e+00	-1.335e+00	3.862e-01	0.0650364036402779	2.584e-05	TRUE	18	21	21	18	7	13	18	9	19	27	44	10	22	36	21	41	24	18
Contig53276_4081	Contig53276	4081	18	2.237e-01	5.577e-01	9.123e-02	9.732e-10	7.604e-01	2.195e-01	1.246e+01	1.556e+01	-6.720e+00	1.657e+00	-1.589e+00	3.581e-01	5.25301147207521e-05	9.732e-10	TRUE	1	18	19	33	13	6	24	14	19	30	16	15	31	28	40	26	30	26
Contig54253_3814	Contig54253	3814	18	2.456e-01	-4.670e-01	8.929e-02	1.694e-07	8.016e-01	2.132e-01	1.862e+01	2.339e+01	8.041e+00	1.644e+00	3.075e+00	6.841e-01	0.00166248205240358	1.694e-07	TRUE	16	13	10	14	9	9	18	11	18	23	24	14	27	21	26	27	30	10
Contig58590_9113	Contig58590	9113	18	2.125e-01	4.843e-01	1.200e-01	5.426e-05	8.859e-01	1.460e-01	3.043e+01	3.067e+01	-5.311e+00	2.128e+00	-3.676e-01	4.985e-01	0.0929769904797138	5.426e-05	TRUE	19	12	17	18	11	11	18	16	15	7	4	8	14	22	11	14	10	11
Contig58896_1856	Contig58896	1856	18	3.509e-01	2.651e-01	6.336e-02	2.861e-05	7.539e-01	2.411e-01	2.551e+00	4.193e+00	-7.150e-01	1.079e+00	-8.972e-01	2.500e-01	0.0650364036402779	2.861e-05	TRUE	12	16	13	25	15	14	28	24	31	40	34	17	35	31	38	35	29	13
Contig6087_2168	Contig6087	2168	18	3.608e-01	-3.550e-01	8.672e-02	4.234e-05	6.757e-01	2.538e-01	4.173e+00	8.683e+00	6.154e+00	1.494e+00	2.521e+00	5.909e-01	0.0857843823422534	4.234e-05	TRUE	9	14	12	11	13	8	20	9	13	12	15	13	19	26	20	27	8	15
Contig61140_11183	Contig61140	11183	18	2.915e-01	-3.436e-01	8.600e-02	6.471e-05	7.656e-01	2.313e-01	9.103e+00	1.523e+01	8.028e+00	1.742e+00	1.666e+00	4.491e-01	0.0980726470488079	6.471e-05	TRUE	10	14	16	11	9	15	17	11	23	29	16	18	21	23	20	20	28	20
Contig64076_1097	Contig64076	1097	18	1.961e-01	-4.902e-01	9.188e-02	9.535e-08	8.761e-01	1.045e-01	1.959e+01	2.127e+01	8.521e+00	1.874e+00	3.496e+00	4.553e-01	0.00147047925507126	9.535e-08	TRUE	15	15	15	12	11	5	14	15	21	21	34	12	27	40	32	26	20	11
Contig64671_3576	Contig64671	3576	18	3.299e-01	6.064e-01	1.465e-01	3.472e-05	6.082e-01	2.857e-01	6.270e+00	1.099e+01	-7.959e+00	2.427e+00	-4.179e-01	9.371e-01	0.0749628270901978	3.472e-05	TRUE	7	10	9	17	11	7	15	11	7	16	8	8	18	16	14	13	15	14
Contig7893_2235	Contig7893	2235	18	1.883e-01	-6.907e-01	1.720e-01	5.913e-05	8.683e-01	1.699e-01	5.535e+01	3.642e+01	1.430e+01	3.137e+00	3.354e+00	9.804e-01	0.0967164145598423	5.913e-05	TRUE	18	13	17	27	8	12	22	18	16	16	38	9	26	31	36	30	18	16
Contig80087_3530	Contig80087	3530	18	2.706e-01	-4.996e-01	1.184e-01	2.454e-05	6.010e-01	3.080e-01	9.794e+00	1.549e+01	5.603e+00	1.826e+00	4.285e+00	7.349e-01	0.064614047459588	2.454e-05	TRUE	12	12	23	19	12	4	21	22	11	24	44	12	22	39	34	39	31	18
Contig81644_5335	Contig81644	5335	18	3.205e-01	2.831e-01	6.473e-02	1.226e-05	6.492e-01	2.664e-01	4.238e+00	7.941e+00	-2.791e+00	1.264e+00	-7.409e-01	2.378e-01	0.0472681585400462	1.226e-05	TRUE	8	13	11	13	13	10	14	13	14	2	2	16	25	29	22	21	13	16
Contig82644_784	Contig82644	784	18	2.488e-01	-5.185e-01	1.202e-01	1.616e-05	7.377e-01	2.584e-01	2.650e+01	3.737e+01	1.245e+01	2.667e+00	2.332e+00	1.057e+00	0.0508614639037756	1.616e-05	TRUE	12	20	11	18	14	3	10	3	17	13	9	23	23	23	16	14	10	22
Contig84019_1956	Contig84019	1956	18	2.224e-01	2.679e-01	6.653e-02	5.65e-05	8.675e-01	1.127e-01	1.766e+01	1.985e+01	-8.737e-01	1.369e+00	-7.773e-01	2.949e-01	0.0938363995612411	5.65e-05	TRUE	18	10	8	10	14	7	23	18	24	24	20	11	31	43	21	32	17	6
Contig8451_4055	Contig8451	4055	18	3.780e-01	-3.005e-01	5.947e-02	4.349e-07	6.341e-01	2.947e-01	3.742e+00	9.435e+00	4.055e+00	1.104e+00	1.977e+00	3.244e-01	0.00391241041444977	4.349e-07	TRUE	15	9	8	10	4	0	10	10	11	10	29	5	18	13	13	15	17	15
Contig87529_1163	Contig87529	1163	18	2.645e-01	-4.790e-01	1.140e-01	2.639e-05	4.571e-01	1.873e-01	4.883e+00	4.795e+00	8.213e+00	1.971e+00	1.620e+00	5.295e-01	0.0650364036402779	2.639e-05	TRUE	20	13	15	24	7	2	27	5	21	36	25	18	26	11	0	26	25	18
Contig89735_353	Contig89735	353	18	1.695e-01	-4.256e-01	9.790e-02	1.38e-05	8.513e-01	9.616e-02	5.551e+01	3.152e+01	5.728e+00	2.231e+00	2.504e+00	3.632e-01	0.049658554812055	1.38e-05	TRUE	19	15	10	12	2	6	16	21	15	0	3	0	0	0	14	0	14	8
Contig90912_2808	Contig90912	2808	18	3.396e-01	2.344e-01	5.735e-02	4.375e-05	5.811e-01	2.520e-01	2.433e+00	5.140e+00	-1.092e+00	1.077e+00	-7.351e-01	2.406e-01	0.0857843823422534	4.375e-05	TRUE	15	16	19	22	5	12	21	17	19	34	52	8	27	46	49	41	29	20
Contig96641_6587	Contig96641	6587	18	3.325e-01	-5.745e-01	9.055e-02	2.235e-10	6.215e-01	2.893e-01	6.023e+00	1.354e+01	1.011e+01	1.546e+00	3.424e+00	6.536e-01	2.41275804358572e-05	2.235e-10	TRUE	11	18	17	21	12	9	22	17	17	22	33	10	31	32	26	40	20	21
Contig98447_172	Contig98447	172	18	1.945e-01	4.514e-01	1.081e-01	2.952e-05	8.236e-01	1.213e-01	2.262e+01	2.292e+01	-2.914e+00	2.445e+00	-1.228e+00	2.715e-01	0.0650364036402779	2.952e-05	TRUE	10	16	18	20	14	16	18	20	28	28	18	13	28	38	45	31	23	10
