contig,pos,a,b,fst
Contig101956,2435,0.004,0.102,0.0388349514563107
Contig102046,2176,0.046,0.247,0.185483870967742
Contig102193,2489,0.002,0.419,0.00476190476190476
Contig102229,9663,0,0.146,0
Contig102417,2170,0.01,0.203,0.0490196078431373
Contig102417,2171,0.018,0.23,0.0779220779220779
Contig102417,2178,0.002,0.054,0.0363636363636364
Contig102417,2180,0,0.041,0
Contig102417,2181,0.011,0.165,0.0662650602409638
Contig102484,367,0,0.057,0
Contig102484,376,0.001,0.04,0.024390243902439
Contig102484,379,0.006,0.077,0.0769230769230769
Contig102484,385,-0.001,0.136,-0.0072992700729927
Contig102484,387,-0.001,0.132,-0.0075187969924812
Contig102499,2630,0,0.242,0
Contig10259,8823,0.05,0.487,0.102459016393443
Contig10262,2652,0.002,0.045,0.0434782608695652
Contig102656,7312,0.027,0.313,0.0859872611464968
Contig102745,9053,0.087,0.514,0.168932038834951
Contig102745,9059,0.087,0.514,0.168932038834951
Contig102773,1818,0.013,0.489,0.026530612244898
Contig102828,2584,0.043,0.495,0.0866935483870968
Contig103017,4427,0.007,0.313,0.0222929936305733
Contig103053,1134,0.078,0.281,0.276595744680851
Contig103053,1136,0.078,0.281,0.276595744680851
Contig103053,1155,0.028,0.185,0.150537634408602
Contig103088,6929,0.02,0.141,0.140845070422535
Contig103088,6938,0.02,0.141,0.140845070422535
Contig103122,1104,0.033,0.313,0.105095541401274
Contig103223,13744,0,0.49,0
Contig103298,7433,0.008,0.091,0.0869565217391304
Contig103298,7434,0.033,0.247,0.133064516129032
Contig103298,7435,0.012,0.19,0.06282722513089
Contig103298,7438,0.002,0.094,0.0210526315789474
Contig103298,7452,0,0.018,0
Contig103298,7459,0.001,0.036,0.027027027027027
Contig103346,12046,0.007,0.344,0.0202898550724638
Contig103346,16201,0.043,0.374,0.114666666666667
Contig103362,2150,0.002,0.217,0.00917431192660551
Contig10339,3804,0,0.018,0
Contig10339,3808,0.003,0.054,0.0545454545454545
Contig10339,3809,0.017,0.15,0.112582781456954
Contig10339,3814,0.017,0.178,0.0949720670391062
Contig103464,8880,0,0.009,0
Contig103464,8890,0.009,0.096,0.0927835051546392
Contig103485,3095,0.018,0.136,0.131386861313869
Contig103485,3100,0.019,0.158,0.119496855345912
Contig103485,3101,0.02,0.156,0.127388535031847
Contig103485,3121,0.018,0.134,0.133333333333333
Contig103539,909,0.036,0.398,0.0902255639097744
Contig103539,923,0,0.338,0
Contig103562,7147,0.022,0.165,0.132530120481928
Contig103562,7148,0.006,0.199,0.03
Contig103569,6019,0.004,0.483,0.00826446280991736
Contig103640,22043,0,0.014,0
Contig103640,22049,0,0.051,0
Contig103640,22050,0,0.009,0
Contig103640,22064,0.002,0.052,0.0377358490566038
Contig103756,3219,0.039,0.337,0.115384615384615
Contig103793,1476,0.007,0.164,0.0424242424242424
Contig10386,351,0.001,0.485,0.00205761316872428
Contig10386,354,-0.002,0.5,-0.00399201596806387
Contig103892,1468,0.025,0.269,0.0925925925925926
Contig103892,1489,0.001,0.078,0.0126582278481013
Contig103990,7021,0.005,0.495,0.0100806451612903
Contig104078,662,0.001,0.035,0.0277777777777778
Contig104078,667,0.014,0.168,0.0828402366863905
Contig104078,683,0.147,0.556,0.263913824057451
Contig104120,578,0.004,0.176,0.0225988700564972
Contig104120,588,0.012,0.157,0.0759493670886076
Contig104137,5409,0,0.016,0
Contig104137,5412,0,0.014,0
Contig1042,16320,0,0.002,0
Contig104217,1090,0,0.051,0
Contig104223,1022,0.052,0.522,0.0994263862332696
Contig104223,1027,0.015,0.126,0.118110236220472
Contig104223,1033,0.008,0.093,0.0851063829787234
Contig10424,84,0,0.081,0
Contig10424,85,0,0.306,0
Contig10430,583,0.004,0.061,0.0645161290322581
Contig104481,3596,0,0.013,0
Contig104481,3613,0.002,0.048,0.0408163265306122
Contig104524,1642,0.331,0.664,0.497744360902256
Contig104524,1648,0.243,0.548,0.442622950819672
Contig104524,1651,0.001,0.154,0.00645161290322581
Contig104785,1447,0,0.006,0
Contig104785,1460,0.024,0.201,0.118811881188119
Contig104785,1461,0,0.067,0
Contig104811,3393,0.004,0.097,0.0408163265306122
Contig104811,3401,0.008,0.284,0.0280701754385965
Contig104941,36,0.006,0.116,0.0512820512820513
Contig105061,6658,0.093,0.546,0.170018281535649
Contig10512,59,0.009,0.384,0.0233766233766234
Contig105170,9290,0.001,0.363,0.00274725274725275
Contig105208,315,0.051,0.292,0.174061433447099
Contig105208,317,0.017,0.314,0.053968253968254
Contig105285,8914,0.002,0.043,0.0454545454545455
Contig105379,1054,0.019,0.14,0.134751773049645
Contig105433,1501,0.009,0.12,0.0743801652892562
Contig105433,1502,0.011,0.128,0.0852713178294574
Contig105510,1224,0.001,0.421,0.0023696682464455
Contig105645,4105,0,0.009,0
Contig105666,37,0.091,0.309,0.293548387096774
Contig105719,827,0,0.001,0
Contig105719,828,0.051,0.524,0.0971428571428571
Contig105759,550,0.169,0.422,0.399527186761229
Contig105829,1613,-0.001,0.312,-0.00319488817891374
Contig105890,2562,0.107,0.446,0.239373601789709
Contig105964,5749,0.006,0.126,0.047244094488189
Contig105970,3258,0.018,0.421,0.042654028436019
Contig1061,29294,0.017,0.147,0.114864864864865
Contig106125,3829,0.104,0.38,0.272965879265092
Contig106136,1030,0.027,0.292,0.0921501706484642
Contig106154,2775,0.016,0.281,0.0567375886524823
Contig106390,3665,0,0.072,0
Contig106566,1545,0.021,0.386,0.0542635658914729
Contig106747,1222,0.046,0.334,0.137313432835821
Contig106875,498,-0.002,0.472,-0.00422832980972516
Contig106967,7630,0.136,0.455,0.298245614035088
Contig107089,2706,0.109,0.521,0.208812260536398
Contig107089,2707,0.036,0.33,0.108761329305136
Contig107089,2708,0.023,0.355,0.0646067415730337
Contig107089,2718,0.033,0.212,0.154929577464789
Contig10710,1015,0,0.022,0
Contig10710,1021,0,0.022,0
Contig10710,1034,0.004,0.121,0.0327868852459016
Contig107120,3263,0.344,0.672,0.511144130757801
Contig107133,291,0.035,0.503,0.0694444444444444
Contig107148,88,0,0.017,0
Contig107148,89,0.001,0.051,0.0192307692307692
Contig107199,1257,0.002,0.085,0.0232558139534884
Contig107277,680,0.03,0.282,0.106007067137809
Contig107277,690,0.005,0.07,0.0704225352112676
Contig107277,697,0.025,0.208,0.119617224880383
Contig107277,702,0.03,0.282,0.106007067137809
Contig10738,4904,0.004,0.061,0.0645161290322581
Contig107418,5188,0.024,0.172,0.138728323699422
Contig107433,1399,0.002,0.188,0.0105820105820106
Contig107433,1400,0,0.023,0
Contig107531,2429,0,0.01,0
Contig107531,2431,0.001,0.076,0.012987012987013
Contig107531,2433,0,0.01,0
Contig107531,2454,0.034,0.497,0.0682730923694779
Contig107541,4046,0.012,0.266,0.0449438202247191
Contig107608,41,0.066,0.325,0.202453987730061
Contig107698,7393,0.027,0.503,0.0535714285714286
Contig107698,7401,0.006,0.469,0.0127659574468085
Contig107710,77,0,0.009,0
Contig107710,97,0.017,0.259,0.0653846153846154
Contig107726,26,0,0.016,0
Contig107726,27,-0.001,0.266,-0.00374531835205993
Contig107726,32,0.017,0.147,0.114864864864865
Contig107800,299,0.012,0.214,0.0558139534883721
Contig107800,307,0,0.018,0
Contig107800,311,0,0.018,0
Contig107847,2261,0.003,0.343,0.00872093023255814
Contig107868,5672,0,0.035,0
Contig107960,256,0.077,0.435,0.176605504587156
Contig107960,267,0,0.009,0
Contig108012,771,0.243,0.595,0.407718120805369
Contig108265,3820,0,0.009,0
Contig108308,3450,0,0.034,0
Contig10835,1791,0.002,0.044,0.0444444444444444
Contig108399,8308,0.002,0.489,0.00408163265306122
Contig108399,8309,0.002,0.489,0.00408163265306122
Contig108472,1986,0,0.009,0
Contig108472,1987,0,0.035,0
Contig108607,8417,0.003,0.355,0.00842696629213483
Contig108706,5626,0.063,0.518,0.121387283236994
Contig108706,5642,0.003,0.236,0.0126582278481013
Contig108726,918,0.097,0.438,0.220956719817768
Contig108778,2374,0.115,0.487,0.235655737704918
Contig108879,2289,0.003,0.101,0.0294117647058824
Contig1089,4990,0.005,0.426,0.0117096018735363
Contig1089,4998,0.004,0.065,0.0606060606060606
Contig108927,2601,0.001,0.273,0.00364963503649635
Contig108927,2623,0.006,0.111,0.0535714285714286
Contig108951,9165,0.002,0.044,0.0444444444444444
Contig1091,3640,0.002,0.377,0.00529100529100529
Contig1091,3641,0.036,0.207,0.173076923076923
Contig1091,3663,0.002,0.044,0.0444444444444444
Contig109225,8019,0.006,0.078,0.0759493670886076
Contig10926,3192,0.005,0.07,0.0704225352112676
Contig109285,5464,0.013,0.44,0.0294784580498866
Contig109460,10810,0.032,0.334,0.0955223880597015
Contig109567,651,0,0.009,0
Contig109567,655,0.013,0.395,0.0328282828282828
Contig109642,150,0.003,0.416,0.00719424460431655
Contig109712,2872,0.004,0.073,0.0540540540540541
Contig109766,141,0,0.089,0
Contig109783,670,0.589,0.775,0.759020618556701
Contig109789,12330,0.001,0.072,0.0136986301369863
Contig109827,6152,0.072,0.478,0.150313152400835
Contig109994,7443,0.026,0.177,0.146067415730337
Contig110170,1924,0.161,0.552,0.291139240506329
Contig110170,1932,0,0.492,0
Contig110276,842,0.003,0.069,0.0428571428571429
Contig110421,24102,0.002,0.285,0.00699300699300699
Contig110421,24103,0.002,0.285,0.00699300699300699
Contig11046,3031,0.009,0.098,0.0909090909090909
Contig110579,30,0,0.153,0
Contig110579,39,0,0.153,0
Contig1107,11046,0.047,0.259,0.180769230769231
Contig1107,11053,0.018,0.497,0.036144578313253
Contig1107,11058,0.004,0.118,0.0336134453781513
Contig110742,15634,0,0.043,0
Contig110742,15643,0,0.035,0
Contig110979,2904,0.015,0.217,0.0688073394495413
Contig111015,2735,0.001,0.053,0.0185185185185185
Contig111015,2752,0.01,0.118,0.0840336134453782
Contig11109,1251,0.045,0.352,0.127478753541076
Contig1111,4509,0,0.009,0
Contig1111,4522,0.005,0.07,0.0704225352112676
Contig1111,4523,0.024,0.158,0.150943396226415
Contig111167,417,0.001,0.025,0.0384615384615385
Contig111167,438,0.005,0.074,0.0666666666666667
Contig111167,443,0.004,0.079,0.05
Contig111356,1439,0.019,0.155,0.121794871794872
Contig111439,4669,0.001,0.302,0.0033003300330033
Contig111439,4670,0.003,0.125,0.0238095238095238
Contig111439,4676,0.003,0.086,0.0344827586206897
Contig111591,1197,0,0.017,0
Contig111591,1201,0,0.017,0
Contig111638,1013,0.099,0.425,0.232394366197183
Contig111638,1027,0.018,0.146,0.122448979591837
Contig111670,109,0,0.146,0
Contig111670,110,0.018,0.421,0.042654028436019
Contig111670,122,0.021,0.349,0.06
Contig111835,1239,0.012,0.126,0.094488188976378
Contig111982,1646,0,0.019,0
Contig112220,956,0,0.135,0
Contig112220,966,0.002,0.066,0.0298507462686567
Contig112555,943,0.005,0.199,0.025
Contig112555,961,0,0.018,0
Contig112555,967,0.01,0.151,0.0657894736842105
Contig112740,3048,0.003,0.053,0.0555555555555556
Contig112823,2194,0.005,0.207,0.0240384615384615
Contig112823,2204,0.008,0.253,0.031496062992126
Contig112828,139,0.127,0.554,0.228828828828829
Contig112828,144,0.001,0.035,0.0277777777777778
Contig112833,1498,0.001,0.132,0.0075187969924812
Contig112833,1511,0,0.062,0
Contig112883,740,0,0.06,0
Contig112951,1335,0,0.014,0
Contig113034,1295,0,0.017,0
Contig113120,2245,0.04,0.202,0.197044334975369
Contig113120,2252,0.002,0.124,0.016
Contig113120,2256,0.01,0.205,0.0485436893203884
Contig113325,2006,0.009,0.395,0.0227272727272727
Contig113325,2007,0,0.1,0
Contig1134,13922,-0.001,0.195,-0.00510204081632653
Contig1134,13929,0,0.101,0
Contig113554,1161,0.007,0.498,0.0140280561122244
Contig113554,1167,0.016,0.215,0.0740740740740741
Contig1136,332,0.131,0.364,0.358904109589041
Contig1136,334,0.134,0.565,0.236749116607774
Contig1136,336,0.025,0.188,0.132275132275132
Contig1136,354,0.008,0.234,0.0340425531914894
Contig1136,16108,-0.001,0.313,-0.00318471337579618
Contig1136,16117,-0.001,0.313,-0.00318471337579618
Contig1136,16129,0,0.088,0
Contig1137,1098,-0.001,0.258,-0.00386100386100386
Contig1137,1119,0.001,0.057,0.0172413793103448
Contig113729,3481,0.004,0.062,0.0634920634920635
Contig113729,3482,0.027,0.441,0.0610859728506787
Contig113729,3487,0,0.257,0
Contig113729,5200,0,0.021,0
Contig113729,5206,0,0.009,0
Contig113949,1594,0.179,0.56,0.319073083778966
Contig114192,438,0,0.071,0
Contig114193,10555,0.012,0.129,0.0923076923076923
Contig114193,10569,0.014,0.261,0.0534351145038168
Contig114539,2199,0.002,0.377,0.00529100529100529
Contig114539,2210,0.002,0.377,0.00529100529100529
Contig114621,3165,0,0.022,0
Contig114634,662,0.021,0.436,0.0480549199084668
Contig114688,6602,0,0.185,0
Contig114724,1934,0.032,0.262,0.121673003802281
Contig114882,735,0.003,0.078,0.0379746835443038
Contig114882,740,0,0.018,0
Contig114882,759,0,0.035,0
Contig115170,1467,0.018,0.136,0.131386861313869
Contig115176,2613,0.003,0.234,0.0127659574468085
Contig115176,2614,0.003,0.122,0.024390243902439
Contig115273,1523,0.007,0.392,0.0178117048346056
Contig115317,1934,0.002,0.069,0.0285714285714286
Contig115383,911,0.011,0.105,0.10377358490566
Contig115659,518,-0.001,0.443,-0.00225225225225225
Contig115659,520,0.02,0.318,0.0626959247648903
Contig115659,543,0.002,0.046,0.0425531914893617
Contig115679,636,-0.001,0.501,-0.00199203187250996
Contig115679,659,0,0.001,0
Contig115679,661,0.004,0.205,0.0194174757281553
Contig116295,527,0.001,0.023,0.0416666666666667
Contig116442,1117,0.009,0.143,0.0625
Contig116555,134,-0.001,0.337,-0.0029585798816568
Contig116810,1983,0.026,0.213,0.121495327102804
Contig117163,2184,0,0.011,0
Contig117163,2186,0,0.02,0
Contig117216,215,0.005,0.105,0.0471698113207547
Contig117219,2343,0.002,0.11,0.018018018018018
Contig117219,2344,0.002,0.11,0.018018018018018
Contig117256,646,0.04,0.268,0.148698884758364
Contig117424,1613,0.013,0.123,0.104838709677419
Contig1176,16072,0.019,0.264,0.0716981132075472
Contig117622,6364,0.107,0.373,0.286096256684492
Contig117622,6369,0.007,0.212,0.0328638497652582
Contig117622,6383,0.003,0.126,0.0236220472440945
Contig117658,1195,0.002,0.042,0.0465116279069767
Contig117810,704,0,0.128,0
Contig117848,1317,0.033,0.202,0.16256157635468
Contig117879,2446,0.008,0.493,0.0161943319838057
Contig117902,731,-0.001,0.328,-0.00303951367781155
Contig117995,3517,0.073,0.427,0.170560747663551
Contig118010,15141,0,0.008,0
Contig118010,15142,0,0.008,0
Contig118010,15144,0.009,0.098,0.0909090909090909
Contig118218,760,0.218,0.601,0.362126245847176
Contig118232,81,0.006,0.111,0.0535714285714286
Contig118322,1558,0,0.014,0
Contig118383,869,0,0.175,0
Contig118396,559,0.001,0.033,0.0294117647058824
Contig118396,562,0.014,0.26,0.053639846743295
Contig118415,1568,-0.002,0.493,-0.00404858299595142
Contig118475,1338,0.013,0.118,0.109243697478992
Contig118475,1363,0.001,0.134,0.00740740740740741
Contig118575,5907,0.169,0.548,0.307832422586521
Contig118575,5926,0,0.096,0
Contig118575,6711,0.024,0.202,0.118226600985222
Contig118671,65,0.001,0.084,0.0117647058823529
Contig118671,72,0.106,0.479,0.220833333333333
Contig118671,77,0,0.022,0
Contig1188,14478,0.001,0.028,0.0344827586206897
Contig118863,1596,0,0.054,0
Contig119087,2620,0.015,0.125,0.119047619047619
Contig119087,2639,0.002,0.431,0.00462962962962963
Contig119221,524,0.003,0.053,0.0555555555555556
Contig119258,6758,0.033,0.198,0.165829145728643
Contig119383,978,0.096,0.313,0.305732484076433
Contig119450,14614,0.002,0.051,0.0384615384615385
Contig119466,1440,0,0.088,0
Contig119466,1458,0.002,0.044,0.0444444444444444
Contig119588,2138,0.003,0.484,0.00618556701030928
Contig119684,887,0.01,0.317,0.0314465408805031
Contig120,48834,0.001,0.035,0.0277777777777778
Contig120024,1630,0.005,0.086,0.0574712643678161
Contig120024,1642,0,0.017,0
Contig120115,1611,0.01,0.119,0.0833333333333333
Contig120221,6842,0,0.053,0
Contig120378,211,0.183,0.589,0.310169491525424
Contig12044,819,0.015,0.138,0.107913669064748
Contig120496,461,0.007,0.195,0.0357142857142857
Contig1205,4300,0.004,0.062,0.0634920634920635
Contig1205,4301,0.001,0.289,0.00344827586206897
Contig1205,4305,0,0.019,0
Contig120677,2457,0,0.07,0
Contig120677,2464,0,0.099,0
Contig1207,12709,0.077,0.281,0.273049645390071
Contig1207,12720,0.077,0.281,0.273049645390071
Contig120701,2691,0.004,0.066,0.0597014925373134
Contig1208,11020,0.003,0.48,0.00623700623700624
Contig120814,2311,0.011,0.105,0.10377358490566
Contig120874,135,0,0.009,0
Contig120874,136,0,0.009,0
Contig120879,4118,0,0.026,0
Contig120879,4119,0.033,0.226,0.145374449339207
Contig121003,2216,0,0.003,0
Contig121049,2908,0.215,0.588,0.365025466893039
Contig1211,1871,0.001,0.027,0.0357142857142857
Contig1211,1873,0.008,0.224,0.0355555555555556
Contig1211,1894,0,0.007,0
Contig121271,2549,0.116,0.342,0.338192419825073
Contig121325,6872,0,0.018,0
Contig121325,6900,0.013,0.451,0.0287610619469027
Contig121494,16832,0,0.009,0
Contig121494,18369,0.027,0.181,0.148351648351648
Contig121494,18390,0,0.009,0
Contig1215,2403,0,0.017,0
Contig121574,1660,0,0.018,0
Contig121611,1251,0.041,0.366,0.111716621253406
Contig121767,3847,0,0.163,0
Contig121810,1189,0,0.015,0
Contig121967,1958,-0.001,0.403,-0.00247524752475248
Contig122166,580,0.01,0.106,0.0934579439252337
Contig122166,581,0.001,0.449,0.00222222222222222
Contig122227,2722,0.002,0.05,0.0392156862745098
Contig122227,2723,0.015,0.123,0.120967741935484
Contig122227,2742,0.043,0.251,0.170634920634921
Contig122616,1601,0.014,0.455,0.0307017543859649
Contig122702,45,0,0.087,0
Contig122767,5502,0,0.482,0
Contig122966,1559,0.031,0.512,0.0604288499025341
Contig123088,378,0.001,0.131,0.00757575757575758
Contig123088,391,0.023,0.457,0.0502183406113537
Contig123152,3138,0.071,0.33,0.214501510574018
Contig123167,3458,0.009,0.359,0.025
Contig123342,4545,0.019,0.184,0.102702702702703
Contig123396,1676,0,0.077,0
Contig123486,905,0.014,0.153,0.0909090909090909
Contig123941,7668,0.001,0.104,0.00952380952380952
Contig123971,205,0.004,0.067,0.0588235294117647
Contig123971,220,0,0.023,0
Contig123971,2020,0,0.068,0
Contig124011,536,0.004,0.067,0.0588235294117647
Contig124011,538,0.002,0.229,0.00869565217391304
Contig124011,547,0,0.028,0
Contig124187,1396,0.017,0.133,0.126865671641791
Contig124226,5072,0.009,0.376,0.0238726790450928
Contig124226,5097,0.009,0.376,0.0238726790450928
Contig124334,947,0.016,0.129,0.123076923076923
Contig124334,949,0.017,0.295,0.0574324324324324
Contig124334,961,0.025,0.294,0.0847457627118644
Contig124392,4942,0.006,0.077,0.0769230769230769
Contig124392,4947,0.146,0.568,0.256590509666081
Contig124849,894,0,0.048,0
Contig125051,1914,0.005,0.073,0.0675675675675676
Contig125191,6,0.018,0.31,0.0578778135048231
Contig125195,652,0,0.211,0
Contig125369,118,0.015,0.11,0.135135135135135
Contig125369,135,0.006,0.147,0.0405405405405405
Contig125377,40,0.01,0.221,0.045045045045045
Contig125436,2114,0.001,0.074,0.0133333333333333
Contig125436,2122,0.001,0.074,0.0133333333333333
Contig125436,2126,0.001,0.135,0.00735294117647059
Contig125636,106,0,0.01,0
Contig125636,126,0,0.014,0
Contig125764,1808,0.001,0.037,0.0263157894736842
Contig125805,842,0.002,0.063,0.03125
Contig125805,849,0.003,0.053,0.0555555555555556
Contig126046,627,0.099,0.328,0.300911854103343
Contig126134,837,0.006,0.427,0.014018691588785
Contig126134,850,0,0.253,0
Contig126134,857,0,0.257,0
Contig1263,6468,0.01,0.455,0.0219298245614035
Contig1263,6471,0.009,0.456,0.0196936542669584
Contig126345,441,0.009,0.111,0.0803571428571428
Contig126345,449,0.012,0.434,0.0275862068965517
Contig126345,457,0.019,0.15,0.125827814569536
Contig126830,3640,0,0.008,0
Contig126885,13813,0.001,0.082,0.0120481927710843
Contig126937,1520,0.003,0.1,0.0297029702970297
Contig126977,2197,0.003,0.194,0.0153846153846154
Contig126977,2209,0.006,0.374,0.016
Contig127001,2458,0.001,0.035,0.0277777777777778
Contig127459,2040,0.002,0.06,0.0327868852459016
Contig127459,2047,0.005,0.089,0.0555555555555556
Contig127489,5870,0,0.009,0
Contig127649,12188,0.003,0.078,0.0379746835443038
Contig127684,837,0.006,0.185,0.032258064516129
Contig127707,355,0.009,0.096,0.0927835051546392
Contig128060,1438,0.02,0.419,0.0476190476190476
Contig128060,1441,0.001,0.035,0.0277777777777778
Contig128060,1465,0.002,0.04,0.0487804878048781
Contig1282,12482,0.003,0.169,0.0176470588235294
Contig1282,17369,0.082,0.449,0.182222222222222
Contig1284,18793,0,0.018,0
Contig128823,931,0.001,0.026,0.037037037037037
Contig128823,946,0.033,0.226,0.145374449339207
Contig128823,952,0.001,0.026,0.037037037037037
Contig128882,706,0.001,0.026,0.037037037037037
Contig129,43564,0.011,0.109,0.1
Contig129028,3900,0.005,0.238,0.0209205020920502
Contig129509,582,0.002,0.044,0.0444444444444444
Contig129597,829,0,0.009,0
Contig129911,3142,0,0.388,0
Contig1300,35280,0.198,0.598,0.330550918196995
Contig130146,1137,0.008,0.341,0.0233918128654971
Contig130146,1138,0.015,0.16,0.093167701863354
Contig130492,1729,0.006,0.156,0.0382165605095541
Contig130492,1731,0.001,0.026,0.037037037037037
Contig130550,13531,0.055,0.365,0.150273224043716
Contig130630,6457,0.015,0.219,0.0681818181818182
Contig130630,6465,0.015,0.219,0.0681818181818182
Contig130770,938,0.155,0.405,0.381773399014778
Contig130869,2254,0.004,0.061,0.0645161290322581
Contig131020,514,0.05,0.252,0.197628458498024
Contig131020,516,0.072,0.505,0.142292490118577
Contig131107,950,0.026,0.406,0.0638820638820639
Contig131107,956,0.025,0.403,0.0618811881188119
Contig131121,1432,0,0.01,0
Contig131121,1433,0,0.01,0
Contig131121,1438,0.004,0.087,0.0454545454545455
Contig131726,1516,-0.001,0.313,-0.00318471337579618
Contig131726,1517,-0.001,0.313,-0.00318471337579618
Contig131726,1531,0,0.203,0
Contig131726,1535,0.008,0.272,0.0293040293040293
Contig131730,813,0.057,0.464,0.12258064516129
Contig131730,817,0.063,0.485,0.12962962962963
Contig132115,1179,0.002,0.117,0.0169491525423729
Contig132330,2646,0.317,0.655,0.483231707317073
Contig132330,2656,0.035,0.189,0.184210526315789
Contig132507,3385,0.001,0.292,0.00341296928327645
Contig132765,825,0.009,0.39,0.0230179028132992
Contig132777,7340,0.019,0.447,0.0424107142857143
Contig132845,1054,0.011,0.121,0.0901639344262295
Contig132845,1062,0,0.043,0
Contig133037,13105,0.005,0.096,0.0515463917525773
Contig133083,2822,0.005,0.074,0.0666666666666667
Contig133344,945,0.001,0.026,0.037037037037037
Contig133344,946,0.001,0.059,0.0166666666666667
Contig133370,508,0.155,0.405,0.381773399014778
Contig133448,2588,0.003,0.125,0.0238095238095238
Contig133531,343,0,0.5,0
Contig133565,2050,0,0.009,0
Contig134176,3726,0.016,0.177,0.0898876404494382
Contig134176,3734,0.002,0.162,0.0122699386503067
Contig134176,3737,0.001,0.035,0.0277777777777778
Contig134260,1408,0.001,0.131,0.00757575757575758
Contig134260,1409,0.018,0.3,0.0598006644518272
Contig134260,1412,0,0.009,0
Contig134345,1458,0.002,0.204,0.00975609756097561
Contig134345,1479,0.002,0.204,0.00975609756097561
Contig134389,1019,0.009,0.13,0.0687022900763359
Contig134389,1027,0.027,0.35,0.0769230769230769
Contig134389,1029,0.012,0.188,0.0634920634920635
Contig134431,550,0,0.018,0
Contig134446,2509,0.077,0.521,0.147509578544061
Contig134473,1643,-0.001,0.439,-0.00227272727272727
Contig134517,563,0.065,0.427,0.151869158878505
Contig134517,565,0.009,0.097,0.0918367346938775
Contig134517,570,0.126,0.552,0.227848101265823
Contig134547,685,0.003,0.459,0.00652173913043478
Contig1347,3579,0.005,0.073,0.0675675675675676
Contig1347,3582,0.005,0.073,0.0675675675675676
Contig134709,565,0.006,0.427,0.014018691588785
Contig134709,566,0.006,0.427,0.014018691588785
Contig134709,584,0,0.031,0
Contig134709,593,0,0.009,0
Contig134709,617,0.012,0.337,0.0355029585798817
Contig1350,426,0.015,0.286,0.0522648083623693
Contig1350,444,0.015,0.286,0.0522648083623693
Contig1351,8670,0,0.015,0
Contig135211,5351,0.009,0.096,0.0927835051546392
Contig135275,652,0,0.008,0
Contig135457,2297,0.001,0.035,0.0277777777777778
Contig135457,2308,0,0.076,0
Contig135457,2313,0.011,0.105,0.10377358490566
Contig135480,507,0.002,0.303,0.00657894736842105
Contig135517,928,0,0.018,0
Contig135517,939,0.007,0.458,0.0152505446623094
Contig135594,692,0.047,0.501,0.0936254980079681
Contig1356,11182,0,0.359,0
Contig135658,968,-0.002,0.5,-0.00399201596806387
Contig135672,229,0.005,0.341,0.0146198830409357
Contig135695,2081,0.047,0.219,0.213636363636364
Contig135817,4588,0.005,0.251,0.0198412698412698
Contig135826,318,0,0.009,0
Contig135994,7389,0,0.003,0
Contig135994,7394,0.002,0.046,0.0425531914893617
