contig	start	start15	end15	end
Contig56990	3461	4641	10148	11328
Contig71323	2078	2536	4676	5134
Contig71323	7345	7497	8212	8364
Contig16793	808	909	1386	1487
Contig282	72	721	3753	4402
Contig282	40634	41038	42927	43331
Contig282	28273	30059	38396	40182
Contig282	18558	18616	18892	18950
Contig75984	4235	4536	5943	6244
Contig60216	9807	11468	19223	20884
Contig27034	6460	6705	7849	8094
Contig73070	14567	14905	16488	16826
Contig53024	2130	4285	14343	16498
Contig62479	471	2076	9572	11177
Contig91185	3685	4040	5699	6054
Contig81148	1666	2566	6766	7666
Contig139698	726	805	1177	1256
Contig179	2893	5159	15734	18000
Contig179	18918	22015	36470	39567
Contig179	22117	25075	38883	41841
Contig48965	9847	11065	16750	17968
Contig48965	18771	19453	22641	23323
Contig172150	1154	1410	2607	2863
Contig49979	1799	2670	6736	7607
Contig2366	1190	2432	8234	9476
Contig2366	1777	4018	14480	16721
Contig35195	3793	4052	5266	5525
Contig5479	544	1111	3761	4328
Contig41853	909	1607	4865	5563
Contig42602	3607	4798	10359	11550
Contig148887	322	1023	4296	4997
Contig37518	18530	20459	29467	31396
Contig45744	39	164	748	873
Contig47803	3016	3694	6858	7536
Contig97438	16422	17234	21029	21841
Contig85625	111	915	4672	5476
Contig8332	30	219	1102	1291
Contig33909	915	1457	3989	4531
Contig67078	721	1170	3269	3718
Contig94359	682	1063	2842	3223
Contig110598	3153	3224	3557	3628
Contig56021	5133	6142	10856	11865
Contig41407	5217	5363	6050	6196
Contig35074	6882	8438	15705	17261
Contig5593	266	643	2403	2780
Contig2852	2603	3009	4908	5314
Contig32164	14522	15041	17467	17986
Contig32164	1695	3900	14193	16398
Contig45660	6584	7109	9563	10088
Contig45251	18018	18546	21013	21541
Contig45251	18911	19966	24891	25946
Contig36236	3212	3919	7224	7931
Contig69797	737	1139	3019	3421
Contig47828	92	2608	14354	16870
Contig122481	13612	13776	14542	14706
Contig122481	5041	5478	7523	7960
Contig28491	4276	4337	4628	4689
Contig1373	3798	4618	8450	9270
Contig8637	746	1182	3219	3655
Contig20271	787	1117	2658	2988
Contig23079	4300	4692	6524	6916
Contig117093	367	769	2651	3053
Contig6180	1025	1690	4795	5460
Contig33733	1664	2523	6536	7395
Contig33733	6780	9430	21803	24453
Contig98011	184	669	2938	3423
Contig65662	2431	2569	3219	3357
Contig42308	25838	26266	28264	28692
Contig42308	10287	10498	11488	11699
Contig42308	13026	14702	22524	24200
Contig61798	3800	3911	4431	4542
Contig159919	45	346	1753	2054
Contig26754	573	1075	3418	3920
Contig24957	2863	4160	10217	11514
Contig27088	8215	12918	34871	39574
Contig27088	42187	43224	48068	49105
Contig27088	4511	8458	26881	30828
Contig15915	3970	4376	6275	6681
Contig62425	10116	10535	12495	12914
Contig85597	2190	3976	12315	14101
Contig68564	326	1141	4946	5761
Contig23653	921	1962	6825	7866
Contig73420	4893	6147	12005	13259
Contig1670	10602	12197	19643	21238
Contig103254	12370	13189	17015	17834
Contig34729	1051	1915	5951	6815
Contig104182	2077	2199	2769	2891
Contig19515	2353	4095	12230	13972
Contig19515	1253	1307	1560	1614
Contig218591	633	1650	6397	7414
Contig42671	4802	4985	5841	6024
Contig48068	754	2738	11997	13981
Contig153340	1424	1981	4582	5139
Contig5236	2311	2407	2856	2952
Contig41095	4427	5460	10282	11315
Contig110432	2639	3889	9728	10978
Contig17253	2901	3189	4539	4827
Contig108534	275	1170	5352	6247
Contig54529	3671	6254	18314	20897
Contig171533	324	669	2281	2626
Contig325	2639	3625	8228	9214
Contig325	15684	18115	29466	31897
Contig64017	110	522	2445	2857
Contig33607	7044	10080	24253	27289
Contig33607	4045	4177	4794	4926
Contig33607	8010	9631	17199	18820
Contig33607	31299	31401	31882	31984
Contig62092	4725	4873	5565	5713
Contig84052	1254	1366	1893	2005
Contig84052	51	126	481	556
Contig56154	6673	7681	12387	13395
Contig112745	6725	7186	9339	9800
Contig28993	906	2029	7273	8396
Contig28515	12786	12983	13906	14103
Contig28515	16818	16943	17532	17657
Contig28515	4056	5130	10147	11221
Contig263	7899	14700	46442	53243
Contig88109	3391	4611	10310	11530
Contig21499	5842	7929	17670	19757
Contig21499	198	1017	4842	5661
Contig36888	324	931	3766	4373
Contig58159	730	1210	3452	3932
Contig58159	7542	8009	10193	10660
Contig67676	1728	2043	3516	3831
Contig111362	197	1443	7258	8504
Contig7784	1193	1507	2973	3287
Contig7784	4297	4743	6826	7272
Contig48527	6673	8762	18516	20605
Contig43720	1389	1930	4461	5002
Contig33137	16320	17322	21998	23000
Contig64289	5018	5133	5675	5790
Contig9843	4775	4985	5969	6179
Contig1355	2635	2948	4411	4724
Contig5194	26	763	4206	4943
Contig73365	5296	5884	8628	9216
Contig32528	453	11172	61194	71913
Contig118339	2316	2813	5134	5631
Contig178410	9676	9880	10834	11038
Contig34251	16456	18639	28831	31014
Contig36599	105	499	2340	2734
Contig18061	1288	1328	1517	1557
Contig18061	10440	10660	11689	11909
Contig68295	1604	2543	6925	7864
Contig65537	5351	5745	7587	7981
Contig133283	387	810	2784	3207
Contig42348	6392	6522	7134	7264
Contig42348	4549	4694	5372	5517
Contig17978	5232	6922	14812	16502
Contig73074	584	1511	5841	6768
Contig73074	10213	10250	10426	10463
Contig37983	528	1254	4643	5369
Contig39689	1055	3002	12092	14039
Contig40223	10736	12056	18222	19542
Contig2745	273	999	4390	5116
Contig193889	490	1237	4723	5470
Contig92	53934	54262	55799	56127
Contig92	58218	58577	60257	60616
Contig92	19276	22828	39408	42960
Contig92	7926	9355	16030	17459
Contig26301	20963	22043	27083	28163
Contig25135	956	2142	7683	8869
Contig25135	11202	12794	20224	21816
Contig25135	21848	24532	37058	39742
Contig25135	42716	43174	45314	45772
Contig89454	562	1175	4039	4652
Contig200776	10577	12697	22593	24713
Contig32509	245	1401	6801	7957
Contig31621	5362	7833	19367	21838
Contig15699	5065	5807	9276	10018
Contig66138	2336	3109	6717	7490
Contig66138	1858	1921	2220	2283
Contig45269	5369	5573	6526	6730
Contig56758	3966	4018	4264	4316
Contig140207	726	1300	3981	4555
Contig61011	176	926	4427	5177
Contig61011	46	1049	5734	6737
Contig37251	5123	6952	15492	17321
Contig30266	28316	28405	28825	28914
Contig30266	30527	31918	38411	39802
Contig30266	12804	14174	20568	21938
Contig149880	1495	1841	3461	3807
Contig2003	633	4321	21536	25224
Contig94668	1268	1316	1544	1592
Contig53113	1059	2388	8593	9922
Contig35526	1398	2840	9570	11012
Contig2857	2	2222	12584	14804
Contig72075	5120	5850	9260	9990
Contig23419	1682	1977	3358	3653
Contig174926	859	2318	9131	10590
Contig29359	2591	4012	10649	12070
Contig50081	2773	3424	6468	7119
Contig50081	165	289	871	995
Contig51261	9445	9805	11489	11849
Contig51261	8171	8205	8370	8404
Contig51261	1523	2723	8329	9529
Contig107677	703	1042	2627	2966
Contig6540	1254	2621	9002	10369
Contig19787	13	620	3453	4060
Contig6368	1449	1824	3576	3951
Contig63722	10829	11317	13596	14084
Contig7348	143	702	3314	3873
Contig4165	15308	16949	24611	26252
Contig63502	3010	4166	9562	10718
Contig143264	1676	1881	2839	3044
Contig132289	946	1586	4577	5217
Contig48496	2596	3307	6631	7342
Contig48496	4364	4472	4977	5085
Contig389	34406	36644	47090	49328
Contig389	23895	25456	32743	34304
Contig26541	243	2242	11573	13572
Contig26541	32018	33613	41060	42655
Contig26541	14163	14889	18283	19009
Contig45420	652	1000	2630	2978
Contig29572	139	1673	8837	10371
Contig39264	10554	10587	10742	10775
Contig39264	9542	9686	10361	10505
Contig51319	2704	3954	9788	11038
Contig1125	980	3374	14549	16943
Contig1343	17975	18578	21393	21996
Contig17271	395	890	3201	3696
Contig39975	12	422	2340	2750
Contig41483	1234	1869	4833	5468
Contig74697	227	2029	10439	12241
Contig52890	728	3348	15576	18196
Contig24853	88	1785	9710	11407
Contig44678	112	2260	12286	14434
Contig66994	1653	2075	4048	4470
Contig2898	6800	6898	7361	7459
Contig63924	636	1339	4622	5325
Contig66950	26253	26506	27687	27940
Contig23929	15092	16880	25226	27014
Contig23929	8676	9435	12980	13739
Contig515	4926	9853	32846	37773
Contig515	18569	20775	31074	33280
Contig17057	13625	16302	28798	31475
Contig17057	21428	21802	23551	23925
Contig147644	8583	8621	8802	8840
Contig147644	6620	6906	8243	8529
Contig147644	6136	6204	6526	6594
Contig52262	1287	1991	5281	5985
Contig29033	875	2064	7614	8803
Contig29033	13407	15993	28062	30648
Contig33440	6589	6752	7513	7676
Contig38327	12295	12449	13174	13328
Contig33804	7289	9771	21356	23838
Contig62039	2834	3592	7133	7891
Contig67040	9253	9746	12048	12541
Contig3212	3833	6547	19215	21929
Contig4879	1537	1713	2539	2715
Contig42441	14061	18498	39210	43647
Contig132790	726	1006	2317	2597
Contig21732	475	3798	19311	22634
Contig92725	496	1018	3458	3980
Contig27426	80	641	3262	3823
Contig44497	473	1923	8696	10146
Contig42157	2034	3343	9453	10762
Contig19040	4039	5032	9669	10662
Contig19040	10950	11371	13339	13760
Contig19040	26483	26638	27363	27518
Contig19040	25217	25264	25488	25535
Contig1487	9333	10872	18058	19597
Contig109338	467	933	3109	3575
Contig15780	11101	11426	12945	13270
Contig28728	132	584	2694	3146
Contig4652	86	755	3881	4550
Contig26399	763	2731	11918	13886
Contig43396	3924	4636	7963	8675
Contig70828	2769	3232	5395	5858
Contig32117	45184	47189	56548	58553
Contig34129	7393	7822	9826	10255
Contig34129	22017	22992	27542	28517
Contig6059	455	780	2297	2622
Contig43038	13427	15081	22803	24457
Contig42179	4007	4293	5630	5916
Contig25812	17668	20002	30898	33232
Contig205072	753	783	924	954
Contig22351	1019	1954	6320	7255
Contig22351	8342	10646	21404	23708
Contig1248	96	404	1844	2152
Contig1248	25166	25673	28040	28547
Contig35189	6031	8620	20704	23293
Contig57762	549	2529	11771	13751
Contig507	24112	26451	37370	39709
Contig1713	18780	19967	25512	26699
Contig451914	3393	4253	8267	9127
Contig89872	196	1004	4775	5583
Contig35736	5400	6275	10364	11239
Contig1583	19417	22319	35866	38768
Contig22420	3497	4105	6948	7556
Contig28406	1252	1683	3695	4126
Contig36450	3454	5431	14663	16640
Contig36450	16680	19191	30910	33421
Contig22405	1068	1415	3036	3383
Contig37363	2600	4057	10861	12318
Contig100604	732	1079	2701	3048
Contig32654	1340	3041	10980	12681
Contig32654	12760	14137	20563	21940
Contig25646	22411	23606	29186	30381
Contig25646	1421	4527	19026	22132
Contig41124	2136	3553	10171	11588
Contig55062	73	227	947	1101
Contig3155	222	1359	6670	7807
Contig67371	1167	2212	7089	8134
Contig27255	1823	2602	6242	7021
Contig33778	135	930	4646	5441
Contig193649	2681	2974	4342	4635
Contig8616	2542	2601	2880	2939
Contig8616	2942	2993	3237	3288
Contig17788	7396	12509	36372	41485
Contig17788	620	5057	25768	30205
Contig95612	6456	6648	7544	7736
Contig104496	1494	2219	5604	6329
Contig34996	4032	4134	4613	4715
Contig31675	2015	6252	26026	30263
Contig31675	30605	30803	31730	31928
Contig24922	301	654	2304	2657
Contig77426	644	2550	11450	13356
Contig40912	2445	6066	22969	26590
Contig40912	28938	29393	31521	31976
Contig40912	841	1079	2192	2430
Contig30382	533	736	1684	1887
Contig39512	1488	1781	3151	3444
Contig63194	1142	1279	1919	2056
Contig52751	3621	4133	6524	7036
Contig1498	272	2202	11212	13142
Contig45064	1337	1379	1578	1620
Contig45280	7686	9068	15518	16900
Contig72253	5863	6818	11277	12232
Contig27204	977	1673	4921	5617
Contig198396	1203	1368	2139	2304
Contig69180	1891	2257	3970	4336
Contig69180	6461	8336	17087	18962
Contig88119	4402	5013	7866	8477
Contig65928	76	797	4166	4887
Contig146568	725	1373	4400	5048
Contig44601	2230	2802	5473	6045
Contig60233	3516	4244	7645	8373
Contig33502	115	655	3180	3720
Contig38123	2822	5709	19183	22070
Contig26478	1083	1473	3295	3685
Contig26478	5842	6152	7605	7915
Contig26478	9943	10267	11785	12109
Contig55983	545	1121	3813	4389
Contig61620	10112	10316	11273	11477
Contig105133	8	513	2871	3376
Contig34862	6965	8474	15516	17025
Contig23154	2674	2946	4217	4489
Contig4700	301	1346	6225	7270
Contig31088	100	3439	19022	22361
Contig31088	23177	23962	27629	28414
Contig72627	2447	4257	12708	14518
Contig19969	50376	54323	72743	76690
Contig19969	60575	61670	66784	67879
Contig23652	23	2100	11799	13876
Contig29274	44486	46176	54064	55754
Contig97132	550	985	3015	3450
Contig58920	11446	14489	28691	31734
Contig81557	692	797	1293	1398
Contig123001	3039	6527	22805	26293
Contig130283	1465	1707	2838	3080
Contig57798	2687	3730	8599	9642
Contig20407	5223	5287	5590	5654
Contig20407	5932	6035	6516	6619
Contig1217	1128	1929	5671	6472
Contig1217	16206	17313	22482	23589
Contig94537	1317	2533	8208	9424
Contig40331	28	996	5515	6483
Contig43214	12808	14828	24261	26281
Contig43214	3938	4057	4616	4735
Contig43214	6376	6869	9173	9666
Contig43214	16131	16806	19962	20637
Contig43214	22437	23462	28249	29274
Contig25493	19830	21767	30809	32746
Contig93485	1860	1926	2236	2302
Contig35243	6370	7090	10450	11170
Contig29705	17399	17478	17848	17927
Contig29705	23635	25150	32226	33741
Contig29705	22677	24722	34271	36316
Contig29705	13447	13567	14131	14251
Contig50696	5354	7049	14962	16657
Contig249	1741	6446	28409	33114
Contig249	3241	7369	26638	30766
Contig90514	799	852	1105	1158
Contig39546	15663	16735	21739	22811
Contig26710	406	1114	4421	5129
Contig52092	679	5053	25471	29845
Contig41821	588	1093	3451	3956
Contig61926	2431	2938	5308	5815
Contig114712	868	953	1352	1437
Contig62809	2241	2369	2968	3096
Contig60853	706	1121	3059	3474
Contig72904	5046	5155	5667	5776
Contig19692	831	1002	1806	1977
Contig146230	967	1061	1504	1598
Contig50371	10703	11734	16546	17577
Contig50371	4556	5396	9321	10161
Contig40216	116	309	1211	1404
Contig40216	22579	24381	32792	34594
Contig64120	5522	5775	6961	7214
Contig101517	5903	6384	8634	9115
Contig68758	5469	5555	5958	6044
Contig68758	8062	8656	11432	12026
Contig1754	16226	16493	17740	18007
Contig76198	734	1002	2256	2524
Contig40978	783	2922	12909	15048
Contig40978	6312	6706	8549	8943
Contig26899	28727	29513	33185	33971
Contig26899	1468	2458	7082	8072
Contig26899	1590	5093	21445	24948
Contig26899	42655	43152	45472	45969
Contig26899	25966	26242	27535	27811
Contig54227	367	1924	9193	10750
Contig54227	11189	11987	15713	16511
Contig1188	35587	36700	41898	43011
Contig1188	15254	19311	38246	42303
Contig25088	36537	37907	44305	45675
Contig505	46604	46638	46799	46833
Contig16925	144	859	4202	4917
Contig16925	2353	4322	13514	15483
Contig3389	1394	1784	3605	3995
Contig3389	6330	6994	10093	10757
Contig88540	6758	6902	7576	7720
Contig338401	1201	1478	2774	3051
Contig338401	3068	3135	3454	3521
Contig16218	2304	2646	4246	4588
Contig16218	5919	9612	26847	30540
Contig140718	716	779	1074	1137
Contig326783	11722	12151	14155	14584
Contig25153	7858	8028	8823	8993
Contig43676	2	211	1188	1397
Contig57300	1327	1454	2052	2179
Contig57300	2785	2935	3637	3787
Contig22124	5762	6135	7879	8252
Contig22124	5341	5387	5602	5648
Contig30278	5345	7903	19844	22402
Contig30278	23900	24383	26641	27124
Contig77630	627	1942	8081	9396
Contig78159	4	820	4632	5448
Contig149070	266	302	472	508
Contig1078	2847	3435	6180	6768
Contig35414	1191	2475	8469	9753
Contig152675	1289	2270	6852	7833
Contig28295	2567	3479	7735	8647
Contig27165	1641	3573	12592	14524
Contig27165	10173	10554	12332	12713
Contig119582	1378	2380	7060	8062
Contig18820	16635	17553	21841	22759
Contig18820	1497	2394	6584	7481
Contig426720	1226	1802	4490	5066
Contig426720	1232	1904	5042	5714
Contig57184	3800	4101	5507	5808
Contig35958	27047	29314	39897	42164
Contig4656	132	166	328	362
Contig8421	425	768	2372	2715
Contig87047	762	1212	3318	3768
Contig87047	3956	4184	5252	5480
Contig68439	8370	8648	9946	10224
Contig61980	17991	18243	19420	19672
Contig61980	15339	15710	17446	17817
Contig55640	45	673	3608	4236
Contig72135	2659	3009	4646	4996
Contig65343	1738	1835	2291	2388
Contig67949	2451	3934	10856	12339
Contig57053	3037	4083	8968	10014
Contig71684	423	520	978	1075
Contig54744	596	1263	4382	5049
Contig35139	26	3537	19927	23438
Contig35139	23928	25593	33364	35029
Contig44902	20313	20860	23419	23966
Contig44902	1285	1520	2623	2858
Contig44902	12100	12647	15206	15753
Contig47241	1442	2523	7570	8651
Contig202491	570	689	1250	1369
Contig397432	1122	1612	3901	4391
Contig25687	1098	1297	2230	2429
Contig27922	1616	5265	22300	25949
Contig45398	1	330	1868	2197
Contig86897	2366	3647	9625	10906
Contig55661	2467	2731	3969	4233
Contig79596	15431	16807	23232	24608
Contig79596	2021	3720	11655	13354
Contig182	8837	10463	18057	19683
Contig10373	53	382	1919	2248
Contig15602	822	1639	5458	6275
Contig49033	79	3479	19351	22751
Contig73862	564	1578	6310	7324
Contig18529	17421	17602	18448	18629
Contig18529	136	1415	7389	8668
Contig74054	5462	6141	9312	9991
Contig28607	5503	5776	7055	7328
Contig331	318	2447	12387	14516
Contig331	28109	30497	41641	44029
Contig331	17612	18978	25354	26720
Contig26303	1754	2883	8153	9282
Contig16047	2475	2534	2814	2873
Contig20996	27668	29164	36151	37647
Contig20996	3201	6780	23486	27065
Contig21112	25538	29018	45259	48739
Contig21112	35231	37995	50894	53658
Contig21004	4096	6980	20443	23327
Contig99441	4496	4882	6689	7075
Contig46227	16179	16384	17346	17551
Contig46227	1971	3955	13219	15203
Contig50102	1339	3611	14220	16492
Contig38872	315	1135	4963	5783
Contig27604	10225	11834	19348	20957
Contig3687	2121	2835	6167	6881
Contig78492	3565	4185	7083	7703
Contig54675	13001	13070	13396	13465
Contig64807	10012	10358	11973	12319
Contig64807	2604	3231	6163	6790
Contig41921	17837	21187	36821	40171
Contig54994	2002	2959	7427	8384
Contig45154	5781	7266	14196	15681
Contig54304	7285	8330	13211	14256
Contig28234	1035	1082	1307	1354
Contig711	306	2324	11747	13765
Contig711	24999	25798	29532	30331
Contig107723	1420	2074	5131	5785
Contig3493	12651	13518	17569	18436
Contig31017	19826	22378	34291	36843
Contig3235	4854	5769	10045	10960
Contig22454	430	2094	9860	11524
Contig43280	43	556	2956	3469
Contig65660	32	956	5273	6197
Contig27130	11395	13269	22017	23891
Contig27130	31616	32039	34018	34441
Contig27130	411	3271	16622	19482
Contig45369	10381	10423	10623	10665
Contig45369	1054	2391	8634	9971
Contig45369	11306	11727	13696	14117
Contig34463	2341	2995	6051	6705
Contig34463	18958	20042	25103	26187
Contig16300	351	767	2710	3126
Contig115	9455	12655	27589	30789
Contig88823	583	779	1699	1895
Contig79934	438	2019	9397	10978
Contig10786	781	1129	2758	3106
Contig33748	8929	10425	17412	18908
Contig86034	15366	15706	17295	17635
Contig86034	6937	7437	9775	10275
Contig21243	725	898	1706	1879
Contig3343	3170	3528	5203	5561
Contig78786	1811	3192	9638	11019
Contig35930	1271	2654	9108	10491
Contig22957	17956	20625	33081	35750
Contig83709	318	1206	5356	6244
Contig21455	34540	34653	35185	35298
Contig21455	12630	13798	19254	20422
Contig21455	5729	6466	9906	10643
Contig88396	27	875	4838	5686
Contig23820	152	483	2032	2363
Contig69500	2049	2092	2293	2336
Contig85115	1236	1817	4530	5111
Contig99656	751	2000	7834	9083
Contig37758	36378	39049	51514	54185
Contig37758	327	388	677	738
Contig22899	880	1373	3679	4172
Contig130124	2540	2691	3398	3549
Contig130124	832	986	1707	1861
Contig162120	6584	6801	7814	8031
Contig18355	4755	5017	6241	6503
Contig18355	1744	1815	2150	2221
Contig42959	925	1590	4694	5359
Contig27378	3785	4523	7968	8706
Contig27378	1047	1866	5690	6509
Contig27378	17352	18607	24465	25720
Contig42788	34277	34391	34929	35043
Contig42788	26648	27282	30246	30880
Contig42788	24003	24398	26247	26642
Contig42788	31395	31771	33529	33905
Contig42788	377	1419	6288	7330
Contig42788	30935	30985	31224	31274
Contig53517	329	1983	9708	11362
Contig57990	272	738	2916	3382
Contig30331	400	798	2657	3055
Contig82492	4160	4968	8739	9547
Contig1591	6097	6936	10852	11691
Contig2657	2986	3633	6654	7301
Contig36946	1686	2839	8225	9378
Contig38896	34609	35269	38352	39012
Contig38896	22502	23834	30052	31384
Contig85688	4146	4617	6815	7286
Contig24197	5727	6061	7622	7956
Contig61840	2763	2856	3293	3386
Contig61840	1564	1705	2363	2504
Contig63062	60	1907	10530	12377
Contig63062	1114	2658	9866	11410
Contig36202	8128	8443	9915	10230
Contig32635	234	789	3380	3935
Contig60394	1251	1417	2194	2360
Contig63686	10387	10745	12417	12775
Contig39703	7705	11675	30206	34176
Contig29738	1527	2450	6758	7681
Contig78255	1255	3336	13053	15134
Contig100448	3890	3965	4320	4395
Contig85415	2960	3511	6084	6635
Contig85415	7562	7714	8428	8580
Contig93081	1558	1721	2487	2650
Contig138096	518	2366	10993	12841
Contig21704	2244	3563	9719	11038
Contig21001	292	883	3645	4236
Contig21001	5313	5427	5962	6076
Contig4288	828	2397	9724	11293
Contig56349	721	2028	8133	9440
Contig27231	6538	6914	8671	9047
Contig52292	9629	9800	10604	10775
Contig42886	2444	4002	11277	12835
Contig54853	275	1280	5972	6977
Contig3247	2306	2732	4721	5147
Contig54745	1391	2665	8612	9886
Contig30073	2806	4058	9901	11153
Contig30073	30715	32276	39567	41128
Contig30073	20449	21889	28615	30055
Contig51236	1413	2316	6531	7434
Contig30658	2620	4127	11160	12667
Contig54883	1961	2017	2282	2338
Contig91412	66	141	493	568
Contig20140	110731	113287	125219	127775
Contig20140	60236	62814	74849	77427
Contig47593	7191	7737	10285	10831
Contig47593	7871	9206	15437	16772
Contig67517	4544	5492	9922	10870
Contig58711	491	1669	7172	8350
Contig176413	319	581	1809	2071
Contig188560	3501	3671	4466	4636
Contig28733	17020	19488	31007	33475
Contig156281	2246	2351	2843	2948
Contig135108	223	405	1260	1442
Contig100960	1274	1824	4395	4945
Contig67347	4119	4156	4330	4367
Contig67347	473	713	1839	2079
Contig90984	596	689	1126	1219
Contig110343	13	93	471	551
Contig96410	1171	1997	5853	6679
Contig15913	1915	2801	6940	7826
Contig2742	9132	9862	13273	14003
Contig30569	255	684	2686	3115
Contig35937	41157	41629	43835	44307
Contig41427	908	1260	2907	3259
Contig47757	159	415	1613	1869
Contig3476	622	3171	15069	17618
Contig177337	774	1097	2608	2931
Contig23228	3935	4114	4953	5132
Contig59098	6032	6934	11144	12046
Contig43360	828	1519	4744	5435
Contig69564	5791	5968	6797	6974
Contig22795	8007	8249	9384	9626
Contig22795	11960	12041	12422	12503
Contig26309	1862	4284	15591	18013
Contig346812	4364	4452	4863	4951
Contig42647	3025	3898	7976	8849
Contig42647	26	1356	7565	8895
Contig1611	1660	2830	8296	9466
Contig174619	2	575	3250	3823
Contig35217	543	1621	6653	7731
Contig39715	10266	15904	42217	47855
Contig1986	5738	7659	16625	18546
Contig107872	4162	4436	5719	5993
Contig951	3158	4655	11645	13142
Contig53795	1801	2831	7640	8670
Contig27753	3327	3803	6025	6501
Contig27753	6518	6566	6793	6841
Contig50723	1729	3589	12273	14133
Contig118810	718	791	1133	1206
Contig19349	84	2217	12177	14310
Contig3284	17098	17574	19797	20273
Contig84873	3932	5985	15571	17624
Contig52273	1895	1974	2348	2427
Contig52273	4076	4231	4956	5111
Contig237	1593	3547	12672	14626
Contig53913	2885	3821	8191	9127
Contig433672	4060	4280	5307	5527
Contig119955	900	1281	3063	3444
Contig56639	1740	5802	24759	28821
Contig104200	3146	3789	6796	7439
Contig102790	2162	2213	2457	2508
Contig85708	4888	5479	8239	8830
Contig85010	10219	12362	22363	24506
Contig39935	10428	10885	13020	13477
Contig39935	910	5330	25962	30382
Contig40163	16576	17201	20123	20748
Contig40163	2221	4970	17805	20554
