"Quant_Varia"	"contig_gene"	"start_gene"	"end_gene"	"Pst_Values"
"Contig112130_2716_3012"	"Contig112130"	"2716"	"3012"	0.778193086517912
"Contig1123_6047_22084"	"Contig1123"	"6047"	"22084"	0.468428443213235
"Contig112314_366_1267"	"Contig112314"	"366"	"1267"	0.154610522578835
"Contig112389_375_9317"	"Contig112389"	"375"	"9317"	4.3171180631787e-06
"Contig1125_980_16943"	"Contig1125"	"980"	"16943"	0.614913602005773
"Contig112672_5_2921"	"Contig112672"	"5"	"2921"	0.278501864080249
"Contig112694_11724_13371"	"Contig112694"	"11724"	"13371"	0.368925229654313
"Contig1127_2658_18089"	"Contig1127"	"2658"	"18089"	0.210523479711666
"Contig112745_6725_9800"	"Contig112745"	"6725"	"9800"	0.0720874321316461
"Contig112833_1558_5048"	"Contig112833"	"1558"	"5048"	0.782369211086515
"Contig112932_586_3487"	"Contig112932"	"586"	"3487"	0.030620878905725
"Contig112945_5918_7162"	"Contig112945"	"5918"	"7162"	0.0390473829850013
"Contig112997_3027_7370"	"Contig112997"	"3027"	"7370"	0.336748034678969
"Contig113_2184_32185"	"Contig113"	"2184"	"32185"	0.0756172146245975
"Contig113_39483_44098"	"Contig113"	"39483"	"44098"	0.060527891303237
"Contig1132_14048_14887"	"Contig1132"	"14048"	"14887"	0.584224744058151
"Contig1132_16762_18233"	"Contig1132"	"16762"	"18233"	0.60991127148872
"Contig1132_4903_18229"	"Contig1132"	"4903"	"18229"	0.695258301335455
"Contig113403_722_4689"	"Contig113403"	"722"	"4689"	0.399587998063558
"Contig1135_11509_14856"	"Contig1135"	"11509"	"14856"	0.745306450729581
"Contig113568_3_2198"	"Contig113568"	"3"	"2198"	0.64491477789191
"Contig114165_951_1481"	"Contig114165"	"951"	"1481"	0.101719253844085
"Contig1144_1524_23375"	"Contig1144"	"1524"	"23375"	0.336633945124929
"Contig114453_277_1666"	"Contig114453"	"277"	"1666"	0.62630909501782
"Contig1147_16400_19904"	"Contig1147"	"16400"	"19904"	0.162863971154769
"Contig1151_12979_37826"	"Contig1151"	"12979"	"37826"	0.62320048661099
"Contig11514_163_1124"	"Contig11514"	"163"	"1124"	0.381345598194761
"Contig1153_5630_14086"	"Contig1153"	"5630"	"14086"	0.251432309662264
"Contig115997_816_6857"	"Contig115997"	"816"	"6857"	0.635261061180452
"Contig116_33518_57981"	"Contig116"	"33518"	"57981"	0.317584050394273
"Contig1162_57_11513"	"Contig1162"	"57"	"11513"	0.235716993274672
"Contig116303_362_6738"	"Contig116303"	"362"	"6738"	0.580858817467195
"Contig116666_5312_6250"	"Contig116666"	"5312"	"6250"	1.13212014001127e-05
"Contig1167_337_28793"	"Contig1167"	"337"	"28793"	0.213977244977312
"Contig116743_2575_12399"	"Contig116743"	"2575"	"12399"	0.287669517853992
"Contig1169_23499_34855"	"Contig1169"	"23499"	"34855"	0.00148405272583654
"Contig1169_5319_35809"	"Contig1169"	"5319"	"35809"	0.390155871358233
"Contig117090_48_6043"	"Contig117090"	"48"	"6043"	0.311017445440029
"Contig117259_780_1059"	"Contig117259"	"780"	"1059"	0.133750184635699
"Contig117463_41_8900"	"Contig117463"	"41"	"8900"	0.000594167050302521
"Contig1175_8145_17508"	"Contig1175"	"8145"	"17508"	0.273064101986067
"Contig117650_237_1507"	"Contig117650"	"237"	"1507"	0.70026561318537
"Contig1177_240_15798"	"Contig1177"	"240"	"15798"	0.00408750430258955
"Contig117813_1075_3240"	"Contig117813"	"1075"	"3240"	0.179422889437497
"Contig117932_588_6984"	"Contig117932"	"588"	"6984"	0.546054977003412
"Contig117952_884_14373"	"Contig117952"	"884"	"14373"	0.170694719598965
"Contig1181_16_3712"	"Contig1181"	"16"	"3712"	0.00952428889890763
"Contig118138_220_2378"	"Contig118138"	"220"	"2378"	0.772953588003975
"Contig118175_282_4315"	"Contig118175"	"282"	"4315"	0.168958641003313
"Contig118194_2685_5991"	"Contig118194"	"2685"	"5991"	0.140438309773282
"Contig118291_11073_12461"	"Contig118291"	"11073"	"12461"	0.768824789075055
"Contig118510_2306_4228"	"Contig118510"	"2306"	"4228"	0.0554951914478466
"Contig118608_392_9909"	"Contig118608"	"392"	"9909"	0.362754756081081
"Contig1194_22552_36728"	"Contig1194"	"22552"	"36728"	0.488341158922128
"Contig1194_338_37464"	"Contig1194"	"338"	"37464"	0.488341158922128
"Contig1195_150_30091"	"Contig1195"	"150"	"30091"	0.00253082340522443
"Contig119696_8420_11002"	"Contig119696"	"8420"	"11002"	0.717473778854572
"Contig1197_5475_29925"	"Contig1197"	"5475"	"29925"	0.0607720191004094
"Contig119727_109_5202"	"Contig119727"	"109"	"5202"	0.122894488004652
"Contig119778_929_3575"	"Contig119778"	"929"	"3575"	0.505349104063939
"Contig1198_5690_14430"	"Contig1198"	"5690"	"14430"	0.281373929767691
"Contig11982_448_1779"	"Contig11982"	"448"	"1779"	0.888534533772033
"Contig12_1576_17625"	"Contig12"	"1576"	"17625"	0.00263451098655758
"Contig12_24393_54106"	"Contig12"	"24393"	"54106"	0.401654037259469
"Contig120023_1207_1521"	"Contig120023"	"1207"	"1521"	0.707302307995494
"Contig120088_2028_2249"	"Contig120088"	"2028"	"2249"	0.316659326500223
"Contig1201_800_4721"	"Contig1201"	"800"	"4721"	0.141761312853159
"Contig120320_1011_5640"	"Contig120320"	"1011"	"5640"	0.0311567471051684
"Contig12036_402_1388"	"Contig12036"	"402"	"1388"	0.441152926769184
"Contig120378_1737_12064"	"Contig120378"	"1737"	"12064"	0.19748251210218
"Contig120547_108_3786"	"Contig120547"	"108"	"3786"	0.00468254229507266
"Contig120876_427_5799"	"Contig120876"	"427"	"5799"	0.0194759814913163
"Contig121_34314_64637"	"Contig121"	"34314"	"64637"	0.635081527488321
"Contig121_5524_27546"	"Contig121"	"5524"	"27546"	6.46388813819045e-05
"Contig121261_474_1069"	"Contig121261"	"474"	"1069"	0.689510154174996
"Contig121347_36_7429"	"Contig121347"	"36"	"7429"	0.572166454897416
"Contig121404_66_1117"	"Contig121404"	"66"	"1117"	0.011932631932376
"Contig12163_121_1387"	"Contig12163"	"121"	"1387"	6.89467271899554e-08
"Contig1219_2475_28660"	"Contig1219"	"2475"	"28660"	0.551462166408641
"Contig122_25639_43880"	"Contig122"	"25639"	"43880"	0.132777603514887
"Contig1221_274_32027"	"Contig1221"	"274"	"32027"	0.361335880822521
"Contig122273_27_818"	"Contig122273"	"27"	"818"	0.00274539743937185
"Contig1224_753_26840"	"Contig1224"	"753"	"26840"	0.124982022372704
"Contig122675_545_3412"	"Contig122675"	"545"	"3412"	0.000470793086217698
"Contig122747_272_7529"	"Contig122747"	"272"	"7529"	0.00423473552849481
"Contig122810_3398_7542"	"Contig122810"	"3398"	"7542"	0.0113293210033583
"Contig122890_3299_4506"	"Contig122890"	"3299"	"4506"	0.0939352691317421
"Contig122909_2268_3428"	"Contig122909"	"2268"	"3428"	0.444015428188374
"Contig122997_9019_10129"	"Contig122997"	"9019"	"10129"	0.395767717826978
"Contig123_24224_28809"	"Contig123"	"24224"	"28809"	0.0746564070431327
"Contig123285_2546_5754"	"Contig123285"	"2546"	"5754"	0.710235783929511
"Contig123423_404_5424"	"Contig123423"	"404"	"5424"	0.238790362186229
"Contig123780_167_3046"	"Contig123780"	"167"	"3046"	0.624734376486523
"Contig123831_8225_13346"	"Contig123831"	"8225"	"13346"	0.590821169125962
"Contig123992_317_7960"	"Contig123992"	"317"	"7960"	0.048922643788029
"Contig1240_16695_26732"	"Contig1240"	"16695"	"26732"	0.784147380878033
"Contig1240_2211_26687"	"Contig1240"	"2211"	"26687"	0.807472527407389
"Contig124197_509_1009"	"Contig124197"	"509"	"1009"	0.678889524422477
"Contig124397_2545_7453"	"Contig124397"	"2545"	"7453"	0.8406605101785
"Contig1245_2741_9854"	"Contig1245"	"2741"	"9854"	0.408776876544367
"Contig125117_399_3623"	"Contig125117"	"399"	"3623"	0.578236939454103
"Contig125656_563_9417"	"Contig125656"	"563"	"9417"	0.00388782380519251
"Contig125691_2824_6631"	"Contig125691"	"2824"	"6631"	0.214962022866483
"Contig1258_13171_29053"	"Contig1258"	"13171"	"29053"	0.0566989330360113
"Contig125878_242_9147"	"Contig125878"	"242"	"9147"	0.780424622259731
"Contig125900_29_2683"	"Contig125900"	"29"	"2683"	0.358144308657855
"Contig126053_306_4960"	"Contig126053"	"306"	"4960"	0.00810841212649103
"Contig126465_1_3076"	"Contig126465"	"1"	"3076"	0.386136734184045
"Contig126675_23_2045"	"Contig126675"	"23"	"2045"	0.533764417784488
"Contig126730_5435_20907"	"Contig126730"	"5435"	"20907"	0.805997103858166
"Contig126791_4424_7722"	"Contig126791"	"4424"	"7722"	0.771254214914493
"Contig1268_1038_11269"	"Contig1268"	"1038"	"11269"	0.128688216685192
"Contig126875_634_8342"	"Contig126875"	"634"	"8342"	0.336278395213523
"Contig1269_94_13481"	"Contig1269"	"94"	"13481"	0.613950050570277
"Contig1270_2696_8857"	"Contig1270"	"2696"	"8857"	0.438195736499573
"Contig127340_7_1024"	"Contig127340"	"7"	"1024"	0.0404781504917226
"Contig127636_2533_6936"	"Contig127636"	"2533"	"6936"	0.542472279415763
"Contig127676_982_2931"	"Contig127676"	"982"	"2931"	0.301794496386157
"Contig1277_7830_28026"	"Contig1277"	"7830"	"28026"	0.281283922296548
"Contig1278_4320_12488"	"Contig1278"	"4320"	"12488"	0.19977314754832
"Contig128000_850_12596"	"Contig128000"	"850"	"12596"	0.221648717553823
"Contig128375_660_8707"	"Contig128375"	"660"	"8707"	0.11694462809155
"Contig1284_1_20587"	"Contig1284"	"1"	"20587"	0.474595239120918
"Contig1285_3609_14024"	"Contig1285"	"3609"	"14024"	0.00405651393294582
"Contig128623_269_858"	"Contig128623"	"269"	"858"	0.0344414565249533
"Contig128973_12427_14821"	"Contig128973"	"12427"	"14821"	0.533813092420168
"Contig129_11110_44084"	"Contig129"	"11110"	"44084"	0.177924843444291
"Contig129043_699_2623"	"Contig129043"	"699"	"2623"	0.795460723199477
"Contig129243_10630_11450"	"Contig129243"	"10630"	"11450"	0.430880737416397
"Contig129243_5484_9215"	"Contig129243"	"5484"	"9215"	0.0249953476936227
"Contig129473_2825_14665"	"Contig129473"	"2825"	"14665"	0.000954207066023943
"Contig1297_44614_55313"	"Contig1297"	"44614"	"55313"	0.868649756747457
"Contig1297_45241_67652"	"Contig1297"	"45241"	"67652"	0.777903222443637
"Contig13_8846_61081"	"Contig13"	"8846"	"61081"	0.163327204732382
"Contig1301_4045_11951"	"Contig1301"	"4045"	"11951"	0.72449452114099
"Contig130103_689_1606"	"Contig130103"	"689"	"1606"	0.119652609269201
"Contig130124_2540_3549"	"Contig130124"	"2540"	"3549"	0.432442426875714
"Contig130124_832_1861"	"Contig130124"	"832"	"1861"	0.0986014208701668
"Contig130295_12_3044"	"Contig130295"	"12"	"3044"	0.0006324980855753
"Contig130434_381_11815"	"Contig130434"	"381"	"11815"	0.511130958075608
"Contig130496_1023_2646"	"Contig130496"	"1023"	"2646"	0.0117898300844144
"Contig130717_1376_11975"	"Contig130717"	"1376"	"11975"	0.504326611704614
"Contig1308_5099_22704"	"Contig1308"	"5099"	"22704"	0.12420243410732
"Contig131_3230_9653"	"Contig131"	"3230"	"9653"	0.834914349007966
"Contig131024_8346_12011"	"Contig131024"	"8346"	"12011"	0.417923355381101
"Contig131070_6573_10883"	"Contig131070"	"6573"	"10883"	0.370626119125168
"Contig1313_904_18588"	"Contig1313"	"904"	"18588"	0.389568226415842
"Contig132_24016_34167"	"Contig132"	"24016"	"34167"	0.788122484047071
"Contig132_34181_65230"	"Contig132"	"34181"	"65230"	0.945367695806355
"Contig1320_6658_15576"	"Contig1320"	"6658"	"15576"	0.101866988108346
"Contig132108_2069_12212"	"Contig132108"	"2069"	"12212"	0.404594434682026
"Contig132115_10_912"	"Contig132115"	"10"	"912"	0.733491643051486
"Contig132119_313_12673"	"Contig132119"	"313"	"12673"	0.0270577605206562
"Contig132289_946_5217"	"Contig132289"	"946"	"5217"	0.212787054775811
"Contig132976_78_2593"	"Contig132976"	"78"	"2593"	0.306417871722029
"Contig133030_1373_8373"	"Contig133030"	"1373"	"8373"	0.448925408874116
"Contig1332_36900_50845"	"Contig1332"	"36900"	"50845"	0.176883939461724
"Contig133281_1_3412"	"Contig133281"	"1"	"3412"	0.000521798338293028
"Contig133793_57_1247"	"Contig133793"	"57"	"1247"	0.745654745049575
"Contig133930_14108_18155"	"Contig133930"	"14108"	"18155"	0.287350384353454
"Contig134_16750_37075"	"Contig134"	"16750"	"37075"	0.383485913113445
"Contig1340_22948_31972"	"Contig1340"	"22948"	"31972"	0.424798757272964
"Contig134219_414_1548"	"Contig134219"	"414"	"1548"	0.113310851110868
"Contig134553_964_4667"	"Contig134553"	"964"	"4667"	0.0964157078023608
"Contig135015_902_2300"	"Contig135015"	"902"	"2300"	0.324589925230589
"Contig135245_26_476"	"Contig135245"	"26"	"476"	0.249471904841819
"Contig135424_107_2209"	"Contig135424"	"107"	"2209"	0.157038179769148
"Contig135578_1608_7736"	"Contig135578"	"1608"	"7736"	0.341911915236109
"Contig135753_3339_7034"	"Contig135753"	"3339"	"7034"	0.566322498820257
"Contig135865_1656_3484"	"Contig135865"	"1656"	"3484"	0.615602661197835
"Contig135992_707_1709"	"Contig135992"	"707"	"1709"	0.0606750104695719
"Contig1360_4629_16321"	"Contig1360"	"4629"	"16321"	0.45438149634382
"Contig1363_21927_26911"	"Contig1363"	"21927"	"26911"	0.586730056653931
"Contig136409_311_4509"	"Contig136409"	"311"	"4509"	0.63332034625609
"Contig136527_1_2408"	"Contig136527"	"1"	"2408"	0.352460967475259
"Contig136667_2177_11098"	"Contig136667"	"2177"	"11098"	0.248148834631064
"Contig1367_781_7342"	"Contig1367"	"781"	"7342"	0.0250762683307594
"Contig136728_524_2536"	"Contig136728"	"524"	"2536"	0.200615758785333
"Contig136825_1029_3925"	"Contig136825"	"1029"	"3925"	0.154852372310704
"Contig1373_3798_9270"	"Contig1373"	"3798"	"9270"	0.000122294571556291
"Contig137413_392_8012"	"Contig137413"	"392"	"8012"	0.122770500978233
"Contig137514_102_6484"	"Contig137514"	"102"	"6484"	0.712496878899398
"Contig137608_106_1233"	"Contig137608"	"106"	"1233"	0.734268338031017
"Contig137636_13_1514"	"Contig137636"	"13"	"1514"	0.408492358111563
"Contig137892_180_11150"	"Contig137892"	"180"	"11150"	0.400828419026945
"Contig137970_1461_5074"	"Contig137970"	"1461"	"5074"	0.673354985641161
"Contig138_10921_11757"	"Contig138"	"10921"	"11757"	0.227012291685266
"Contig138016_377_4805"	"Contig138016"	"377"	"4805"	0.485586313286086
"Contig138146_59_6635"	"Contig138146"	"59"	"6635"	0.234467459805726
"Contig13817_704_2820"	"Contig13817"	"704"	"2820"	0.0482438197857724
