UNIPROT_ACCESSION	Name	Species
Q86YI8	PHD finger protein 13(PHF13)	Homo sapiens
Q99958	forkhead box C2(FOXC2)	Homo sapiens
P07207	Notch(N)	Drosophila melanogaster
Q5ZMD4	tripartite motif containing 59(TRIM59)	Gallus gallus
Q8VIK1	small nuclear ribonucleoprotein 25 (U11/U12)(Snrnp25)	Mus musculus
Q58ED9	N(alpha)-acetyltransferase 20, NatB catalytic subunit(naa20)	Danio rerio
P12804	fibrinogen-like protein 2(Fgl2)	Mus musculus
Q9Y5X5	neuropeptide FF receptor 2(NPFFR2)	Homo sapiens
Q6IMH0	testis, prostate and placenta expressed(Tepp)	Mus musculus
A2CEA7	Ras protein-specific guanine nucleotide-releasing factor 2b(rasgrf2b)	Danio rerio
P10632	cytochrome P450 family 2 subfamily C member 8(CYP2C8)	Homo sapiens
Q13370	phosphodiesterase 3B(PDE3B)	Homo sapiens
P20918	plasminogen(Plg)	Mus musculus
Q08093	calponin 2(Cnn2)	Mus musculus
Q6UWM5	GLI pathogenesis related 1 like 1(GLIPR1L1)	Homo sapiens
P55264	adenosine kinase(Adk)	Mus musculus
A6NL82	family with sequence similarity 183 member A(FAM183A)	Homo sapiens
Q5R9H4	APOBEC1 complementation factor(A1CF)	Pongo abelii
Q9NXK8	F-box and leucine rich repeat protein 12(FBXL12)	Homo sapiens
P98156	very low density lipoprotein receptor(Vldlr)	Mus musculus
A5PJI7	eukaryotic translation initiation factor 2B subunit gamma(EIF2B3)	Bos taurus
Q9XWB9	BTB and MATH domain-containing protein 36(bath-36)	Caenorhabditis elegans
Q6Z7K5	metal tolerance protein 3(LOC4330894)	Oryza sativa Japonica Group
Q2KIK2	MPV17 mitochondrial inner membrane protein like(MPV17L)	Bos taurus
Q5R947	IMP4 homolog, U3 small nucleolar ribonucleoprotein(IMP4)	Pongo abelii
Q9DDT2	phosphoinositide-3-kinase adaptor protein 1(PIK3AP1)	Gallus gallus
Q5XGW6	charged multivesicular body protein 4B S homeolog(chmp4b.S)	Xenopus laevis
Q92180	glucosaminyl (N-acetyl) transferase 1, core 2(GCNT1)	Bos taurus
Q147U1	zinc finger protein 846(ZNF846)	Homo sapiens
Q90Y54	jagged 1b(jag1b)	Danio rerio
E9QAM5	helicase with zinc finger 2, transcriptional coactivator(Helz2)	Mus musculus
Q9VJ79	Phosphodiesterase 11(Pde11)	Drosophila melanogaster
Q9W6V5	protein tyrosine phosphatase, receptor type J(PTPRJ)	Gallus gallus
Q80YG3	kelch domain containing 1(Klhdc1)	Mus musculus
Q27421	outspread(osp)	Drosophila melanogaster
F1QYJ6	sulfotransferase family, cytosolic, 6b, member 1(sult6b1)	Danio rerio
Q17DK5	AAEL004146-PA(CRY1_AEDAE)	Aedes aegypti
Q2PZL6	FAT atypical cadherin 4(Fat4)	Mus musculus
Q96KE9	BTB domain containing 6(BTBD6)	Homo sapiens
Q9HAY6	beta-carotene oxygenase 1(BCO1)	Homo sapiens
B7Z0W9	CG42265 gene product from transcript CG42265-RE(CG42265)	Drosophila melanogaster
P30549	tachykinin receptor 2(Tacr2)	Mus musculus
M0ZYF3	internal alternative NAD(P)H-ubiquinone oxidoreductase A1, mitochondrial-like(LOC102598594)	Solanum tuberosum
Q5RF16	beta-carotene oxygenase 2(BCO2)	Pongo abelii
Q5EA25	sushi repeat containing protein, X-linked 2(SRPX2)	Bos taurus
Q0V9W6	BTB (POZ) domain containing 6(btbd6)	Xenopus tropicalis
Q80UN9	tRNA isopentenyltransferase 1(Trit1)	Mus musculus
Q80T91	multiple EGF-like-domains 11(Megf11)	Mus musculus
A7RHB3	hypothetical protein(NEMVEDRAFT_v1g81173)	Nematostella vectensis
Q5K651	sterile alpha motif domain containing 9(SAMD9)	Homo sapiens
Q5EB73	transmembrane protein 246(Tmem246)	Rattus norvegicus
L7YAI7	beta-1,4-glucuronyltransferase 1(b4gat1)	Danio rerio
P42696	RNA binding motif protein 34(RBM34)	Homo sapiens
Q4V8E5	major facilitator superfamily domain containing 3(Mfsd3)	Rattus norvegicus
O08848	TROVE domain family, member 2(Trove2)	Mus musculus
A2BGM5	forkhead box N4(foxn4)	Danio rerio
Q9H093	NUAK family kinase 2(NUAK2)	Homo sapiens
Q0E908	Hillarin(Hil)	Drosophila melanogaster
Q9T0F4	P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT4G09950)	Arabidopsis thaliana
Q8K2L8	trafficking protein particle complex 12(Trappc12)	Mus musculus
Q4R4A2	zinc finger with UFM1 specific peptidase domain(ZUFSP)	Macaca fascicularis
Q3B8G0	chromosome 1 open reading frame 123 L homeolog(c1orf123.L)	Xenopus laevis
Q8NFU1	bestrophin 2(BEST2)	Homo sapiens
Q29076	POU class 2 homeobox 1(POU2F1)	Sus scrofa
Q5ZM41	testis expressed 10(TEX10)	Gallus gallus
G5EFC3	Potassium voltage-gated channel protein egl-36(egl-36)	Caenorhabditis elegans
Q7TPV2	DAZ interacting protein 3, zinc finger(Dzip3)	Mus musculus
Q7T3B0	eukaryotic translation initiation factor 3, subunit M(eif3m)	Danio rerio
Q91044	neurotrophic tyrosine kinase, receptor, type 3(NTRK3)	Gallus gallus
P11584	myospheroid(mys)	Drosophila melanogaster
P03957	matrix metallopeptidase 3(Mmp3)	Rattus norvegicus
Q9Y6R7	Fc fragment of IgG binding protein(FCGBP)	Homo sapiens
P32717	metallo-beta-lactamase superfamily protein(yjcS)	Escherichia coli str. K-12 substr. MG1655
Q8C4G9	adhesion G protein-coupled receptor A1(Adgra1)	Mus musculus
Q86Z23	complement C1q like 4(C1QL4)	Homo sapiens
	H2A0M7		
	P83425		
	Q25145		
	Q59990		
	Q9I931		
	Q4PM12		
	V5NAL9		
	P0DKY8		
	P46023		
