"Quant_Varia"	"contig_gene"	"start_gene_2kb"	"end_gene_2kb"	"Pst_Values"
"Contig130295_1_4024"	"Contig130295"	"1"	"4024"	0.37557456678586
"Contig1308_3099_24704"	"Contig1308"	"3099"	"24704"	0.131103818089853
"Contig131_1230_11653"	"Contig131"	"1230"	"11653"	0.285649697079302
"Contig1313_1_19517"	"Contig1313"	"1"	"19517"	0.427774712873661
"Contig131668_1_7192"	"Contig131668"	"1"	"7192"	0.603295219266476
"Contig131698_1_1830"	"Contig131698"	"1"	"1830"	0.532478834678378
"Contig132_22016_36167"	"Contig132"	"22016"	"36167"	0.0270095381988659
"Contig132_32181_65469"	"Contig132"	"32181"	"65469"	0.443805693307338
"Contig132115_1_1816"	"Contig132115"	"1"	"1816"	0.102594854471685
"Contig132119_1_12986"	"Contig132119"	"1"	"12986"	0.373634237236651
"Contig132701_1_1640"	"Contig132701"	"1"	"1640"	0.466982799181652
"Contig133281_1_5002"	"Contig133281"	"1"	"5002"	0.022552968539104
"Contig1336_1531_13931"	"Contig1336"	"1531"	"13931"	0.802193717352978
"Contig133793_1_1325"	"Contig133793"	"1"	"1325"	0.661897111217496
"Contig133930_12108_18921"	"Contig133930"	"12108"	"18921"	0.000747253430444513
"Contig134_14750_39075"	"Contig134"	"14750"	"39075"	0.241778529248157
"Contig1340_20948_33972"	"Contig1340"	"20948"	"33972"	0.403220090433909
"Contig134219_1_3498"	"Contig134219"	"1"	"3498"	0.66744542058371
"Contig135015_1_3048"	"Contig135015"	"1"	"3048"	0.0309278350515464
"Contig135245_1_1843"	"Contig135245"	"1"	"1843"	0.181466915820472
"Contig135578_1_7736"	"Contig135578"	"1"	"7736"	0.266077330133346
"Contig135753_1339_8242"	"Contig135753"	"1339"	"8242"	0.451561134065015
"Contig1363_19927_27485"	"Contig1363"	"19927"	"27485"	0.00490203170091489
"Contig136409_1_5981"	"Contig136409"	"1"	"5981"	0.32705226151119
"Contig136667_177_11760"	"Contig136667"	"177"	"11760"	0.118535520039974
"Contig1367_1_8524"	"Contig1367"	"1"	"8524"	0.207516882046374
"Contig136728_1_2572"	"Contig136728"	"1"	"2572"	0.473559937555305
"Contig137608_1_3233"	"Contig137608"	"1"	"3233"	0.611875880854859
"Contig137636_1_3514"	"Contig137636"	"1"	"3514"	0.22226605780076
"Contig138_8921_13757"	"Contig138"	"8921"	"13757"	0.778849798520835
"Contig138146_1_7859"	"Contig138146"	"1"	"7859"	0.166637507878124
"Contig13817_1_2843"	"Contig13817"	"1"	"2843"	0.0254645813417366
"Contig1387_1_6493"	"Contig1387"	"1"	"6493"	0.0894393935953166
"Contig1387_10061_33942"	"Contig1387"	"10061"	"33942"	0.59780274096916
"Contig138707_1_7387"	"Contig138707"	"1"	"7387"	0.512942188528184
"Contig138745_1_4430"	"Contig138745"	"1"	"4430"	0.0202386404651417
"Contig139118_1_5531"	"Contig139118"	"1"	"5531"	0.636278260170975
"Contig1392_5136_12847"	"Contig1392"	"5136"	"12847"	0.0178686021690014
"Contig139267_1_1468"	"Contig139267"	"1"	"1468"	0.0126492772081288
"Contig13956_1814_9266"	"Contig13956"	"1814"	"9266"	0.648086773955186
"Contig139648_1_2312"	"Contig139648"	"1"	"2312"	0.553914936636967
"Contig1399_1_15990"	"Contig1399"	"1"	"15990"	0.0139489514561322
"Contig139928_1_3225"	"Contig139928"	"1"	"3225"	0.517805596782367
"Contig140702_1_7666"	"Contig140702"	"1"	"7666"	0.71365588717538
"Contig140872_1_11148"	"Contig140872"	"1"	"11148"	0.0796853495477254
"Contig1410_1_16734"	"Contig1410"	"1"	"16734"	0.0131796417875697
"Contig141213_1211_8895"	"Contig141213"	"1211"	"8895"	0.291008548751124
"Contig1414_1_23508"	"Contig1414"	"1"	"23508"	0.790957959873735
"Contig1414_10936_39853"	"Contig1414"	"10936"	"39853"	0.790957959873735
"Contig141738_151_6393"	"Contig141738"	"151"	"6393"	0.423575886776939
"Contig142250_1_2745"	"Contig142250"	"1"	"2745"	0.294625004775393
"Contig1425_25058_46078"	"Contig1425"	"25058"	"46078"	0.532755817363289
"Contig143_5740_25511"	"Contig143"	"5740"	"25511"	0.839638536409971
"Contig143166_1_2619"	"Contig143166"	"1"	"2619"	0.0156076438723263
"Contig1433_1_13800"	"Contig1433"	"1"	"13800"	0.205308806060111
"Contig1436_5001_15304"	"Contig1436"	"5001"	"15304"	0.104088030406788
"Contig143783_1_11762"	"Contig143783"	"1"	"11762"	0.0206090391648379
"Contig1440_2791_28033"	"Contig1440"	"2791"	"28033"	0.412392955515261
"Contig144059_1_14060"	"Contig144059"	"1"	"14060"	0.0316709876715982
"Contig144141_1_3639"	"Contig144141"	"1"	"3639"	0.90934752229258
"Contig1448_5195_22102"	"Contig1448"	"5195"	"22102"	0.689599897660717
"Contig145217_1_1380"	"Contig145217"	"1"	"1380"	0.464683741791971
"Contig145323_202_5787"	"Contig145323"	"202"	"5787"	0.0167816635157208
"Contig145474_1_1642"	"Contig145474"	"1"	"1642"	0.343622657378817
"Contig145532_1_3527"	"Contig145532"	"1"	"3527"	0.0139367059484502
"Contig145624_8116_14084"	"Contig145624"	"8116"	"14084"	0.0406336495032747
"Contig145653_1_4587"	"Contig145653"	"1"	"4587"	0.0122421229410102
"Contig1460_1_26671"	"Contig1460"	"1"	"26671"	0.62776237798865
"Contig146162_1_2023"	"Contig146162"	"1"	"2023"	0.583122004872954
"Contig146240_1813_5930"	"Contig146240"	"1813"	"5930"	0.767703515076967
"Contig146679_1_2749"	"Contig146679"	"1"	"2749"	0.0352839502912422
"Contig147619_1_6876"	"Contig147619"	"1"	"6876"	0.0128494106665558
"Contig148409_1_1540"	"Contig148409"	"1"	"1540"	0.173596015402763
"Contig148593_1_6534"	"Contig148593"	"1"	"6534"	0.127169628277882
"Contig1486_1_35578"	"Contig1486"	"1"	"35578"	0.0454339628087705
"Contig148887_1_6231"	"Contig148887"	"1"	"6231"	0.124218567875254
"Contig149134_128_4495"	"Contig149134"	"128"	"4495"	0.198878667216325
"Contig1493_729_11737"	"Contig1493"	"729"	"11737"	0.000598880961050659
"Contig149488_1_1799"	"Contig149488"	"1"	"1799"	0.000854294117597173
"Contig149522_1_4517"	"Contig149522"	"1"	"4517"	0.00424787815774825
"Contig149750_1_6130"	"Contig149750"	"1"	"6130"	0.380802844535971
"Contig15_12346_36882"	"Contig15"	"12346"	"36882"	0.107206211567786
"Contig15_19295_28769"	"Contig15"	"19295"	"28769"	0.107206211567786
"Contig150_1_23365"	"Contig150"	"1"	"23365"	0.384376175018465
"Contig150_19372_41619"	"Contig150"	"19372"	"41619"	0.0518458081659379
"Contig150065_3300_10559"	"Contig150065"	"3300"	"10559"	0.135837181206581
"Contig1503_1_18017"	"Contig1503"	"1"	"18017"	0.161635401661423
"Contig150554_577_6254"	"Contig150554"	"577"	"6254"	0.0700285347063355
"Contig150608_1_6138"	"Contig150608"	"1"	"6138"	0.363608816082678
"Contig150608_1_6141"	"Contig150608"	"1"	"6141"	0.363608816082678
"Contig151_4270_54684"	"Contig151"	"4270"	"54684"	0.456050338755043
"Contig151161_500_4418"	"Contig151161"	"500"	"4418"	0.00250675539813993
"Contig1519_4003_9777"	"Contig1519"	"4003"	"9777"	0.100757327147783
"Contig152_4965_37832"	"Contig152"	"4965"	"37832"	0.897082604456081
"Contig152343_1_2524"	"Contig152343"	"1"	"2524"	0.0632249848456339
"Contig15287_14295_32882"	"Contig15287"	"14295"	"32882"	0.303192271954368
"Contig15287_21496_45683"	"Contig15287"	"21496"	"45683"	0.509952794549614
"Contig15291_1_11814"	"Contig15291"	"1"	"11814"	0.737004865983636
"Contig15291_2953_12048"	"Contig15291"	"2953"	"12048"	0.737004865983636
"Contig153077_4989_13166"	"Contig153077"	"4989"	"13166"	0.0226917183474651
"Contig15326_24093_34065"	"Contig15326"	"24093"	"34065"	0.238323524623888
"Contig15328_1845_11228"	"Contig15328"	"1845"	"11228"	0.646435296871714
"Contig15372_1_9248"	"Contig15372"	"1"	"9248"	0.240205638787053
"Contig15378_2705_19285"	"Contig15378"	"2705"	"19285"	0.387398785543433
"Contig15379_1_16373"	"Contig15379"	"1"	"16373"	0.14359508393631
"Contig15379_10379_17306"	"Contig15379"	"10379"	"17306"	0.14359508393631
"Contig15407_6_36540"	"Contig15407"	"6"	"36540"	0.67439038096247
"Contig15441_1980_17974"	"Contig15441"	"1980"	"17974"	0.314048562165515
"Contig154795_1_5250"	"Contig154795"	"1"	"5250"	0.696578443041794
"Contig15491_1_6285"	"Contig15491"	"1"	"6285"	0.0325081778304124
"Contig15504_1_38743"	"Contig15504"	"1"	"38743"	0.767345691116515
"Contig15531_59_28321"	"Contig15531"	"59"	"28321"	0.680679140217197
"Contig155764_1_1159"	"Contig155764"	"1"	"1159"	0.74505586143862
"Contig15595_31612_64402"	"Contig15595"	"31612"	"64402"	0.153241518499905
"Contig15598_2992_15105"	"Contig15598"	"2992"	"15105"	0.811912213218505
"Contig15653_1_16633"	"Contig15653"	"1"	"16633"	0.7726269268152
"Contig15738_878_25901"	"Contig15738"	"878"	"25901"	0.423798303499367
"Contig15756_42860_66165"	"Contig15756"	"42860"	"66165"	0.0022310965026779
"Contig15757_12023_37699"	"Contig15757"	"12023"	"37699"	0.659349909504704
"Contig15757_9514_34676"	"Contig15757"	"9514"	"34676"	0.659349909504704
"Contig1578_1_15491"	"Contig1578"	"1"	"15491"	0.247524952892693
"Contig15782_17313_24267"	"Contig15782"	"17313"	"24267"	0.0780503631498991
"Contig158_11273_38223"	"Contig158"	"11273"	"38223"	0.391857693466762
"Contig158_270_14831"	"Contig158"	"270"	"14831"	0.5073766402462
"Contig1583_17417_40768"	"Contig1583"	"17417"	"40768"	0.0352471093585356
"Contig15835_988_18853"	"Contig15835"	"988"	"18853"	0.430464713624147
"Contig15836_7839_31409"	"Contig15836"	"7839"	"31409"	0.589957326762269
"Contig158725_1_4021"	"Contig158725"	"1"	"4021"	0.101184965898368
"Contig15902_1_1018"	"Contig15902"	"1"	"1018"	0.11458425193827
"Contig15905_1_15190"	"Contig15905"	"1"	"15190"	0.0514955882240857
"Contig15905_1_35236"	"Contig15905"	"1"	"35236"	0.0514955882240857
"Contig15906_2466_25316"	"Contig15906"	"2466"	"25316"	0.00702728859327747
"Contig15921_14738_25517"	"Contig15921"	"14738"	"25517"	0.207428619210141
