"","contig_gene","start_gene_2kb","end_gene_2kb","chr","start","end","meth.diff"
"104","Contig15",27367,27369,"Contig15",27367,27369,25.6655933401398
"105","Contig15",21888,21890,"Contig15",21888,21890,26.2820512820513
"106","Contig15",27367,27369,"Contig15",27367,27369,25.6655933401398
"107","Contig1502",13042,13044,"Contig1502",13042,13044,52.8282828282828
"108","Contig151161",2567,2569,"Contig151161",2567,2569,-42.85893495578
"109","Contig151161",3832,3834,"Contig151161",3832,3834,-36.195652173913
"110","Contig151161",3883,3885,"Contig151161",3883,3885,-37.035937035937
"111","Contig152",9376,9378,"Contig152",9376,9378,-36.25
"112","Contig15291",9729,9731,"Contig15291",9729,9731,33.7583740008046
"113","Contig15291",9737,9739,"Contig15291",9737,9739,35.7578021725386
"114","Contig15291",9729,9731,"Contig15291",9729,9731,33.7583740008046
"115","Contig15291",9737,9739,"Contig15291",9737,9739,35.7578021725386
"116","Contig15328",8382,8384,"Contig15328",8382,8384,25.5199049316696
"117","Contig15330",13782,13784,"Contig15330",13782,13784,-41.8759936406995
"118","Contig15372",17179,17181,"Contig15372",17179,17181,39.6229936543486
"119","Contig15600",4348,4350,"Contig15600",4348,4350,42.3539189361974
"120","Contig15600",4399,4401,"Contig15600",4399,4401,34.8795397339087
"121","Contig15734",24432,24434,"Contig15734",24432,24434,45.1458632233381
"122","Contig159669",4939,4941,"Contig159669",4939,4941,-28.6078978859194
"123","Contig16154",229,231,"Contig16154",229,231,49.2846270928463
"124","Contig16187",67623,67625,"Contig16187",67623,67625,41.1615551799082
"125","Contig16187",67683,67685,"Contig16187",67683,67685,42.8125
"126","Contig16668",56766,56768,"Contig16668",56766,56768,33.1257533145842
"127","Contig16668",56766,56768,"Contig16668",56766,56768,33.1257533145842
"128","Contig1670",19910,19912,"Contig1670",19910,19912,27.1259979173898
"129","Contig167099",492,494,"Contig167099",492,494,37.7877820834283
"130","Contig167099",529,531,"Contig167099",529,531,62.3690642458101
"131","Contig16934",7484,7486,"Contig16934",7484,7486,64.0828402366864
"132","Contig17037",3042,3044,"Contig17037",3042,3044,-29.1065999803864
"133","Contig17038",12981,12983,"Contig17038",12981,12983,-37.0006011914521
"134","Contig17038",13478,13480,"Contig17038",13478,13480,28.4026297085999
"135","Contig17038",15253,15255,"Contig17038",15253,15255,-27.0944349832445
"136","Contig17038",12981,12983,"Contig17038",12981,12983,-37.0006011914521
"137","Contig17038",13478,13480,"Contig17038",13478,13480,28.4026297085999
"138","Contig17038",15253,15255,"Contig17038",15253,15255,-27.0944349832445
"139","Contig17038",20776,20778,"Contig17038",20776,20778,29.6969696969697
"140","Contig17038",20776,20778,"Contig17038",20776,20778,29.6969696969697
"141","Contig17091",30765,30767,"Contig17091",30765,30767,25.7766367137356
"142","Contig17101",8237,8239,"Contig17101",8237,8239,29.4923807639026
"143","Contig17191",24534,24536,"Contig17191",24534,24536,29.0037831021438
"144","Contig17191",24758,24760,"Contig17191",24758,24760,26.247553816047
"145","Contig17262",12166,12168,"Contig17262",12166,12168,51.3741815536335
"146","Contig17276",2150,2152,"Contig17276",2150,2152,-28.6436066848037
"147","Contig17280",29085,29087,"Contig17280",29085,29087,-42.0289855072464
"148","Contig17280",32821,32823,"Contig17280",32821,32823,-27.3132686731327
"149","Contig17280",32828,32830,"Contig17280",32828,32830,-25.5732801595214
"150","Contig1730",3731,3733,"Contig1730",3731,3733,-32.2147304244491
"151","Contig1730",5009,5011,"Contig1730",5009,5011,31.602733686067
"152","Contig1730",5011,5013,"Contig1730",5011,5013,-43.2578916021441
"153","Contig1730",10751,10753,"Contig1730",10751,10753,-43.5653871177619
"154","Contig175154",5491,5493,"Contig175154",5491,5493,40.2962962962963
"155","Contig175154",5518,5520,"Contig175154",5518,5520,48.6967741935484
"156","Contig17564",2175,2177,"Contig17564",2175,2177,34.9281045751634
"157","Contig17564",2305,2307,"Contig17564",2305,2307,43.0521809556867
"158","Contig17564",3793,3795,"Contig17564",3793,3795,42.0168067226891
"159","Contig17564",7913,7915,"Contig17564",7913,7915,55.5029471446517
"160","Contig17564",7913,7915,"Contig17564",7913,7915,55.5029471446517
"161","Contig17564",25282,25284,"Contig17564",25282,25284,-29.8135913166588
"162","Contig17564",25296,25298,"Contig17564",25296,25298,44.0357023690357
"163","Contig17564",25527,25529,"Contig17564",25527,25529,70.7627118644068
"164","Contig17564",25755,25757,"Contig17564",25755,25757,27.2300469483568
"165","Contig17564",26289,26291,"Contig17564",26289,26291,70.4375
"166","Contig17564",26683,26685,"Contig17564",26683,26685,69.9936778884147
"167","Contig17564",26782,26784,"Contig17564",26782,26784,-25.5736228311368
"168","Contig17598",70028,70030,"Contig17598",70028,70030,37.967446865752
"169","Contig17603",20172,20174,"Contig17603",20172,20174,-31.8294925889863
"170","Contig17603",20216,20218,"Contig17603",20216,20218,28.6641494030003
"171","Contig17603",20247,20249,"Contig17603",20247,20249,34.080852775543
"172","Contig17603",65410,65412,"Contig17603",65410,65412,-46.350073477733
"173","Contig17603",65515,65517,"Contig17603",65515,65517,28.2145767636325
"174","Contig17603",65609,65611,"Contig17603",65609,65611,-25.6716417910448
"175","Contig17603",65671,65673,"Contig17603",65671,65673,-32.8788411916491
"176","Contig17603",66196,66198,"Contig17603",66196,66198,36.1693943881378
"177","Contig17603",66451,66453,"Contig17603",66451,66453,-28.7795992714025
"178","Contig17603",66479,66481,"Contig17603",66479,66481,-56.7582417582418
"179","Contig17603",66521,66523,"Contig17603",66521,66523,-43.6507936507937
"180","Contig17603",66659,66661,"Contig17603",66659,66661,-33.1284221005475
"181","Contig17603",66710,66712,"Contig17603",66710,66712,-63.1488208854134
"182","Contig17603",66802,66804,"Contig17603",66802,66804,-38.8399518652226
"183","Contig17603",66977,66979,"Contig17603",66977,66979,27.3927392739274
"184","Contig17648",2264,2266,"Contig17648",2264,2266,33.1103312129853
"185","Contig17649",9211,9213,"Contig17649",9211,9213,55
"186","Contig17928",9526,9528,"Contig17928",9526,9528,-46.5544617338838
"187","Contig18084",10135,10137,"Contig18084",10135,10137,40.8040341784564
"188","Contig18297",31181,31183,"Contig18297",31181,31183,32.8912466843501
"189","Contig18297",32724,32726,"Contig18297",32724,32726,45.6333140543667
"190","Contig18464",9785,9787,"Contig18464",9785,9787,27.3076923076923
"191","Contig18464",10862,10864,"Contig18464",10862,10864,27.7914438502674
"192","Contig18536",6449,6451,"Contig18536",6449,6451,-28.3836186512816
"193","Contig18583",9221,9223,"Contig18583",9221,9223,-29.9441907661086
"194","Contig18625",12235,12237,"Contig18625",12235,12237,-26.120929096847
"195","Contig18716",57393,57395,"Contig18716",57393,57395,35.4752502891787
"196","Contig18838",29123,29125,"Contig18838",29123,29125,-30.9668695064233
"197","Contig18858",35996,35998,"Contig18858",35996,35998,40.0705164856108
"198","Contig18858",36961,36963,"Contig18858",36961,36963,47.1666666666667
"199","Contig18858",35996,35998,"Contig18858",35996,35998,40.0705164856108
"200","Contig18968",37587,37589,"Contig18968",37587,37589,-39.020055851739
"201","Contig18968",37593,37595,"Contig18968",37593,37595,-39.671052631579
"202","Contig18968",37602,37604,"Contig18968",37602,37604,-36.7778026404117
"203","Contig191056",574,576,"Contig191056",574,576,-25.8494237389612
"204","Contig19112",8828,8830,"Contig19112",8828,8830,39.1981981981982
"205","Contig19112",8946,8948,"Contig19112",8946,8948,28.6372847011145
"206","Contig19114",40643,40645,"Contig19114",40643,40645,44.7501650891481
"207","Contig19114",40643,40645,"Contig19114",40643,40645,44.7501650891481
"208","Contig19169",2173,2175,"Contig19169",2173,2175,25.7169287696577
"209","Contig19169",2206,2208,"Contig19169",2206,2208,28.1632246331681
"210","Contig19169",2277,2279,"Contig19169",2277,2279,31.1355311355311
"211","Contig1917",6904,6906,"Contig1917",6904,6906,26.0884831460674
"212","Contig1918",8516,8518,"Contig1918",8516,8518,-31.8884408602151
"213","Contig1918",8679,8681,"Contig1918",8679,8681,-36.8093061902783
"214","Contig19180",291,293,"Contig19180",291,293,36.1359867330017
"215","Contig19180",365,367,"Contig19180",365,367,43.9097744360902
"216","Contig19180",24525,24527,"Contig19180",24525,24527,-25.1067724222087
"217","Contig1930",2785,2787,"Contig1930",2785,2787,25.2252252252252
"218","Contig1930",2785,2787,"Contig1930",2785,2787,25.2252252252252
"219","Contig19303",14900,14902,"Contig19303",14900,14902,36.9329388560158
"220","Contig1932",8840,8842,"Contig1932",8840,8842,39.9725274725275
"221","Contig1932",8852,8854,"Contig1932",8852,8854,37.1753246753247
"222","Contig19320",6122,6124,"Contig19320",6122,6124,-32.967032967033
"223","Contig19486",12979,12981,"Contig19486",12979,12981,33.3333333333333
"224","Contig195848",12817,12819,"Contig195848",12817,12819,-26.7269736842105
"225","Contig19593",30565,30567,"Contig19593",30565,30567,-42.6890756302521
"226","Contig19628",11788,11790,"Contig19628",11788,11790,25.6372549019608
"227","Contig19670",4025,4027,"Contig19670",4025,4027,-26.9686411149826
"228","Contig19670",4167,4169,"Contig19670",4167,4169,66.2969535640343
"229","Contig19670",4257,4259,"Contig19670",4257,4259,41.2330827067669
"230","Contig19712",38623,38625,"Contig19712",38623,38625,27.0025839793282
"231","Contig19712",38623,38625,"Contig19712",38623,38625,27.0025839793282
"232","Contig19783",1256,1258,"Contig19783",1256,1258,-32.6530612244898
"233","Contig19783",7501,7503,"Contig19783",7501,7503,-40.9836065573771
"234","Contig19783",7544,7546,"Contig19783",7544,7546,-48.2454933259942
"235","Contig19783",7501,7503,"Contig19783",7501,7503,-40.9836065573771
"236","Contig19783",7544,7546,"Contig19783",7544,7546,-48.2454933259942
"237","Contig19785",13650,13652,"Contig19785",13650,13652,-26.2179487179487
"238","Contig19785",14955,14957,"Contig19785",14955,14957,-26.5568708183222
"239","Contig19785",15816,15818,"Contig19785",15816,15818,35.4142655909848
"240","Contig19785",16247,16249,"Contig19785",16247,16249,-25.8021390374331
"241","Contig19785",16422,16424,"Contig19785",16422,16424,-26.231884057971
"242","Contig19785",22963,22965,"Contig19785",22963,22965,64.7058823529412
"243","Contig19797",18669,18671,"Contig19797",18669,18671,42.6959191043698
"244","Contig198517",3706,3708,"Contig198517",3706,3708,35.4559445940746
"245","Contig199",2827,2829,"Contig199",2827,2829,39.4415357766143
"246","Contig199",2838,2840,"Contig199",2838,2840,35.3296558970318
"247","Contig19930",3357,3359,"Contig19930",3357,3359,-27.6605400499206
"248","Contig19997",5037,5039,"Contig19997",5037,5039,-34.6661054994388
"249","Contig19997",5965,5967,"Contig19997",5965,5967,27.3220714483523
"250","Contig19997",6350,6352,"Contig19997",6350,6352,57.0629159104658
"251","Contig20119",10024,10026,"Contig20119",10024,10026,-50.6696428571429
"252","Contig20120",3981,3983,"Contig20120",3981,3983,-42.3273273273273
"253","Contig20120",9632,9634,"Contig20120",9632,9634,37.6010101010101
"254","Contig20120",9632,9634,"Contig20120",9632,9634,37.6010101010101
"255","Contig20165",11383,11385,"Contig20165",11383,11385,33.7009719445785
"256","Contig20165",11383,11385,"Contig20165",11383,11385,33.7009719445785
"257","Contig20179",572,574,"Contig20179",572,574,-40.7886231415643
"258","Contig20179",983,985,"Contig20179",983,985,40.5972558514931
"259","Contig20179",1377,1379,"Contig20179",1377,1379,37.7450980392157
"260","Contig20179",1901,1903,"Contig20179",1901,1903,-40.8429118773946
"261","Contig20179",1964,1966,"Contig20179",1964,1966,-28.2714190093708
"262","Contig20179",1901,1903,"Contig20179",1901,1903,-40.8429118773946
"263","Contig20179",1964,1966,"Contig20179",1964,1966,-28.2714190093708
"264","Contig20179",12525,12527,"Contig20179",12525,12527,-26.4326812428078
"265","Contig20212",26961,26963,"Contig20212",26961,26963,-50.2741228070175
"266","Contig20225",12467,12469,"Contig20225",12467,12469,27.1396112092906
"267","Contig20226",9299,9301,"Contig20226",9299,9301,42.7257525083612
"268","Contig20226",9360,9362,"Contig20226",9360,9362,45.3502617217953
"269","Contig20265",10490,10492,"Contig20265",10490,10492,-26.9352847822254
"270","Contig20278",6009,6011,"Contig20278",6009,6011,25.7692307692308
"271","Contig20301",7356,7358,"Contig20301",7356,7358,-53.6231884057971
"272","Contig20302",2157,2159,"Contig20302",2157,2159,-34.0290955091714
"273","Contig2041",664,666,"Contig2041",664,666,-26.0882528324389
"274","Contig20453",37111,37113,"Contig20453",37111,37113,32.0337197049526
"275","Contig20472",21043,21045,"Contig20472",21043,21045,-28.7400076132471
"276","Contig20472",24066,24068,"Contig20472",24066,24068,-33.8888888888889
"277","Contig20792",10741,10743,"Contig20792",10741,10743,-39.2530487804878
"278","Contig20792",11507,11509,"Contig20792",11507,11509,-25.8767072720561
"279","Contig20819",23074,23076,"Contig20819",23074,23076,32.5100133511348
"280","Contig20819",23079,23081,"Contig20819",23079,23081,36.2313060817547
"281","Contig20819",30657,30659,"Contig20819",30657,30659,39.850216791486
"282","Contig20819",30657,30659,"Contig20819",30657,30659,39.850216791486
"283","Contig20989",11564,11566,"Contig20989",11564,11566,54.6409605172016
"284","Contig20992",53093,53095,"Contig20992",53093,53095,26.8706669854172
"285","Contig20994",31110,31112,"Contig20994",31110,31112,36.0396332446022
"286","Contig20994",31110,31112,"Contig20994",31110,31112,36.0396332446022
"287","Contig21057",9728,9730,"Contig21057",9728,9730,46.5489153734031
"288","Contig21057",9728,9730,"Contig21057",9728,9730,46.5489153734031
"289","Contig21057",9728,9730,"Contig21057",9728,9730,46.5489153734031
"290","Contig21059",1173,1175,"Contig21059",1173,1175,30.1237389220222
"291","Contig21059",1173,1175,"Contig21059",1173,1175,30.1237389220222
"292","Contig21060",2276,2278,"Contig21060",2276,2278,82.7277514481306
"293","Contig21060",2282,2284,"Contig21060",2282,2284,83.6004273504273
"294","Contig21060",2288,2290,"Contig21060",2288,2290,87.2129112352576
"295","Contig21060",2293,2295,"Contig21060",2293,2295,86.5132630233301
"296","Contig21060",2303,2305,"Contig21060",2303,2305,95.9480723839497
"297","Contig21060",2317,2319,"Contig21060",2317,2319,96.4705882352941
"298","Contig21118",12932,12934,"Contig21118",12932,12934,44.8701575138357
"299","Contig21165",9591,9593,"Contig21165",9591,9593,31.6129032258065
"300","Contig21165",9591,9593,"Contig21165",9591,9593,31.6129032258065
"301","Contig21230",43456,43458,"Contig21230",43456,43458,28.7604729465195
"302","Contig21230",43493,43495,"Contig21230",43493,43495,26.5384615384615
"303","Contig21274",10401,10403,"Contig21274",10401,10403,-25.2005259697567
"304","Contig212811",2002,2004,"Contig212811",2002,2004,-40.3031240334055
"305","Contig212811",2029,2031,"Contig212811",2029,2031,-49.895178197065
"306","Contig212811",2906,2908,"Contig212811",2906,2908,-62.9129734085415
"307","Contig21302",1911,1913,"Contig21302",1911,1913,56.6450372506609
"308","Contig213101",9186,9188,"Contig213101",9186,9188,35.8834244080146
"309","Contig213101",9204,9206,"Contig213101",9204,9206,29.5245398773006
"310","Contig213101",10268,10270,"Contig213101",10268,10270,26.5728715728716
"311","Contig213101",9186,9188,"Contig213101",9186,9188,35.8834244080146
"312","Contig213101",9204,9206,"Contig213101",9204,9206,29.5245398773006
"313","Contig213101",10268,10270,"Contig213101",10268,10270,26.5728715728716
"314","Contig213876",7124,7126,"Contig213876",7124,7126,-30.1581027667984
"315","Contig213876",7140,7142,"Contig213876",7140,7142,-44.1030399890017
"316","Contig213876",7359,7361,"Contig213876",7359,7361,-34.2592592592593
"317","Contig21393",6519,6521,"Contig21393",6519,6521,30.4851250845166
"318","Contig21420",4357,4359,"Contig21420",4357,4359,-28.5508809780654
"319","Contig21455",35154,35156,"Contig21455",35154,35156,-25.1381486446719
"320","Contig21478",4134,4136,"Contig21478",4134,4136,-58.3593994369722
"321","Contig21478",4311,4313,"Contig21478",4311,4313,50.3030303030303
"322","Contig21478",4738,4740,"Contig21478",4738,4740,-51.7107892107892
"323","Contig21533",3036,3038,"Contig21533",3036,3038,-27.0445609436435
"324","Contig21533",5252,5254,"Contig21533",5252,5254,-39.6781260532524
"325","Contig21533",5463,5465,"Contig21533",5463,5465,-38.3643617021277
"326","Contig216223",6411,6413,"Contig216223",6411,6413,-37.8056251740462
"327","Contig216223",6482,6484,"Contig216223",6482,6484,33.75
"328","Contig216223",6524,6526,"Contig216223",6524,6526,25.7142857142857
"329","Contig216223",6529,6531,"Contig216223",6529,6531,30.7264150943396
"330","Contig216223",6544,6546,"Contig216223",6544,6546,25.5060728744939
"331","Contig21828",45512,45514,"Contig21828",45512,45514,46.6101694915254
"332","Contig21828",45535,45537,"Contig21828",45535,45537,50.4680504680505
"333","Contig21828",46081,46083,"Contig21828",46081,46083,62.8205128205128
"334","Contig21828",46235,46237,"Contig21828",46235,46237,-28.5658663205711
"335","Contig21828",46376,46378,"Contig21828",46376,46378,34.8028673835125
"336","Contig21828",46562,46564,"Contig21828",46562,46564,54.8023578363384
"337","Contig21828",52132,52134,"Contig21828",52132,52134,60.3535353535353
"338","Contig21828",52420,52422,"Contig21828",52420,52422,55.8481387478849
"339","Contig21828",53302,53304,"Contig21828",53302,53304,49.8550724637681
"340","Contig21828",55983,55985,"Contig21828",55983,55985,48.8742018595273
"341","Contig21828",62675,62677,"Contig21828",62675,62677,30.8699324324324
"342","Contig21927",533,535,"Contig21927",533,535,-27.4352941176471
"343","Contig22061",19123,19125,"Contig22061",19123,19125,27.1346644010195
"344","Contig22061",19123,19125,"Contig22061",19123,19125,27.1346644010195
"345","Contig22143",90,92,"Contig22143",90,92,32.8850761264395
"346","Contig22210",6383,6385,"Contig22210",6383,6385,-35.3571526202127
"347","Contig224",30594,30596,"Contig224",30594,30596,27.7271837054446
"348","Contig224",30610,30612,"Contig224",30610,30612,-55.645511845251
"349","Contig224",37785,37787,"Contig224",37785,37787,-36.6662024787634
"350","Contig22459",19575,19577,"Contig22459",19575,19577,-48.1336238198983
"351","Contig22459",20535,20537,"Contig22459",20535,20537,-52.9662578301837
"352","Contig22567",8782,8784,"Contig22567",8782,8784,47.2535639483819
"353","Contig226",23234,23236,"Contig226",23234,23236,-30.23352793995
"354","Contig226",23357,23359,"Contig226",23357,23359,-34.1408591408591
"355","Contig226105",3572,3574,"Contig226105",3572,3574,-25.4552878726011
"356","Contig22639",13343,13345,"Contig22639",13343,13345,-38.4861919769243
"357","Contig22639",13343,13345,"Contig22639",13343,13345,-38.4861919769243
"358","Contig22639",13343,13345,"Contig22639",13343,13345,-38.4861919769243
"359","Contig22660",9503,9505,"Contig22660",9503,9505,25.3196930946291
"360","Contig22669",3446,3448,"Contig22669",3446,3448,53.343137254902
"361","Contig22692",23435,23437,"Contig22692",23435,23437,-27.925626286282
"362","Contig227",19323,19325,"Contig227",19323,19325,36.9230769230769
"363","Contig227",19365,19367,"Contig227",19365,19367,37.7697841726619
"364","Contig22753",8718,8720,"Contig22753",8718,8720,35.4344729344729
"365","Contig22757",20629,20631,"Contig22757",20629,20631,-34.4172451589331
"366","Contig22757",23206,23208,"Contig22757",23206,23208,-33.6829836829837
"367","Contig22757",23418,23420,"Contig22757",23418,23420,-33.1214332153435
"368","Contig22790",21602,21604,"Contig22790",21602,21604,31.733483907397
"369","Contig22790",21602,21604,"Contig22790",21602,21604,31.733483907397
"370","Contig22851",1974,1976,"Contig22851",1974,1976,25.8746280906946
"371","Contig22851",2005,2007,"Contig22851",2005,2007,31.6144018583043
"372","Contig22851",2107,2109,"Contig22851",2107,2109,-65.8102766798419
"373","Contig22867",12,14,"Contig22867",12,14,-88.5057471264368
"374","Contig22867",67,69,"Contig22867",67,69,-73.9130434782609
"375","Contig22867",108,110,"Contig22867",108,110,-90.4761904761905
"376","Contig22867",117,119,"Contig22867",117,119,-92.7927927927928
"377","Contig22867",150,152,"Contig22867",150,152,-87.7395470383275
"378","Contig22867",230,232,"Contig22867",230,232,-78.2051282051282
"379","Contig22907",4684,4686,"Contig22907",4684,4686,32.8970230510831
"380","Contig22935",59325,59327,"Contig22935",59325,59327,-37.0862012454933
"381","Contig23007",954,956,"Contig23007",954,956,32.4820788530466
"382","Contig23034",23660,23662,"Contig23034",23660,23662,41.403990746096
"383","Contig23063",19969,19971,"Contig23063",19969,19971,29.4300039583058
"384","Contig23065",125,127,"Contig23065",125,127,26.7000417188152
"385","Contig23065",153,155,"Contig23065",153,155,33.8827838827839
"386","Contig23065",230,232,"Contig23065",230,232,-27.823060447406
"387","Contig23065",2274,2276,"Contig23065",2274,2276,-34.0284871183748
"388","Contig23065",2306,2308,"Contig23065",2306,2308,-25.4588346308092
"389","Contig2315",5379,5381,"Contig2315",5379,5381,43.7975646879756
