UNIPROT_ACCESSION	Name	Species
Q24270	Ca[2+]-channel protein alpha[[1]] subunit D(Ca-alpha1D)	Drosophila melanogaster
P00347	3-hydroxy-3-methylglutaryl-CoA reductase(Hmgcr)	Cricetulus griseus
Q5U249	AT-hook containing transcription factor 1 L homeolog(ahctf1.L)	Xenopus laevis
Q96K62	zinc finger and BTB domain containing 45(ZBTB45)	Homo sapiens
Q6ZQ88	lysine (K)-specific demethylase 1A(Kdm1a)	Mus musculus
Q5SNZ0	coiled coil domain containing 88A(Ccdc88a)	Mus musculus
Q8NEV4	myosin IIIA(MYO3A)	Homo sapiens
Q6ZNA1	zinc finger protein 836(ZNF836)	Homo sapiens
Q9DAM1	leucine rich repeat containing 34(Lrrc34)	Mus musculus
Q7TMY8	HECT, UBA and WWE domain containing 1(Huwe1)	Mus musculus
Q71LX4	talin 2(Tln2)	Mus musculus
O75431	metaxin 2(MTX2)	Homo sapiens
Q62655	transcription factor 4(Tcf4)	Rattus norvegicus
Q6INP9	breast cancer anti-estrogen resistance 3 L homeolog(bcar3.L)	Xenopus laevis
O17732	PYruvate Carboxylase(pyc-1)	Caenorhabditis elegans
Q63415	proprotein convertase subtilisin/kexin type 6(Pcsk6)	Rattus norvegicus
O00237	ring finger protein 103(RNF103)	Homo sapiens
P13086	succinate-CoA ligase, alpha subunit(Suclg1)	Rattus norvegicus
P08941	ROS proto-oncogene 1 , receptor tyrosine kinase(ROS1)	Gallus gallus
O93279	amyloid beta A4 protein(LOC101078447)	Takifugu rubripes
P05153	phosphoenolpyruvate carboxykinase 1 (soluble)(PCK1)	Gallus gallus
Q9P203	BTB domain containing 7(BTBD7)	Homo sapiens
Q68CP9	AT-rich interaction domain 2(ARID2)	Homo sapiens
Q1ECX4	tousled-like kinase 2(tlk2)	Danio rerio
Q9IBG7	kielin/chordin-like protein L homeolog(kcp.L)	Xenopus laevis
F1MRW8	ring finger protein 169(RNF169)	Bos taurus
Q7T2L7	interleukin 17 receptor D(IL17RD)	Gallus gallus
O60318	minichromosome maintenance complex component 3 associated protein(MCM3AP)	Homo sapiens
B1AYB6	methyl-CpG binding domain protein 5(Mbd5)	Mus musculus
Q9BZ19	ankyrin repeat domain 60(ANKRD60)	Homo sapiens
P58058	NAD kinase(Nadk)	Mus musculus
Q2EMV9	poly (ADP-ribose) polymerase family, member 14(Parp14)	Mus musculus
Q56A24	kelch-like family member 24(Klhl24)	Rattus norvegicus
Q7Z3G6	prickle planar cell polarity protein 2(PRICKLE2)	Homo sapiens
Q5DTJ9	myopalladin(Mypn)	Mus musculus
Q8C0Q4	NIMA (never in mitosis gene a)-related expressed kinase 11(Nek11)	Mus musculus
Q18297	TRPA cation channel homolog(trpa-1)	Caenorhabditis elegans
O35127	gene rich cluster, C10 gene(Grcc10)	Mus musculus
Q2NL57	ubiquitin specific peptidase 10 S homeolog(usp10.S)	Xenopus laevis
Q9W7R4	teneurin transmembrane protein 3(tenm3)	Danio rerio
Q9QYU1	peroxisomal biogenesis factor 19(Pex19)	Rattus norvegicus
Q8CJ40	ciliary rootlet coiled-coil, rootletin(Crocc)	Mus musculus
G4SLH0	Titin homolog(ttn-1)	Caenorhabditis elegans
P0C5Y8	alsin Rho guanine nucleotide exchange factor(Als2)	Rattus norvegicus
Q9C0G6	dynein axonemal heavy chain 6(DNAH6)	Homo sapiens
Q6REY9	Rho GTPase activating protein 20(Arhgap20)	Rattus norvegicus
Q9P2D8	unc-79 homolog (C. elegans)(UNC79)	Homo sapiens
Q6NN85	slingshot(ssh)	Drosophila melanogaster
Q4R4D7	inositol polyphosphate-4-phosphatase type II B(INPP4B)	Macaca fascicularis
Q4R7L8	nudix hydrolase 12(NUDT12)	Macaca fascicularis
Q6NS45	coiled-coil domain containing 66(Ccdc66)	Mus musculus
Q8HXQ5	ATP binding cassette subfamily C member 1(ABCC1)	Bos taurus
A4IF63	tripartite motif containing 2(TRIM2)	Bos taurus
Q8BJ64	choline dehydrogenase(Chdh)	Mus musculus
Q9W4E2	rugose(rg)	Drosophila melanogaster
D3ZQG6	tripartite motif-containing 2(Trim2)	Rattus norvegicus
Q9H0C1	zinc finger MYND-type containing 12(ZMYND12)	Homo sapiens
Q9U221	Uracil DNA N-Glycosylase(ung-1)	Caenorhabditis elegans
Q9VW71	kugelei(kug)	Drosophila melanogaster
	Q70JS2		
	P56649		
	SPID		
	B8CXL0		
	B3EWZ6		
	Q64398		
	Q91437		
	Q91233		
	P40821		
	A2XYY8		
	Q8RB67		
